id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2000,Total,ARG,,2000,-.1375126093626022,1,1,.019391837,Total,1,Argentina,Argentina,Coefficient of dummy “Women” in a Mincer equation for workers aged 25-54.,Gender wage gap (conditional),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Total,ARG,,2001,-.1458137631416321,1,1,.020671148,Total,1,Argentina,Argentina,Coefficient of dummy “Women” in a Mincer equation for workers aged 25-54.,Gender wage gap (conditional),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2002,Total,ARG,,2002,-.1351490914821625,1,1,.019980019,Total,1,Argentina,Argentina,Coefficient of dummy “Women” in a Mincer equation for workers aged 25-54.,Gender wage gap (conditional),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2003,Total,ARG,,2003,-.1260510683059692,1,1,.02262908,Total,1,Argentina,Argentina,Coefficient of dummy “Women” in a Mincer equation for workers aged 25-54.,Gender wage gap (conditional),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2004,Total,ARG,,2004,-.1766069680452347,1,1,.021434147,Total,1,Argentina,Argentina,Coefficient of dummy “Women” in a Mincer equation for workers aged 25-54.,Gender wage gap (conditional),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2005,Total,ARG,,2005,-.1680494248867035,1,1,.019154774,Total,1,Argentina,Argentina,Coefficient of dummy “Women” in a Mincer equation for workers aged 25-54.,Gender wage gap (conditional),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,Total,ARG,,2006,-.1828214079141617,1,1,.018191479,Total,1,Argentina,Argentina,Coefficient of dummy “Women” in a Mincer equation for workers aged 25-54.,Gender wage gap (conditional),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2007,Total,ARG,,2007,-.2077044248580933,1,1,.015014585,Total,1,Argentina,Argentina,Coefficient of dummy “Women” in a Mincer equation for workers aged 25-54.,Gender wage gap (conditional),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2008,Total,ARG,,2008,-.1980540007352829,1,1,.014898716,Total,1,Argentina,Argentina,Coefficient of dummy “Women” in a Mincer equation for workers aged 25-54.,Gender wage gap (conditional),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2009,Total,ARG,,2009,-.1756110787391663,1,1,.01504283,Total,1,Argentina,Argentina,Coefficient of dummy “Women” in a Mincer equation for workers aged 25-54.,Gender wage gap (conditional),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2010,Total,ARG,,2010,-.1767427176237106,1,1,.014855863,Total,1,Argentina,Argentina,Coefficient of dummy “Women” in a Mincer equation for workers aged 25-54.,Gender wage gap (conditional),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2011,Total,ARG,,2011,-.2096040397882462,1,1,.014742409,Total,1,Argentina,Argentina,Coefficient of dummy “Women” in a Mincer equation for workers aged 25-54.,Gender wage gap (conditional),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2012,Total,ARG,,2012,-.1560254693031311,1,1,.014781388,Total,1,Argentina,Argentina,Coefficient of dummy “Women” in a Mincer equation for workers aged 25-54.,Gender wage gap (conditional),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Total,ARG,,2013,-.1673558205366135,1,1,.015022339,Total,1,Argentina,Argentina,Coefficient of dummy “Women” in a Mincer equation for workers aged 25-54.,Gender wage gap (conditional),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2014,Total,ARG,,2014,-.1773695200681686,1,1,.014174245,Total,1,Argentina,Argentina,Coefficient of dummy “Women” in a Mincer equation for workers aged 25-54.,Gender wage gap (conditional),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2015,Total,ARG,,2015,-.1489330977201462,1,1,.014106859,Total,1,Argentina,Argentina,Coefficient of dummy “Women” in a Mincer equation for workers aged 25-54.,Gender wage gap (conditional),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2016,Total,ARG,,2016,-.1496307998895645,1,1,.014597449,Total,1,Argentina,Argentina,Coefficient of dummy “Women” in a Mincer equation for workers aged 25-54.,Gender wage gap (conditional),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2017,Total,ARG,,2017,-.1435340344905853,1,1,.014948176,Total,1,Argentina,Argentina,Coefficient of dummy “Women” in a Mincer equation for workers aged 25-54.,Gender wage gap (conditional),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2018,Total,ARG,,2018,-.185894563794136,1,1,.014588722,Total,1,Argentina,Argentina,Coefficient of dummy “Women” in a Mincer equation for workers aged 25-54.,Gender wage gap (conditional),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2019,Total,ARG,,2019,-.1710156202316284,1,1,.014976643,Total,1,Argentina,Argentina,Coefficient of dummy “Women” in a Mincer equation for workers aged 25-54.,Gender wage gap (conditional),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2020,Total,ARG,,2020,-.2009120583534241,1,1,.020365862,Total,1,Argentina,Argentina,Coefficient of dummy “Women” in a Mincer equation for workers aged 25-54.,Gender wage gap (conditional),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2021,Total,ARG,,2021,-.245020791888237,1,1,.018015344,Total,1,Argentina,Argentina,Coefficient of dummy “Women” in a Mincer equation for workers aged 25-54.,Gender wage gap (conditional),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2022,Total,ARG,,2022,-.1716793924570084,1,1,.016529309,Total,1,Argentina,Argentina,Coefficient of dummy “Women” in a Mincer equation for workers aged 25-54.,Gender wage gap (conditional),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2000,Total,BOL,,2000,-.2028664946556091,1,1,.069327362,Total,1,Bolivia,Bolivia,Coefficient of dummy “Women” in a Mincer equation for workers aged 25-54.,Gender wage gap (conditional),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2001,Total,BOL,,2001,-.2073943018913269,1,1,.060528465,Total,1,Bolivia,Bolivia,Coefficient of dummy “Women” in a Mincer equation for workers aged 25-54.,Gender wage gap (conditional),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2002,Total,BOL,,2002,-.1731650680303574,1,1,.063949555,Total,1,Bolivia,Bolivia,Coefficient of dummy “Women” in a Mincer equation for workers aged 25-54.,Gender wage gap (conditional),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2003,Total,BOL,,2003,,1,1,0,Total,1,Bolivia,Bolivia,Coefficient of dummy “Women” in a Mincer equation for workers aged 25-54.,Gender wage gap (conditional),The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
