id_paisano,desagregacion,pais_cod,encuesta,ano,p,q,r,s,t,u,v,w,x,y,z,valor,desagregacion_por_orden,variable_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2000,Total,ARG,,2000,,,,,,,,,,,,22.0856819152832,1,1,,Total,1,Argentina,Argentina,Percentage of self-employed workers in the total number of workers aged 25-54.,Self-employed,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2000,Women,ARG,,2000,,,,,,,,,,,,18.89855575561523,2,2,,Gender,4,Argentina,Argentina,Percentage of self-employed workers in the total number of workers aged 25-54.,Self-employed,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2000,Men,ARG,,2000,,,,,,,,,,,,24.26942443847656,3,3,,Gender,4,Argentina,Argentina,Percentage of self-employed workers in the total number of workers aged 25-54.,Self-employed,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2000,Women - men gap,ARG,,2000,,,,,,,,,,,,-5.370867252349854,4,4,1.152867,Women - men gap,5,Argentina,Argentina,Percentage of self-employed workers in the total number of workers aged 25-54.,Self-employed,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2000,Low skilled women,ARG,,2000,,,,,,,,,,,,24.37182235717773,6,6,,Qualification (women),7,Argentina,Argentina,Percentage of self-employed workers in the total number of workers aged 25-54.,Self-employed,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2000,Medium skilled women,ARG,,2000,,,,,,,,,,,,16.13101387023926,7,7,,Qualification (women),7,Argentina,Argentina,Percentage of self-employed workers in the total number of workers aged 25-54.,Self-employed,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2000,High skilled women,ARG,,2000,,,,,,,,,,,,14.30581760406494,8,8,,Qualification (women),7,Argentina,Argentina,Percentage of self-employed workers in the total number of workers aged 25-54.,Self-employed,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2000,Low skilled men,ARG,,2000,,,,,,,,,,,,27.98406600952148,9,9,,Qualification (men),8,Argentina,Argentina,Percentage of self-employed workers in the total number of workers aged 25-54.,Self-employed,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2000,Medium skilled men,ARG,,2000,,,,,,,,,,,,20.91447448730469,10,10,,Qualification (men),8,Argentina,Argentina,Percentage of self-employed workers in the total number of workers aged 25-54.,Self-employed,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2000,High skilled men,ARG,,2000,,,,,,,,,,,,17.60837554931641,11,11,,Qualification (men),8,Argentina,Argentina,Percentage of self-employed workers in the total number of workers aged 25-54.,Self-employed,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
