id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2000,Total,ARG,,2000,11.68351745605469,1,1,,Total,1,Argentina,Argentina,Unemployed population as a percentage of the economically active population aged 25-54.,Unemployment rate,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women,ARG,,2000,13.27020645141602,2,2,,Gender,4,Argentina,Argentina,Unemployed population as a percentage of the economically active population aged 25-54.,Unemployment rate,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Men,ARG,,2000,10.56257820129395,3,3,,Gender,4,Argentina,Argentina,Unemployed population as a percentage of the economically active population aged 25-54.,Unemployment rate,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women - men gap,ARG,,2000,2.707627773284912,4,4,.8416875,Women - men gap,5,Argentina,Argentina,Unemployed population as a percentage of the economically active population aged 25-54.,Unemployment rate,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women without children,ARG,,2000,8.399101257324219,6,6,,Children (women),7,Argentina,Argentina,Unemployed population as a percentage of the economically active population aged 25-54.,Unemployment rate,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women with children aged 0-5,ARG,,2000,15.4646692276001,7,7,,Children (women),7,Argentina,Argentina,Unemployed population as a percentage of the economically active population aged 25-54.,Unemployment rate,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women with children older than 5,ARG,,2000,12.89232158660889,8,8,,Children (women),7,Argentina,Argentina,Unemployed population as a percentage of the economically active population aged 25-54.,Unemployment rate,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Men without children,ARG,,2000,10.9336051940918,9,9,,Children (men),8,Argentina,Argentina,Unemployed population as a percentage of the economically active population aged 25-54.,Unemployment rate,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Men with children aged 0-5,ARG,,2000,7.12959623336792,10,10,,Children (men),8,Argentina,Argentina,Unemployed population as a percentage of the economically active population aged 25-54.,Unemployment rate,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Men with children older than 5,ARG,,2000,9.029911041259766,11,11,,Children (men),8,Argentina,Argentina,Unemployed population as a percentage of the economically active population aged 25-54.,Unemployment rate,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Not married women,ARG,,2000,13.98080062866211,12,12,,Marital status (women),9,Argentina,Argentina,Unemployed population as a percentage of the economically active population aged 25-54.,Unemployment rate,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Married women,ARG,,2000,12.77678775787354,13,13,,Marital status (women),9,Argentina,Argentina,Unemployed population as a percentage of the economically active population aged 25-54.,Unemployment rate,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Not married men,ARG,,2000,17.63702392578125,14,14,,Marital status (men),10,Argentina,Argentina,Unemployed population as a percentage of the economically active population aged 25-54.,Unemployment rate,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Married men,ARG,,2000,8.370500564575195,15,15,,Marital status (men),10,Argentina,Argentina,Unemployed population as a percentage of the economically active population aged 25-54.,Unemployment rate,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Low skilled women,ARG,,2000,17.34955787658691,16,16,,Qualification (women),11,Argentina,Argentina,Unemployed population as a percentage of the economically active population aged 25-54.,Unemployment rate,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Medium skilled women,ARG,,2000,14.06270885467529,17,17,,Qualification (women),11,Argentina,Argentina,Unemployed population as a percentage of the economically active population aged 25-54.,Unemployment rate,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,High skilled women,ARG,,2000,5.684632301330566,18,18,,Qualification (women),11,Argentina,Argentina,Unemployed population as a percentage of the economically active population aged 25-54.,Unemployment rate,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
