id_paisano,desagregacion,pais_cod,encuesta,ano,gap,desagregacion_por_orden,variable_orden,boundL,boundH,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG-5,Woman,ARG,,-5,8.431280136108398,1,,6.570139408111572,10.29244422912598,Woman,1,Argentina,Argentina,"The graph shows the Effects of first childbirth (with 95% confidence intervals) estimated from an event-study model using individual-level pseudo-panels. Each point represents the percentage change in monthly labor income in the indicated year relative to the year prior to childbirth (normalized to zero), controlling for cohort and year fixed effects.",Motherhood effect on labor income,"Source: constructed using Household Surveys. For further details, see Marchionni and Pedrazzi (2025), ‘The last hurdle? Unyielding motherhood effects in the context of declining gender inequality in Latin America’, World Development Vol. 195. Also available as CEDLAS Working Paper No. 321 at https://ideas.repec.org/p/dls/wpaper/0321.html"
ARG-4,Woman,ARG,,-4,7.905596733093262,1,,6.368652820587158,9.442530632019043,Woman,1,Argentina,Argentina,"The graph shows the Effects of first childbirth (with 95% confidence intervals) estimated from an event-study model using individual-level pseudo-panels. Each point represents the percentage change in monthly labor income in the indicated year relative to the year prior to childbirth (normalized to zero), controlling for cohort and year fixed effects.",Motherhood effect on labor income,"Source: constructed using Household Surveys. For further details, see Marchionni and Pedrazzi (2025), ‘The last hurdle? Unyielding motherhood effects in the context of declining gender inequality in Latin America’, World Development Vol. 195. Also available as CEDLAS Working Paper No. 321 at https://ideas.repec.org/p/dls/wpaper/0321.html"
ARG-3,Woman,ARG,,-3,3.889084339141846,1,,2.614231109619141,5.163937568664551,Woman,1,Argentina,Argentina,"The graph shows the Effects of first childbirth (with 95% confidence intervals) estimated from an event-study model using individual-level pseudo-panels. Each point represents the percentage change in monthly labor income in the indicated year relative to the year prior to childbirth (normalized to zero), controlling for cohort and year fixed effects.",Motherhood effect on labor income,"Source: constructed using Household Surveys. For further details, see Marchionni and Pedrazzi (2025), ‘The last hurdle? Unyielding motherhood effects in the context of declining gender inequality in Latin America’, World Development Vol. 195. Also available as CEDLAS Working Paper No. 321 at https://ideas.repec.org/p/dls/wpaper/0321.html"
ARG-2,Woman,ARG,,-2,2.916854619979858,1,,1.811195254325867,4.022506713867188,Woman,1,Argentina,Argentina,"The graph shows the Effects of first childbirth (with 95% confidence intervals) estimated from an event-study model using individual-level pseudo-panels. Each point represents the percentage change in monthly labor income in the indicated year relative to the year prior to childbirth (normalized to zero), controlling for cohort and year fixed effects.",Motherhood effect on labor income,"Source: constructed using Household Surveys. For further details, see Marchionni and Pedrazzi (2025), ‘The last hurdle? Unyielding motherhood effects in the context of declining gender inequality in Latin America’, World Development Vol. 195. Also available as CEDLAS Working Paper No. 321 at https://ideas.repec.org/p/dls/wpaper/0321.html"
ARG-1,Woman,ARG,,-1,0.0,1,,0.0,0.0,Woman,1,Argentina,Argentina,"The graph shows the Effects of first childbirth (with 95% confidence intervals) estimated from an event-study model using individual-level pseudo-panels. Each point represents the percentage change in monthly labor income in the indicated year relative to the year prior to childbirth (normalized to zero), controlling for cohort and year fixed effects.",Motherhood effect on labor income,"Source: constructed using Household Surveys. For further details, see Marchionni and Pedrazzi (2025), ‘The last hurdle? Unyielding motherhood effects in the context of declining gender inequality in Latin America’, World Development Vol. 195. Also available as CEDLAS Working Paper No. 321 at https://ideas.repec.org/p/dls/wpaper/0321.html"
ARG0,Woman,ARG,,0,-29.56583023071289,1,,-31.78616333007813,-27.34549522399902,Woman,1,Argentina,Argentina,"The graph shows the Effects of first childbirth (with 95% confidence intervals) estimated from an event-study model using individual-level pseudo-panels. Each point represents the percentage change in monthly labor income in the indicated year relative to the year prior to childbirth (normalized to zero), controlling for cohort and year fixed effects.",Motherhood effect on labor income,"Source: constructed using Household Surveys. For further details, see Marchionni and Pedrazzi (2025), ‘The last hurdle? Unyielding motherhood effects in the context of declining gender inequality in Latin America’, World Development Vol. 195. Also available as CEDLAS Working Paper No. 321 at https://ideas.repec.org/p/dls/wpaper/0321.html"
ARG1,Woman,ARG,,1,-31.24373245239258,1,,-33.30137634277344,-29.18608856201172,Woman,1,Argentina,Argentina,"The graph shows the Effects of first childbirth (with 95% confidence intervals) estimated from an event-study model using individual-level pseudo-panels. Each point represents the percentage change in monthly labor income in the indicated year relative to the year prior to childbirth (normalized to zero), controlling for cohort and year fixed effects.",Motherhood effect on labor income,"Source: constructed using Household Surveys. For further details, see Marchionni and Pedrazzi (2025), ‘The last hurdle? Unyielding motherhood effects in the context of declining gender inequality in Latin America’, World Development Vol. 195. Also available as CEDLAS Working Paper No. 321 at https://ideas.repec.org/p/dls/wpaper/0321.html"
ARG2,Woman,ARG,,2,-34.62800216674805,1,,-36.47270965576172,-32.78329849243164,Woman,1,Argentina,Argentina,"The graph shows the Effects of first childbirth (with 95% confidence intervals) estimated from an event-study model using individual-level pseudo-panels. Each point represents the percentage change in monthly labor income in the indicated year relative to the year prior to childbirth (normalized to zero), controlling for cohort and year fixed effects.",Motherhood effect on labor income,"Source: constructed using Household Surveys. For further details, see Marchionni and Pedrazzi (2025), ‘The last hurdle? Unyielding motherhood effects in the context of declining gender inequality in Latin America’, World Development Vol. 195. Also available as CEDLAS Working Paper No. 321 at https://ideas.repec.org/p/dls/wpaper/0321.html"
ARG3,Woman,ARG,,3,-34.11867904663086,1,,-35.87720489501953,-32.36014556884766,Woman,1,Argentina,Argentina,"The graph shows the Effects of first childbirth (with 95% confidence intervals) estimated from an event-study model using individual-level pseudo-panels. Each point represents the percentage change in monthly labor income in the indicated year relative to the year prior to childbirth (normalized to zero), controlling for cohort and year fixed effects.",Motherhood effect on labor income,"Source: constructed using Household Surveys. For further details, see Marchionni and Pedrazzi (2025), ‘The last hurdle? Unyielding motherhood effects in the context of declining gender inequality in Latin America’, World Development Vol. 195. Also available as CEDLAS Working Paper No. 321 at https://ideas.repec.org/p/dls/wpaper/0321.html"
ARG4,Woman,ARG,,4,-36.98500442504883,1,,-38.70660400390625,-35.26340866088867,Woman,1,Argentina,Argentina,"The graph shows the Effects of first childbirth (with 95% confidence intervals) estimated from an event-study model using individual-level pseudo-panels. Each point represents the percentage change in monthly labor income in the indicated year relative to the year prior to childbirth (normalized to zero), controlling for cohort and year fixed effects.",Motherhood effect on labor income,"Source: constructed using Household Surveys. For further details, see Marchionni and Pedrazzi (2025), ‘The last hurdle? Unyielding motherhood effects in the context of declining gender inequality in Latin America’, World Development Vol. 195. Also available as CEDLAS Working Paper No. 321 at https://ideas.repec.org/p/dls/wpaper/0321.html"
