id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2000,Total,ARG,,2000,,1,1,,Total,1,Argentina,Argentina,Workers in managerial positions as a percentage of the employed population aged 25-54. High-level positions is considered to be category 1 of the ISCO-08 classification.,Percentage of workers in managerial positions,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women,ARG,,2000,,2,2,,Gender,4,Argentina,Argentina,Workers in managerial positions as a percentage of the employed population aged 25-54. High-level positions is considered to be category 1 of the ISCO-08 classification.,Percentage of workers in managerial positions,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Men,ARG,,2000,,3,3,,Gender,4,Argentina,Argentina,Workers in managerial positions as a percentage of the employed population aged 25-54. High-level positions is considered to be category 1 of the ISCO-08 classification.,Percentage of workers in managerial positions,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women - men gap,ARG,,2000,,4,4,0,Women - men gap,5,Argentina,Argentina,Workers in managerial positions as a percentage of the employed population aged 25-54. High-level positions is considered to be category 1 of the ISCO-08 classification.,Percentage of workers in managerial positions,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women without children,ARG,,2000,,6,6,,Children (women),7,Argentina,Argentina,Workers in managerial positions as a percentage of the employed population aged 25-54. High-level positions is considered to be category 1 of the ISCO-08 classification.,Percentage of workers in managerial positions,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women with children aged 0-5,ARG,,2000,,7,7,,Children (women),7,Argentina,Argentina,Workers in managerial positions as a percentage of the employed population aged 25-54. High-level positions is considered to be category 1 of the ISCO-08 classification.,Percentage of workers in managerial positions,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women with children older than 5,ARG,,2000,,8,8,,Children (women),7,Argentina,Argentina,Workers in managerial positions as a percentage of the employed population aged 25-54. High-level positions is considered to be category 1 of the ISCO-08 classification.,Percentage of workers in managerial positions,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Men without children,ARG,,2000,,9,9,,Children (men),8,Argentina,Argentina,Workers in managerial positions as a percentage of the employed population aged 25-54. High-level positions is considered to be category 1 of the ISCO-08 classification.,Percentage of workers in managerial positions,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Men with children aged 0-5,ARG,,2000,,10,10,,Children (men),8,Argentina,Argentina,Workers in managerial positions as a percentage of the employed population aged 25-54. High-level positions is considered to be category 1 of the ISCO-08 classification.,Percentage of workers in managerial positions,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Men with children older than 5,ARG,,2000,,11,11,,Children (men),8,Argentina,Argentina,Workers in managerial positions as a percentage of the employed population aged 25-54. High-level positions is considered to be category 1 of the ISCO-08 classification.,Percentage of workers in managerial positions,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Not married women,ARG,,2000,,12,12,,Marital status (women),9,Argentina,Argentina,Workers in managerial positions as a percentage of the employed population aged 25-54. High-level positions is considered to be category 1 of the ISCO-08 classification.,Percentage of workers in managerial positions,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Married women,ARG,,2000,,13,13,,Marital status (women),9,Argentina,Argentina,Workers in managerial positions as a percentage of the employed population aged 25-54. High-level positions is considered to be category 1 of the ISCO-08 classification.,Percentage of workers in managerial positions,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Not married men,ARG,,2000,,14,14,,Marital status (men),10,Argentina,Argentina,Workers in managerial positions as a percentage of the employed population aged 25-54. High-level positions is considered to be category 1 of the ISCO-08 classification.,Percentage of workers in managerial positions,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Married men,ARG,,2000,,15,15,,Marital status (men),10,Argentina,Argentina,Workers in managerial positions as a percentage of the employed population aged 25-54. High-level positions is considered to be category 1 of the ISCO-08 classification.,Percentage of workers in managerial positions,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Low skilled women,ARG,,2000,,16,16,,Qualification (women),11,Argentina,Argentina,Workers in managerial positions as a percentage of the employed population aged 25-54. High-level positions is considered to be category 1 of the ISCO-08 classification.,Percentage of workers in managerial positions,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Medium skilled women,ARG,,2000,,17,17,,Qualification (women),11,Argentina,Argentina,Workers in managerial positions as a percentage of the employed population aged 25-54. High-level positions is considered to be category 1 of the ISCO-08 classification.,Percentage of workers in managerial positions,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,High skilled women,ARG,,2000,,18,18,,Qualification (women),11,Argentina,Argentina,Workers in managerial positions as a percentage of the employed population aged 25-54. High-level positions is considered to be category 1 of the ISCO-08 classification.,Percentage of workers in managerial positions,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Low skilled men,ARG,,2000,,19,19,,Qualification (men),12,Argentina,Argentina,Workers in managerial positions as a percentage of the employed population aged 25-54. High-level positions is considered to be category 1 of the ISCO-08 classification.,Percentage of workers in managerial positions,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
