id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2000,Hombres de media calificación,ARG,,2000,70.923583984375,10,,Calificación (hombres),8,Argentina,Argentina,Porcentaje de asalariados en el total de trabajadores.,Asalariados/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres de alta calificación,ARG,,2000,71.17294311523438,11,,Calificación (hombres),8,Argentina,Argentina,Porcentaje de asalariados en el total de trabajadores.,Asalariados/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres de baja calificación,ARG,,2000,68.59400939941406,9,,Calificación (hombres),8,Argentina,Argentina,Porcentaje de asalariados en el total de trabajadores.,Asalariados/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres,ARG,,2000,76.55732727050781,2,,Género,4,Argentina,Argentina,Porcentaje de asalariados en el total de trabajadores.,Asalariados/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres de media calificación,ARG,,2000,78.69382476806641,7,,Calificación (mujeres),7,Argentina,Argentina,Porcentaje de asalariados en el total de trabajadores.,Asalariados/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Ratio mujeres/hombres,ARG,,2000,1.098378300666809,16,,Ratio mujeres/hombres,6,Argentina,Argentina,Porcentaje de asalariados en el total de trabajadores.,Asalariados/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Brecha mujeres - hombres,ARG,,2000,6.856998443603516,4,1.240078,Brecha mujeres - hombres,5,Argentina,Argentina,Porcentaje de asalariados en el total de trabajadores.,Asalariados/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres de baja calificación,ARG,,2000,72.19570159912109,6,,Calificación (mujeres),7,Argentina,Argentina,Porcentaje de asalariados en el total de trabajadores.,Asalariados/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres,ARG,,2000,69.70032501220703,3,,Género,4,Argentina,Argentina,Porcentaje de asalariados en el total de trabajadores.,Asalariados/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Total,ARG,,2000,72.48831939697266,1,,Total,1,Argentina,Argentina,Porcentaje de asalariados en el total de trabajadores.,Asalariados/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
