id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2000,Total,ARG,,2000,-.1375126093626022,1,1,.019391837,Total,1,Argentina,Argentina,Coeficiente de la dummy “Mujer” en ecuación de Mincer de la población de 25 a 54 años.,Brecha salarial por género condicionada,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2001,Total,ARG,,2001,-.1458137631416321,1,1,.020671148,Total,1,Argentina,Argentina,Coeficiente de la dummy “Mujer” en ecuación de Mincer de la población de 25 a 54 años.,Brecha salarial por género condicionada,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2002,Total,ARG,,2002,-.1351490914821625,1,1,.019980019,Total,1,Argentina,Argentina,Coeficiente de la dummy “Mujer” en ecuación de Mincer de la población de 25 a 54 años.,Brecha salarial por género condicionada,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2003,Total,ARG,,2003,-.1260510683059692,1,1,.02262908,Total,1,Argentina,Argentina,Coeficiente de la dummy “Mujer” en ecuación de Mincer de la población de 25 a 54 años.,Brecha salarial por género condicionada,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2004,Total,ARG,,2004,-.1766069680452347,1,1,.021434147,Total,1,Argentina,Argentina,Coeficiente de la dummy “Mujer” en ecuación de Mincer de la población de 25 a 54 años.,Brecha salarial por género condicionada,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2005,Total,ARG,,2005,-.1680494248867035,1,1,.019154774,Total,1,Argentina,Argentina,Coeficiente de la dummy “Mujer” en ecuación de Mincer de la población de 25 a 54 años.,Brecha salarial por género condicionada,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2006,Total,ARG,,2006,-.1828214079141617,1,1,.018191479,Total,1,Argentina,Argentina,Coeficiente de la dummy “Mujer” en ecuación de Mincer de la población de 25 a 54 años.,Brecha salarial por género condicionada,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2007,Total,ARG,,2007,-.2077044397592545,1,1,.015014585,Total,1,Argentina,Argentina,Coeficiente de la dummy “Mujer” en ecuación de Mincer de la población de 25 a 54 años.,Brecha salarial por género condicionada,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2008,Total,ARG,,2008,-.1980540007352829,1,1,.014898716,Total,1,Argentina,Argentina,Coeficiente de la dummy “Mujer” en ecuación de Mincer de la población de 25 a 54 años.,Brecha salarial por género condicionada,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2009,Total,ARG,,2009,-.1756110787391663,1,1,.01504283,Total,1,Argentina,Argentina,Coeficiente de la dummy “Mujer” en ecuación de Mincer de la población de 25 a 54 años.,Brecha salarial por género condicionada,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2010,Total,ARG,,2010,-.1767427176237106,1,1,.014855863,Total,1,Argentina,Argentina,Coeficiente de la dummy “Mujer” en ecuación de Mincer de la población de 25 a 54 años.,Brecha salarial por género condicionada,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
