id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2000,Ratio mujeres/hombres,ARG,,2000,1.423994302749634,26,,Ratio mujeres/hombres,6,Argentina,Argentina,Porcentaje de la población con educación superior completa.,Adultos con alta calificación,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres con hijos de 0 a 5 años,ARG,,2000,13.35161399841309,10,,Hijos (hombres),8,Argentina,Argentina,Porcentaje de la población con educación superior completa.,Adultos con alta calificación,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres solteros,ARG,,2000,11.64860153198242,14,,Situación conyugal (hombres),10,Argentina,Argentina,Porcentaje de la población con educación superior completa.,Adultos con alta calificación,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Total,ARG,,2000,15.48550128936768,1,,Total,1,Argentina,Argentina,Porcentaje de la población con educación superior completa.,Adultos con alta calificación,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres,ARG,,2000,18.03610801696777,2,,Género,4,Argentina,Argentina,Porcentaje de la población con educación superior completa.,Adultos con alta calificación,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres con hijos de 6 años o más,ARG,,2000,12.3441972732544,11,,Hijos (hombres),8,Argentina,Argentina,Porcentaje de la población con educación superior completa.,Adultos con alta calificación,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombre,ARG,,2000,12.66585731506348,23,,Hombre,3,Argentina,Argentina,Porcentaje de la población con educación superior completa.,Adultos con alta calificación,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres con hijos de 6 años o más,ARG,,2000,15.21088027954102,8,,Hijos (mujeres),7,Argentina,Argentina,Porcentaje de la población con educación superior completa.,Adultos con alta calificación,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres,ARG,,2000,12.66585731506348,3,,Género,4,Argentina,Argentina,Porcentaje de la población con educación superior completa.,Adultos con alta calificación,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres solteras,ARG,,2000,19.78600883483887,12,,Situación conyugal (mujeres),9,Argentina,Argentina,Porcentaje de la población con educación superior completa.,Adultos con alta calificación,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
