id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2000,Total,ARG,,2000,67.95226287841797,1,1,,Total,1,Argentina,Argentina,Población ocupada como porcentaje de la población de 25 a 54 años.,Tasa de empleo,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres,ARG,,2000,52.63224792480469,2,2,,Género,4,Argentina,Argentina,Población ocupada como porcentaje de la población de 25 a 54 años.,Tasa de empleo,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres,ARG,,2000,84.877685546875,3,3,,Género,4,Argentina,Argentina,Población ocupada como porcentaje de la población de 25 a 54 años.,Tasa de empleo,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Brecha mujeres - hombres,ARG,,2000,-32.24543762207031,4,4,.98672444,Brecha mujeres - hombres,5,Argentina,Argentina,Población ocupada como porcentaje de la población de 25 a 54 años.,Tasa de empleo,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres sin hijos,ARG,,2000,68.25572967529297,6,6,,Hijos (mujeres),7,Argentina,Argentina,Población ocupada como porcentaje de la población de 25 a 54 años.,Tasa de empleo,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres con hijos de 0 a 5 años,ARG,,2000,41.35190200805664,7,7,,Hijos (mujeres),7,Argentina,Argentina,Población ocupada como porcentaje de la población de 25 a 54 años.,Tasa de empleo,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres con hijos de 6 años o más,ARG,,2000,50.13545608520508,8,8,,Hijos (mujeres),7,Argentina,Argentina,Población ocupada como porcentaje de la población de 25 a 54 años.,Tasa de empleo,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres sin hijos,ARG,,2000,85.45071411132813,9,9,,Hijos (hombres),8,Argentina,Argentina,Población ocupada como porcentaje de la población de 25 a 54 años.,Tasa de empleo,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres con hijos de 0 a 5 años,ARG,,2000,91.41380310058594,10,10,,Hijos (hombres),8,Argentina,Argentina,Población ocupada como porcentaje de la población de 25 a 54 años.,Tasa de empleo,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres con hijos de 6 años o más,ARG,,2000,87.10997772216797,11,11,,Hijos (hombres),8,Argentina,Argentina,Población ocupada como porcentaje de la población de 25 a 54 años.,Tasa de empleo,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
