id_paisano,desagregacion,pais_cod,encuesta,ano,gap,desagregacion_por_orden,variable_orden,boundL,boundH,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG-5,Mujer,ARG,,-5,-0.6968189477920532,1,,-1.419752836227417,0.026114875450730324,Mujer,1,Argentina,Argentina,"El gráfico muestra los Efectos del nacimiento del primer hijo (con intervalos de confianza al 95%) estimados a partir de un estudio de eventos con pseudo-paneles a nivel de individuos. Cada punto representa el cambio porcentual en las horas trabajadas semanales en el año indicado relativo al año previo al nacimiento (normalizado en cero), controlando por efectos fijos de cohorte y año.",Efecto maternidad sobre horas trabajadas,"Fuente de información: Construido en base a Encuestas de Hogares. Para más detalle ver Marchionni y Pedrazzi (2025), 'The last hurdle? Unyielding motherhood effects in the context of declining gender inequality in Latin America', World Development Vol. 195."
ARG-4,Mujer,ARG,,-4,0.7247636318206787,1,,0.05113885551691055,1.398388385772705,Mujer,1,Argentina,Argentina,"El gráfico muestra los Efectos del nacimiento del primer hijo (con intervalos de confianza al 95%) estimados a partir de un estudio de eventos con pseudo-paneles a nivel de individuos. Cada punto representa el cambio porcentual en las horas trabajadas semanales en el año indicado relativo al año previo al nacimiento (normalizado en cero), controlando por efectos fijos de cohorte y año.",Efecto maternidad sobre horas trabajadas,"Fuente de información: Construido en base a Encuestas de Hogares. Para más detalle ver Marchionni y Pedrazzi (2025), 'The last hurdle? Unyielding motherhood effects in the context of declining gender inequality in Latin America', World Development Vol. 195."
ARG-3,Mujer,ARG,,-3,0.09390988200902939,1,,-0.5435683131217957,0.7313988208770752,Mujer,1,Argentina,Argentina,"El gráfico muestra los Efectos del nacimiento del primer hijo (con intervalos de confianza al 95%) estimados a partir de un estudio de eventos con pseudo-paneles a nivel de individuos. Cada punto representa el cambio porcentual en las horas trabajadas semanales en el año indicado relativo al año previo al nacimiento (normalizado en cero), controlando por efectos fijos de cohorte y año.",Efecto maternidad sobre horas trabajadas,"Fuente de información: Construido en base a Encuestas de Hogares. Para más detalle ver Marchionni y Pedrazzi (2025), 'The last hurdle? Unyielding motherhood effects in the context of declining gender inequality in Latin America', World Development Vol. 195."
ARG-2,Mujer,ARG,,-2,0.669401228427887,1,,0.06069880351424217,1.2781035900115967,Mujer,1,Argentina,Argentina,"El gráfico muestra los Efectos del nacimiento del primer hijo (con intervalos de confianza al 95%) estimados a partir de un estudio de eventos con pseudo-paneles a nivel de individuos. Cada punto representa el cambio porcentual en las horas trabajadas semanales en el año indicado relativo al año previo al nacimiento (normalizado en cero), controlando por efectos fijos de cohorte y año.",Efecto maternidad sobre horas trabajadas,"Fuente de información: Construido en base a Encuestas de Hogares. Para más detalle ver Marchionni y Pedrazzi (2025), 'The last hurdle? Unyielding motherhood effects in the context of declining gender inequality in Latin America', World Development Vol. 195."
ARG-1,Mujer,ARG,,-1,0.0,1,,0.0,0.0,Mujer,1,Argentina,Argentina,"El gráfico muestra los Efectos del nacimiento del primer hijo (con intervalos de confianza al 95%) estimados a partir de un estudio de eventos con pseudo-paneles a nivel de individuos. Cada punto representa el cambio porcentual en las horas trabajadas semanales en el año indicado relativo al año previo al nacimiento (normalizado en cero), controlando por efectos fijos de cohorte y año.",Efecto maternidad sobre horas trabajadas,"Fuente de información: Construido en base a Encuestas de Hogares. Para más detalle ver Marchionni y Pedrazzi (2025), 'The last hurdle? Unyielding motherhood effects in the context of declining gender inequality in Latin America', World Development Vol. 195."
ARG0,Mujer,ARG,,0,-31.26302146911621,1,,-32.91510009765625,-29.610952377319336,Mujer,1,Argentina,Argentina,"El gráfico muestra los Efectos del nacimiento del primer hijo (con intervalos de confianza al 95%) estimados a partir de un estudio de eventos con pseudo-paneles a nivel de individuos. Cada punto representa el cambio porcentual en las horas trabajadas semanales en el año indicado relativo al año previo al nacimiento (normalizado en cero), controlando por efectos fijos de cohorte y año.",Efecto maternidad sobre horas trabajadas,"Fuente de información: Construido en base a Encuestas de Hogares. Para más detalle ver Marchionni y Pedrazzi (2025), 'The last hurdle? Unyielding motherhood effects in the context of declining gender inequality in Latin America', World Development Vol. 195."
ARG1,Mujer,ARG,,1,-12.702361106872559,1,,-14.122936248779297,-11.281786918640137,Mujer,1,Argentina,Argentina,"El gráfico muestra los Efectos del nacimiento del primer hijo (con intervalos de confianza al 95%) estimados a partir de un estudio de eventos con pseudo-paneles a nivel de individuos. Cada punto representa el cambio porcentual en las horas trabajadas semanales en el año indicado relativo al año previo al nacimiento (normalizado en cero), controlando por efectos fijos de cohorte y año.",Efecto maternidad sobre horas trabajadas,"Fuente de información: Construido en base a Encuestas de Hogares. Para más detalle ver Marchionni y Pedrazzi (2025), 'The last hurdle? Unyielding motherhood effects in the context of declining gender inequality in Latin America', World Development Vol. 195."
ARG2,Mujer,ARG,,2,-12.948732376098633,1,,-14.41406536102295,-11.483400344848633,Mujer,1,Argentina,Argentina,"El gráfico muestra los Efectos del nacimiento del primer hijo (con intervalos de confianza al 95%) estimados a partir de un estudio de eventos con pseudo-paneles a nivel de individuos. Cada punto representa el cambio porcentual en las horas trabajadas semanales en el año indicado relativo al año previo al nacimiento (normalizado en cero), controlando por efectos fijos de cohorte y año.",Efecto maternidad sobre horas trabajadas,"Fuente de información: Construido en base a Encuestas de Hogares. Para más detalle ver Marchionni y Pedrazzi (2025), 'The last hurdle? Unyielding motherhood effects in the context of declining gender inequality in Latin America', World Development Vol. 195."
ARG3,Mujer,ARG,,3,-11.737709045410156,1,,-13.191384315490723,-10.284045219421387,Mujer,1,Argentina,Argentina,"El gráfico muestra los Efectos del nacimiento del primer hijo (con intervalos de confianza al 95%) estimados a partir de un estudio de eventos con pseudo-paneles a nivel de individuos. Cada punto representa el cambio porcentual en las horas trabajadas semanales en el año indicado relativo al año previo al nacimiento (normalizado en cero), controlando por efectos fijos de cohorte y año.",Efecto maternidad sobre horas trabajadas,"Fuente de información: Construido en base a Encuestas de Hogares. Para más detalle ver Marchionni y Pedrazzi (2025), 'The last hurdle? Unyielding motherhood effects in the context of declining gender inequality in Latin America', World Development Vol. 195."
ARG4,Mujer,ARG,,4,-11.969078063964844,1,,-13.461216926574707,-10.47693920135498,Mujer,1,Argentina,Argentina,"El gráfico muestra los Efectos del nacimiento del primer hijo (con intervalos de confianza al 95%) estimados a partir de un estudio de eventos con pseudo-paneles a nivel de individuos. Cada punto representa el cambio porcentual en las horas trabajadas semanales en el año indicado relativo al año previo al nacimiento (normalizado en cero), controlando por efectos fijos de cohorte y año.",Efecto maternidad sobre horas trabajadas,"Fuente de información: Construido en base a Encuestas de Hogares. Para más detalle ver Marchionni y Pedrazzi (2025), 'The last hurdle? Unyielding motherhood effects in the context of declining gender inequality in Latin America', World Development Vol. 195."
