id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2000,Total,ARG,,2000,43.60792541503906,1,1,,Total,1,Argentina,Argentina,Trabajadores en empleos informales como porcentaje de la población ocupada de 25 a 54 años.,Tasa de informalidad laboral,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres,ARG,,2000,45.27947998046875,2,2,,Género,4,Argentina,Argentina,Trabajadores en empleos informales como porcentaje de la población ocupada de 25 a 54 años.,Tasa de informalidad laboral,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres,ARG,,2000,42.46278381347656,3,3,,Género,4,Argentina,Argentina,Trabajadores en empleos informales como porcentaje de la población ocupada de 25 a 54 años.,Tasa de informalidad laboral,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Brecha mujeres - hombres,ARG,,2000,2.816697359085083,4,4,1.3798215,Brecha mujeres - hombres,5,Argentina,Argentina,Trabajadores en empleos informales como porcentaje de la población ocupada de 25 a 54 años.,Tasa de informalidad laboral,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres sin hijos,ARG,,2000,36.17775344848633,6,6,,Hijos (mujeres),7,Argentina,Argentina,Trabajadores en empleos informales como porcentaje de la población ocupada de 25 a 54 años.,Tasa de informalidad laboral,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres con hijos de 0 a 5 años,ARG,,2000,45.13745880126953,7,7,,Hijos (mujeres),7,Argentina,Argentina,Trabajadores en empleos informales como porcentaje de la población ocupada de 25 a 54 años.,Tasa de informalidad laboral,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres con hijos de 6 años o más,ARG,,2000,49.27090072631836,8,8,,Hijos (mujeres),7,Argentina,Argentina,Trabajadores en empleos informales como porcentaje de la población ocupada de 25 a 54 años.,Tasa de informalidad laboral,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres sin hijos,ARG,,2000,39.91713333129883,9,9,,Hijos (hombres),8,Argentina,Argentina,Trabajadores en empleos informales como porcentaje de la población ocupada de 25 a 54 años.,Tasa de informalidad laboral,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres con hijos de 0 a 5 años,ARG,,2000,42.57070922851563,10,10,,Hijos (hombres),8,Argentina,Argentina,Trabajadores en empleos informales como porcentaje de la población ocupada de 25 a 54 años.,Tasa de informalidad laboral,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres con hijos de 6 años o más,ARG,,2000,39.46820449829102,11,11,,Hijos (hombres),8,Argentina,Argentina,Trabajadores en empleos informales como porcentaje de la población ocupada de 25 a 54 años.,Tasa de informalidad laboral,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres solteras,ARG,,2000,44.86193466186523,12,12,,Situación conyugal (mujeres),9,Argentina,Argentina,Trabajadores en empleos informales como porcentaje de la población ocupada de 25 a 54 años.,Tasa de informalidad laboral,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres en pareja,ARG,,2000,45.56541061401367,13,13,,Situación conyugal (mujeres),9,Argentina,Argentina,Trabajadores en empleos informales como porcentaje de la población ocupada de 25 a 54 años.,Tasa de informalidad laboral,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres solteros,ARG,,2000,47.16404724121094,14,14,,Situación conyugal (hombres),10,Argentina,Argentina,Trabajadores en empleos informales como porcentaje de la población ocupada de 25 a 54 años.,Tasa de informalidad laboral,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres en pareja,ARG,,2000,41.15337371826172,15,15,,Situación conyugal (hombres),10,Argentina,Argentina,Trabajadores en empleos informales como porcentaje de la población ocupada de 25 a 54 años.,Tasa de informalidad laboral,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres de baja calificación,ARG,,2000,71.45670318603516,16,16,,Calificación (mujeres),11,Argentina,Argentina,Trabajadores en empleos informales como porcentaje de la población ocupada de 25 a 54 años.,Tasa de informalidad laboral,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres de media calificación,ARG,,2000,41.02555847167969,17,17,,Calificación (mujeres),11,Argentina,Argentina,Trabajadores en empleos informales como porcentaje de la población ocupada de 25 a 54 años.,Tasa de informalidad laboral,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres de alta calificación,ARG,,2000,13.05596542358398,18,18,,Calificación (mujeres),11,Argentina,Argentina,Trabajadores en empleos informales como porcentaje de la población ocupada de 25 a 54 años.,Tasa de informalidad laboral,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres de baja calificación,ARG,,2000,53.3577880859375,19,19,,Calificación (hombres),12,Argentina,Argentina,Trabajadores en empleos informales como porcentaje de la población ocupada de 25 a 54 años.,Tasa de informalidad laboral,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres de media calificación,ARG,,2000,37.88361358642578,20,20,,Calificación (hombres),12,Argentina,Argentina,Trabajadores en empleos informales como porcentaje de la población ocupada de 25 a 54 años.,Tasa de informalidad laboral,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres de alta calificación,ARG,,2000,11.39670753479004,21,21,,Calificación (hombres),12,Argentina,Argentina,Trabajadores en empleos informales como porcentaje de la población ocupada de 25 a 54 años.,Tasa de informalidad laboral,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujer,ARG,,2000,45.27947998046875,22,22,,Mujer,2,Argentina,Argentina,Trabajadores en empleos informales como porcentaje de la población ocupada de 25 a 54 años.,Tasa de informalidad laboral,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombre,ARG,,2000,42.46278381347656,23,23,,Hombre,3,Argentina,Argentina,Trabajadores en empleos informales como porcentaje de la población ocupada de 25 a 54 años.,Tasa de informalidad laboral,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Ratio mujeres/hombres,ARG,,2000,1.066333293914795,26,26,,Ratio mujeres/hombres,6,Argentina,Argentina,Trabajadores en empleos informales como porcentaje de la población ocupada de 25 a 54 años.,Tasa de informalidad laboral,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Total,ARG,,2001,44.62181091308594,1,1,,Total,1,Argentina,Argentina,Trabajadores en empleos informales como porcentaje de la población ocupada de 25 a 54 años.,Tasa de informalidad laboral,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Mujeres,ARG,,2001,46.09638977050781,2,2,,Género,4,Argentina,Argentina,Trabajadores en empleos informales como porcentaje de la población ocupada de 25 a 54 años.,Tasa de informalidad laboral,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Hombres,ARG,,2001,43.57074737548828,3,3,,Género,4,Argentina,Argentina,Trabajadores en empleos informales como porcentaje de la población ocupada de 25 a 54 años.,Tasa de informalidad laboral,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Brecha mujeres - hombres,ARG,,2001,2.525642395019531,4,4,1.3975894,Brecha mujeres - hombres,5,Argentina,Argentina,Trabajadores en empleos informales como porcentaje de la población ocupada de 25 a 54 años.,Tasa de informalidad laboral,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Mujeres sin hijos,ARG,,2001,35.01393508911133,6,6,,Hijos (mujeres),7,Argentina,Argentina,Trabajadores en empleos informales como porcentaje de la población ocupada de 25 a 54 años.,Tasa de informalidad laboral,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Mujeres con hijos de 0 a 5 años,ARG,,2001,48.66585540771484,7,7,,Hijos (mujeres),7,Argentina,Argentina,Trabajadores en empleos informales como porcentaje de la población ocupada de 25 a 54 años.,Tasa de informalidad laboral,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
