id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2000,Total,ARG,,2000,,1,1,,Total,1,Argentina,Argentina,Trabajadores en puestos de mayor jerarquía como porcentaje de la población ocupada de 25 a 54 años. Se considera de alta jerarquía a la categoría 1 de la clasificación ISCO-08.,Porcentaje de trabajadores en puestos de alta jerarquía,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres,ARG,,2000,,2,2,,Género,4,Argentina,Argentina,Trabajadores en puestos de mayor jerarquía como porcentaje de la población ocupada de 25 a 54 años. Se considera de alta jerarquía a la categoría 1 de la clasificación ISCO-08.,Porcentaje de trabajadores en puestos de alta jerarquía,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres,ARG,,2000,,3,3,,Género,4,Argentina,Argentina,Trabajadores en puestos de mayor jerarquía como porcentaje de la población ocupada de 25 a 54 años. Se considera de alta jerarquía a la categoría 1 de la clasificación ISCO-08.,Porcentaje de trabajadores en puestos de alta jerarquía,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Brecha mujeres - hombres,ARG,,2000,,4,4,0,Brecha mujeres - hombres,5,Argentina,Argentina,Trabajadores en puestos de mayor jerarquía como porcentaje de la población ocupada de 25 a 54 años. Se considera de alta jerarquía a la categoría 1 de la clasificación ISCO-08.,Porcentaje de trabajadores en puestos de alta jerarquía,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres sin hijos,ARG,,2000,,6,6,,Hijos (mujeres),7,Argentina,Argentina,Trabajadores en puestos de mayor jerarquía como porcentaje de la población ocupada de 25 a 54 años. Se considera de alta jerarquía a la categoría 1 de la clasificación ISCO-08.,Porcentaje de trabajadores en puestos de alta jerarquía,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres con hijos de 0 a 5 años,ARG,,2000,,7,7,,Hijos (mujeres),7,Argentina,Argentina,Trabajadores en puestos de mayor jerarquía como porcentaje de la población ocupada de 25 a 54 años. Se considera de alta jerarquía a la categoría 1 de la clasificación ISCO-08.,Porcentaje de trabajadores en puestos de alta jerarquía,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres con hijos de 6 años o más,ARG,,2000,,8,8,,Hijos (mujeres),7,Argentina,Argentina,Trabajadores en puestos de mayor jerarquía como porcentaje de la población ocupada de 25 a 54 años. Se considera de alta jerarquía a la categoría 1 de la clasificación ISCO-08.,Porcentaje de trabajadores en puestos de alta jerarquía,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres sin hijos,ARG,,2000,,9,9,,Hijos (hombres),8,Argentina,Argentina,Trabajadores en puestos de mayor jerarquía como porcentaje de la población ocupada de 25 a 54 años. Se considera de alta jerarquía a la categoría 1 de la clasificación ISCO-08.,Porcentaje de trabajadores en puestos de alta jerarquía,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres con hijos de 0 a 5 años,ARG,,2000,,10,10,,Hijos (hombres),8,Argentina,Argentina,Trabajadores en puestos de mayor jerarquía como porcentaje de la población ocupada de 25 a 54 años. Se considera de alta jerarquía a la categoría 1 de la clasificación ISCO-08.,Porcentaje de trabajadores en puestos de alta jerarquía,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres con hijos de 6 años o más,ARG,,2000,,11,11,,Hijos (hombres),8,Argentina,Argentina,Trabajadores en puestos de mayor jerarquía como porcentaje de la población ocupada de 25 a 54 años. Se considera de alta jerarquía a la categoría 1 de la clasificación ISCO-08.,Porcentaje de trabajadores en puestos de alta jerarquía,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres solteras,ARG,,2000,,12,12,,Situación conyugal (mujeres),9,Argentina,Argentina,Trabajadores en puestos de mayor jerarquía como porcentaje de la población ocupada de 25 a 54 años. Se considera de alta jerarquía a la categoría 1 de la clasificación ISCO-08.,Porcentaje de trabajadores en puestos de alta jerarquía,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres en pareja,ARG,,2000,,13,13,,Situación conyugal (mujeres),9,Argentina,Argentina,Trabajadores en puestos de mayor jerarquía como porcentaje de la población ocupada de 25 a 54 años. Se considera de alta jerarquía a la categoría 1 de la clasificación ISCO-08.,Porcentaje de trabajadores en puestos de alta jerarquía,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
