id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,indicador,detalle_indicador,disclaimer
BOL2003,Women,BOL,ENDSA 2003,2003,23.69001007080078,1,1,Women,1,Bolivia,Percentage of women using modern contraceptive methods - DHS,Percentage of women aged 15-49 using modern contraceptive methods.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2003,Women without children,BOL,ENDSA 2003,2003,4.480734348297119,2,2,Children (women),2,Bolivia,Percentage of women using modern contraceptive methods - DHS,Percentage of women aged 15-49 using modern contraceptive methods.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2003,Women with children aged 0-5,BOL,ENDSA 2003,2003,33.46160125732422,3,3,Children (women),2,Bolivia,Percentage of women using modern contraceptive methods - DHS,Percentage of women aged 15-49 using modern contraceptive methods.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2003,Women with children older than 5,BOL,ENDSA 2003,2003,31.65196418762207,4,4,Children (women),2,Bolivia,Percentage of women using modern contraceptive methods - DHS,Percentage of women aged 15-49 using modern contraceptive methods.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2003,Not married women,BOL,ENDSA 2003,2003,6.950142383575439,5,5,Marital status (women),3,Bolivia,Percentage of women using modern contraceptive methods - DHS,Percentage of women aged 15-49 using modern contraceptive methods.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2003,Married women,BOL,ENDSA 2003,2003,34.91178512573242,6,6,Marital status (women),3,Bolivia,Percentage of women using modern contraceptive methods - DHS,Percentage of women aged 15-49 using modern contraceptive methods.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2003,Low skilled women,BOL,ENDSA 2003,2003,21.13446807861328,7,7,Qualification (women),4,Bolivia,Percentage of women using modern contraceptive methods - DHS,Percentage of women aged 15-49 using modern contraceptive methods.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2003,Medium skilled women,BOL,ENDSA 2003,2003,28.15497970581055,8,8,Qualification (women),4,Bolivia,Percentage of women using modern contraceptive methods - DHS,Percentage of women aged 15-49 using modern contraceptive methods.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2003,High skilled women,BOL,ENDSA 2003,2003,35.75577163696289,9,9,Qualification (women),4,Bolivia,Percentage of women using modern contraceptive methods - DHS,Percentage of women aged 15-49 using modern contraceptive methods.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2008,Women,BOL,ENDSA 2008,2008,23.96825408935547,1,1,Women,1,Bolivia,Percentage of women using modern contraceptive methods - DHS,Percentage of women aged 15-49 using modern contraceptive methods.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2008,Women without children,BOL,ENDSA 2008,2008,5.833423137664795,2,2,Children (women),2,Bolivia,Percentage of women using modern contraceptive methods - DHS,Percentage of women aged 15-49 using modern contraceptive methods.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2008,Women with children aged 0-5,BOL,ENDSA 2008,2008,33.13686370849609,3,3,Children (women),2,Bolivia,Percentage of women using modern contraceptive methods - DHS,Percentage of women aged 15-49 using modern contraceptive methods.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2008,Women with children older than 5,BOL,ENDSA 2008,2008,30.93076515197754,4,4,Children (women),2,Bolivia,Percentage of women using modern contraceptive methods - DHS,Percentage of women aged 15-49 using modern contraceptive methods.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2008,Not married women,BOL,ENDSA 2008,2008,8.082694053649902,5,5,Marital status (women),3,Bolivia,Percentage of women using modern contraceptive methods - DHS,Percentage of women aged 15-49 using modern contraceptive methods.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2008,Married women,BOL,ENDSA 2008,2008,34.56356811523438,6,6,Marital status (women),3,Bolivia,Percentage of women using modern contraceptive methods - DHS,Percentage of women aged 15-49 using modern contraceptive methods.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2008,Low skilled women,BOL,ENDSA 2008,2008,21.88817405700684,7,7,Qualification (women),4,Bolivia,Percentage of women using modern contraceptive methods - DHS,Percentage of women aged 15-49 using modern contraceptive methods.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2008,Medium skilled women,BOL,ENDSA 2008,2008,26.67966461181641,8,8,Qualification (women),4,Bolivia,Percentage of women using modern contraceptive methods - DHS,Percentage of women aged 15-49 using modern contraceptive methods.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2008,High skilled women,BOL,ENDSA 2008,2008,30.92051124572754,9,9,Qualification (women),4,Bolivia,Percentage of women using modern contraceptive methods - DHS,Percentage of women aged 15-49 using modern contraceptive methods.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2000,Women,COL,ENDSA 2000,2000,43.839599609375,1,1,Women,1,Colombia,Percentage of women using modern contraceptive methods - DHS,Percentage of women aged 15-49 using modern contraceptive methods.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2000,Women without children,COL,ENDSA 2000,2000,12.45277118682861,2,2,Children (women),2,Colombia,Percentage of women using modern contraceptive methods - DHS,Percentage of women aged 15-49 using modern contraceptive methods.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2000,Women with children aged 0-5,COL,ENDSA 2000,2000,57.5058708190918,3,3,Children (women),2,Colombia,Percentage of women using modern contraceptive methods - DHS,Percentage of women aged 15-49 using modern contraceptive methods.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2000,Women with children older than 5,COL,ENDSA 2000,2000,61.81415557861328,4,4,Children (women),2,Colombia,Percentage of women using modern contraceptive methods - DHS,Percentage of women aged 15-49 using modern contraceptive methods.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
