id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,indicador,detalle_indicador,disclaimer
ARG2011,Women,ARG,MICS 2011-12,2011,56.09298706054688,1,1,Women,1,Argentina,Percentage of women using modern contraceptive methods - MICS,Percentage of women aged 15-49 using modern contraceptive methods.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2011,Women without children,ARG,MICS 2011-12,2011,58.68031311035156,2,2,Children (women),2,Argentina,Percentage of women using modern contraceptive methods - MICS,Percentage of women aged 15-49 using modern contraceptive methods.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2011,Women with children aged 0-5,ARG,MICS 2011-12,2011,74.21699523925781,3,3,Children (women),2,Argentina,Percentage of women using modern contraceptive methods - MICS,Percentage of women aged 15-49 using modern contraceptive methods.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2011,Women with children older than 5,ARG,MICS 2011-12,2011,56.42380523681641,4,4,Children (women),2,Argentina,Percentage of women using modern contraceptive methods - MICS,Percentage of women aged 15-49 using modern contraceptive methods.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2011,Low skilled women,ARG,MICS 2011-12,2011,57.94914627075195,7,7,Qualification (women),4,Argentina,Percentage of women using modern contraceptive methods - MICS,Percentage of women aged 15-49 using modern contraceptive methods.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2011,Medium skilled women,ARG,MICS 2011-12,2011,60.50774002075195,8,8,Qualification (women),4,Argentina,Percentage of women using modern contraceptive methods - MICS,Percentage of women aged 15-49 using modern contraceptive methods.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2011,High skilled women,ARG,MICS 2011-12,2011,63.66492462158203,9,9,Qualification (women),4,Argentina,Percentage of women using modern contraceptive methods - MICS,Percentage of women aged 15-49 using modern contraceptive methods.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2019,Women,ARG,MICS 2019-20,2019,60.03580093383789,1,1,Women,1,Argentina,Percentage of women using modern contraceptive methods - MICS,Percentage of women aged 15-49 using modern contraceptive methods.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2019,Women without children,ARG,MICS 2019-20,2019,52.86044692993164,2,2,Children (women),2,Argentina,Percentage of women using modern contraceptive methods - MICS,Percentage of women aged 15-49 using modern contraceptive methods.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2019,Women with children aged 0-5,ARG,MICS 2019-20,2019,75.49819946289063,3,3,Children (women),2,Argentina,Percentage of women using modern contraceptive methods - MICS,Percentage of women aged 15-49 using modern contraceptive methods.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
