id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,indicador,detalle_indicador,disclaimer
BOL2003,Women,BOL,ENDSA 2003,2003,29.34689331054688,1,1,Women,1,Bolivia,Percentage of women without access to contraception,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2003,Women without children,BOL,ENDSA 2003,2003,50.06045150756836,2,2,Children (women),2,Bolivia,Percentage of women without access to contraception,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2003,Women with children aged 0-5,BOL,ENDSA 2003,2003,31.49939346313477,3,3,Children (women),2,Bolivia,Percentage of women without access to contraception,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2003,Women with children older than 5,BOL,ENDSA 2003,2003,26.4956169128418,4,4,Children (women),2,Bolivia,Percentage of women without access to contraception,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2003,Not married women,BOL,ENDSA 2003,2003,32.36383056640625,5,5,Marital status (women),3,Bolivia,Percentage of women without access to contraception,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2003,Married women,BOL,ENDSA 2003,2003,31.20409965515137,6,6,Marital status (women),3,Bolivia,Percentage of women without access to contraception,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2003,Low skilled women,BOL,ENDSA 2003,2003,35.82535934448242,7,7,Qualification (women),4,Bolivia,Percentage of women without access to contraception,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2003,Medium skilled women,BOL,ENDSA 2003,2003,19.52713966369629,8,8,Qualification (women),4,Bolivia,Percentage of women without access to contraception,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2003,High skilled women,BOL,ENDSA 2003,2003,15.0391845703125,9,9,Qualification (women),4,Bolivia,Percentage of women without access to contraception,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2008,Women,BOL,ENDSA 2008,2008,24.49351119995117,1,1,Women,1,Bolivia,Percentage of women without access to contraception,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2008,Women without children,BOL,ENDSA 2008,2008,33.52506637573242,2,2,Children (women),2,Bolivia,Percentage of women without access to contraception,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2008,Women with children aged 0-5,BOL,ENDSA 2008,2008,27.83625411987305,3,3,Children (women),2,Bolivia,Percentage of women without access to contraception,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2008,Women with children older than 5,BOL,ENDSA 2008,2008,20.39818000793457,4,4,Children (women),2,Bolivia,Percentage of women without access to contraception,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2008,Not married women,BOL,ENDSA 2008,2008,21.42830467224121,5,5,Marital status (women),3,Bolivia,Percentage of women without access to contraception,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2008,Married women,BOL,ENDSA 2008,2008,26.26676368713379,6,6,Marital status (women),3,Bolivia,Percentage of women without access to contraception,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2008,Low skilled women,BOL,ENDSA 2008,2008,30.76307678222656,7,7,Qualification (women),4,Bolivia,Percentage of women without access to contraception,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2008,Medium skilled women,BOL,ENDSA 2008,2008,15.97763538360596,8,8,Qualification (women),4,Bolivia,Percentage of women without access to contraception,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2008,High skilled women,BOL,ENDSA 2008,2008,14.52097988128662,9,9,Qualification (women),4,Bolivia,Percentage of women without access to contraception,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2000,Women,COL,ENDSA 2000,2000,10.94039440155029,1,1,Women,1,Colombia,Percentage of women without access to contraception,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2000,Women without children,COL,ENDSA 2000,2000,26.76603507995605,2,2,Children (women),2,Colombia,Percentage of women without access to contraception,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2000,Women with children aged 0-5,COL,ENDSA 2000,2000,14.05913925170898,3,3,Children (women),2,Colombia,Percentage of women without access to contraception,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2000,Women with children older than 5,COL,ENDSA 2000,2000,9.34900951385498,4,4,Children (women),2,Colombia,Percentage of women without access to contraception,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2000,Not married women,COL,ENDSA 2000,2000,12.07913208007813,5,5,Marital status (women),3,Colombia,Percentage of women without access to contraception,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2000,Married women,COL,ENDSA 2000,2000,13.93692684173584,6,6,Marital status (women),3,Colombia,Percentage of women without access to contraception,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2000,Low skilled women,COL,ENDSA 2000,2000,15.09583377838135,7,7,Qualification (women),4,Colombia,Percentage of women without access to contraception,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2000,Medium skilled women,COL,ENDSA 2000,2000,11.2384729385376,8,8,Qualification (women),4,Colombia,Percentage of women without access to contraception,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2000,High skilled women,COL,ENDSA 2000,2000,7.119059562683105,9,9,Qualification (women),4,Colombia,Percentage of women without access to contraception,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2005,Women,COL,ENDSA 2005,2005,10.34647274017334,1,1,Women,1,Colombia,Percentage of women without access to contraception,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2005,Women without children,COL,ENDSA 2005,2005,28.21581840515137,2,2,Children (women),2,Colombia,Percentage of women without access to contraception,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2005,Women with children aged 0-5,COL,ENDSA 2005,2005,11.95433902740479,3,3,Children (women),2,Colombia,Percentage of women without access to contraception,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2005,Women with children older than 5,COL,ENDSA 2005,2005,9.727659225463867,4,4,Children (women),2,Colombia,Percentage of women without access to contraception,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2005,Not married women,COL,ENDSA 2005,2005,16.44441604614258,5,5,Marital status (women),3,Colombia,Percentage of women without access to contraception,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2005,Married women,COL,ENDSA 2005,2005,12.32330703735352,6,6,Marital status (women),3,Colombia,Percentage of women without access to contraception,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2005,Low skilled women,COL,ENDSA 2005,2005,13.78830528259277,7,7,Qualification (women),4,Colombia,Percentage of women without access to contraception,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2005,Medium skilled women,COL,ENDSA 2005,2005,12.58053207397461,8,8,Qualification (women),4,Colombia,Percentage of women without access to contraception,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2005,High skilled women,COL,ENDSA 2005,2005,9.705343246459961,9,9,Qualification (women),4,Colombia,Percentage of women without access to contraception,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2010,Women,COL,ENDSA 2010,2010,10.08438491821289,1,1,Women,1,Colombia,Percentage of women without access to contraception,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2010,Women without children,COL,ENDSA 2010,2010,24.1590633392334,2,2,Children (women),2,Colombia,Percentage of women without access to contraception,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
