id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,indicador,detalle_indicador,disclaimer
ARG2019,Women,ARG,MICS 2019-20,2019,17.57874870300293,1,1,Women,1,Argentina,Percentage of women without access to contraception - MICS,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2019,Women without children,ARG,MICS 2019-20,2019,15.5263614654541,2,2,Children (women),2,Argentina,Percentage of women without access to contraception - MICS,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2019,Women with children aged 0-5,ARG,MICS 2019-20,2019,11.47681713104248,3,3,Children (women),2,Argentina,Percentage of women without access to contraception - MICS,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2019,Women with children older than 5,ARG,MICS 2019-20,2019,13.24783611297607,4,4,Children (women),2,Argentina,Percentage of women without access to contraception - MICS,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2019,Not married women,ARG,MICS 2019-20,2019,20.99672889709473,5,5,Marital status (women),3,Argentina,Percentage of women without access to contraception - MICS,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2019,Married women,ARG,MICS 2019-20,2019,14.16905879974365,6,6,Marital status (women),3,Argentina,Percentage of women without access to contraception - MICS,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2019,Low skilled women,ARG,MICS 2019-20,2019,20.2706356048584,7,7,Qualification (women),4,Argentina,Percentage of women without access to contraception - MICS,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2019,Medium skilled women,ARG,MICS 2019-20,2019,16.85270309448242,8,8,Qualification (women),4,Argentina,Percentage of women without access to contraception - MICS,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2019,High skilled women,ARG,MICS 2019-20,2019,12.6394157409668,9,9,Qualification (women),4,Argentina,Percentage of women without access to contraception - MICS,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
CRI2011,Women,CRI,MICS 2011,2011,15.34794330596924,1,1,Women,1,Costa Rica,Percentage of women without access to contraception - MICS,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
CRI2011,Women without children,CRI,MICS 2011,2011,37.9786262512207,2,2,Children (women),2,Costa Rica,Percentage of women without access to contraception - MICS,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
CRI2011,Women with children aged 0-5,CRI,MICS 2011,2011,12.61059474945068,3,3,Children (women),2,Costa Rica,Percentage of women without access to contraception - MICS,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
CRI2011,Women with children older than 5,CRI,MICS 2011,2011,14.80331516265869,4,4,Children (women),2,Costa Rica,Percentage of women without access to contraception - MICS,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
CRI2011,Not married women,CRI,MICS 2011,2011,30.6180362701416,5,5,Marital status (women),3,Costa Rica,Percentage of women without access to contraception - MICS,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
CRI2011,Married women,CRI,MICS 2011,2011,12.22155666351318,6,6,Marital status (women),3,Costa Rica,Percentage of women without access to contraception - MICS,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
CRI2011,Low skilled women,CRI,MICS 2011,2011,18.66874122619629,7,7,Qualification (women),4,Costa Rica,Percentage of women without access to contraception - MICS,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
CRI2011,Medium skilled women,CRI,MICS 2011,2011,6.954928874969482,8,8,Qualification (women),4,Costa Rica,Percentage of women without access to contraception - MICS,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
CRI2011,High skilled women,CRI,MICS 2011,2011,11.29026031494141,9,9,Qualification (women),4,Costa Rica,Percentage of women without access to contraception - MICS,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
CRI2018,Women,CRI,MICS 2018,2018,19.45190811157227,1,1,Women,1,Costa Rica,Percentage of women without access to contraception - MICS,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
CRI2018,Women without children,CRI,MICS 2018,2018,21.63137054443359,2,2,Children (women),2,Costa Rica,Percentage of women without access to contraception - MICS,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
CRI2018,Women with children aged 0-5,CRI,MICS 2018,2018,17.27298355102539,3,3,Children (women),2,Costa Rica,Percentage of women without access to contraception - MICS,Percentage of women aged 15-49 without access to contraception.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
