id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,detalle_indicador,indicador,disclaimer
ARG2013,Women/men ratio,ARG,MUT - EAHU 2013,2013,1.827393054962158,26,26,,Women/men ratio,6,Argentina,"Percentage of individuals aged 25-54 who provide support to other households, including housework and care activities.",Participation in activities of support to other households,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (low skilled),ARG,MUT - EAHU 2013,2013,2.157775163650513,27,27,,Ratio qualification,15,Argentina,"Percentage of individuals aged 25-54 who provide support to other households, including housework and care activities.",Participation in activities of support to other households,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (medium skilled),ARG,MUT - EAHU 2013,2013,1.604380130767822,28,28,,Ratio qualification,15,Argentina,"Percentage of individuals aged 25-54 who provide support to other households, including housework and care activities.",Participation in activities of support to other households,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (high skilled),ARG,MUT - EAHU 2013,2013,1.572682857513428,29,29,,Ratio qualification,15,Argentina,"Percentage of individuals aged 25-54 who provide support to other households, including housework and care activities.",Participation in activities of support to other households,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (not married),ARG,MUT - EAHU 2013,2013,1.463461399078369,30,30,,Ratio marital status,14,Argentina,"Percentage of individuals aged 25-54 who provide support to other households, including housework and care activities.",Participation in activities of support to other households,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (married),ARG,MUT - EAHU 2013,2013,2.043101072311401,31,31,,Ratio marital status,14,Argentina,"Percentage of individuals aged 25-54 who provide support to other households, including housework and care activities.",Participation in activities of support to other households,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (without children),ARG,MUT - EAHU 2013,2013,.9335669279098511,32,32,,Ratio children,13,Argentina,"Percentage of individuals aged 25-54 who provide support to other households, including housework and care activities.",Participation in activities of support to other households,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (with children aged 0-5),ARG,MUT - EAHU 2013,2013,1.558334589004517,33,33,,Ratio children,13,Argentina,"Percentage of individuals aged 25-54 who provide support to other households, including housework and care activities.",Participation in activities of support to other households,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (with children older than 5),ARG,MUT - EAHU 2013,2013,2.731723070144653,34,34,,Ratio children,13,Argentina,"Percentage of individuals aged 25-54 who provide support to other households, including housework and care activities.",Participation in activities of support to other households,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio,CHL,ENUT 2015,2015,1.528794050216675,26,26,,Women/men ratio,6,Chile,"Percentage of individuals aged 25-54 who provide support to other households, including housework and care activities.",Participation in activities of support to other households,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio (low skilled),CHL,ENUT 2015,2015,1.846789360046387,27,27,,Ratio qualification,15,Chile,"Percentage of individuals aged 25-54 who provide support to other households, including housework and care activities.",Participation in activities of support to other households,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio (medium skilled),CHL,ENUT 2015,2015,1.502833127975464,28,28,,Ratio qualification,15,Chile,"Percentage of individuals aged 25-54 who provide support to other households, including housework and care activities.",Participation in activities of support to other households,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio (high skilled),CHL,ENUT 2015,2015,1.397691607475281,29,29,,Ratio qualification,15,Chile,"Percentage of individuals aged 25-54 who provide support to other households, including housework and care activities.",Participation in activities of support to other households,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio (not married),CHL,ENUT 2015,2015,1.197508335113525,30,30,,Ratio marital status,14,Chile,"Percentage of individuals aged 25-54 who provide support to other households, including housework and care activities.",Participation in activities of support to other households,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio (married),CHL,ENUT 2015,2015,1.789337396621704,31,31,,Ratio marital status,14,Chile,"Percentage of individuals aged 25-54 who provide support to other households, including housework and care activities.",Participation in activities of support to other households,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio (without children),CHL,ENUT 2015,2015,1.739725351333618,32,32,,Ratio children,13,Chile,"Percentage of individuals aged 25-54 who provide support to other households, including housework and care activities.",Participation in activities of support to other households,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio (with children aged 0-5),CHL,ENUT 2015,2015,1.586623430252075,33,33,,Ratio children,13,Chile,"Percentage of individuals aged 25-54 who provide support to other households, including housework and care activities.",Participation in activities of support to other households,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio (with children older than 5),CHL,ENUT 2015,2015,1.868793845176697,34,34,,Ratio children,13,Chile,"Percentage of individuals aged 25-54 who provide support to other households, including housework and care activities.",Participation in activities of support to other households,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2012,Women/men ratio,COL,ENUT 2012-13,2012,2.671377182006836,26,26,,Women/men ratio,6,Colombia,"Percentage of individuals aged 25-54 who provide support to other households, including housework and care activities.",Participation in activities of support to other households,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2012,Women/men ratio (low skilled),COL,ENUT 2012-13,2012,3.669470548629761,27,27,,Ratio qualification,15,Colombia,"Percentage of individuals aged 25-54 who provide support to other households, including housework and care activities.",Participation in activities of support to other households,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2012,Women/men ratio (medium skilled),COL,ENUT 2012-13,2012,2.278687715530396,28,28,,Ratio qualification,15,Colombia,"Percentage of individuals aged 25-54 who provide support to other households, including housework and care activities.",Participation in activities of support to other households,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2012,Women/men ratio (high skilled),COL,ENUT 2012-13,2012,1.341424584388733,29,29,,Ratio qualification,15,Colombia,"Percentage of individuals aged 25-54 who provide support to other households, including housework and care activities.",Participation in activities of support to other households,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2012,Women/men ratio (not married),COL,ENUT 2012-13,2012,2.142520427703857,30,30,,Ratio marital status,14,Colombia,"Percentage of individuals aged 25-54 who provide support to other households, including housework and care activities.",Participation in activities of support to other households,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2012,Women/men ratio (married),COL,ENUT 2012-13,2012,3.011445045471191,31,31,,Ratio marital status,14,Colombia,"Percentage of individuals aged 25-54 who provide support to other households, including housework and care activities.",Participation in activities of support to other households,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2012,Women/men ratio (without children),COL,ENUT 2012-13,2012,3.558581113815308,32,32,,Ratio children,13,Colombia,"Percentage of individuals aged 25-54 who provide support to other households, including housework and care activities.",Participation in activities of support to other households,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2012,Women/men ratio (with children aged 0-5),COL,ENUT 2012-13,2012,2.789053916931152,33,33,,Ratio children,13,Colombia,"Percentage of individuals aged 25-54 who provide support to other households, including housework and care activities.",Participation in activities of support to other households,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2012,Women/men ratio (with children older than 5),COL,ENUT 2012-13,2012,3.009966850280762,34,34,,Ratio children,13,Colombia,"Percentage of individuals aged 25-54 who provide support to other households, including housework and care activities.",Participation in activities of support to other households,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
