id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,indicador,detalle_indicador,disclaimer
BOL2003,Women,BOL,ENDSA 2003,2003,.587451159954071,1,1,Women,1,Bolivia,Gap between actual and desired fertility,Difference between the actual and the desired number of children. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2003,Not married women,BOL,ENDSA 2003,2003,-.4809511303901672,2,2,Marital status (women),3,Bolivia,Gap between actual and desired fertility,Difference between the actual and the desired number of children. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2003,Married women,BOL,ENDSA 2003,2003,.856672465801239,3,3,Marital status (women),3,Bolivia,Gap between actual and desired fertility,Difference between the actual and the desired number of children. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2003,Low skilled women,BOL,ENDSA 2003,2003,1.139367341995239,4,4,Qualification (women),4,Bolivia,Gap between actual and desired fertility,Difference between the actual and the desired number of children. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2003,Medium skilled women,BOL,ENDSA 2003,2003,-.521149218082428,5,5,Qualification (women),4,Bolivia,Gap between actual and desired fertility,Difference between the actual and the desired number of children. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2003,High skilled women,BOL,ENDSA 2003,2003,-1.149469614028931,6,6,Qualification (women),4,Bolivia,Gap between actual and desired fertility,Difference between the actual and the desired number of children. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2008,Women,BOL,ENDSA 2008,2008,.5160285234451294,1,1,Women,1,Bolivia,Gap between actual and desired fertility,Difference between the actual and the desired number of children. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2008,Not married women,BOL,ENDSA 2008,2008,-.4839574694633484,2,2,Marital status (women),3,Bolivia,Gap between actual and desired fertility,Difference between the actual and the desired number of children. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2008,Married women,BOL,ENDSA 2008,2008,.7852379083633423,3,3,Marital status (women),3,Bolivia,Gap between actual and desired fertility,Difference between the actual and the desired number of children. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2008,Low skilled women,BOL,ENDSA 2008,2008,1.177677512168884,4,4,Qualification (women),4,Bolivia,Gap between actual and desired fertility,Difference between the actual and the desired number of children. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2008,Medium skilled women,BOL,ENDSA 2008,2008,-.4565559327602387,5,5,Qualification (women),4,Bolivia,Gap between actual and desired fertility,Difference between the actual and the desired number of children. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2008,High skilled women,BOL,ENDSA 2008,2008,-1.116024255752564,6,6,Qualification (women),4,Bolivia,Gap between actual and desired fertility,Difference between the actual and the desired number of children. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2000,Women,COL,ENDSA 2000,2000,-.0344422832131386,1,1,Women,1,Colombia,Gap between actual and desired fertility,Difference between the actual and the desired number of children. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2000,Not married women,COL,ENDSA 2000,2000,-.4302143454551697,2,2,Marital status (women),3,Colombia,Gap between actual and desired fertility,Difference between the actual and the desired number of children. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2000,Married women,COL,ENDSA 2000,2000,.17449951171875,3,3,Marital status (women),3,Colombia,Gap between actual and desired fertility,Difference between the actual and the desired number of children. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
