id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,indicador,detalle_indicador,disclaimer
BOL2003,Women,BOL,ENDSA 2003,2003,.5008674263954163,1,1,Women,1,Bolivia,Gap in desired fertility between spouses - DHS,Difference in the desired number of children between the male and female of a couple. The reference population includes women aged 25 to 49 years in heterosexual couples.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
BOL2003,Not married women,BOL,ENDSA 2003,2003,0,2,2,Marital status (women),3,Bolivia,Gap in desired fertility between spouses - DHS,Difference in the desired number of children between the male and female of a couple. The reference population includes women aged 25 to 49 years in heterosexual couples.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
BOL2003,Married women,BOL,ENDSA 2003,2003,.5012183785438538,3,3,Marital status (women),3,Bolivia,Gap in desired fertility between spouses - DHS,Difference in the desired number of children between the male and female of a couple. The reference population includes women aged 25 to 49 years in heterosexual couples.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
BOL2003,Low skilled women,BOL,ENDSA 2003,2003,.5793904662132263,4,4,Qualification (women),4,Bolivia,Gap in desired fertility between spouses - DHS,Difference in the desired number of children between the male and female of a couple. The reference population includes women aged 25 to 49 years in heterosexual couples.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
BOL2003,Medium skilled women,BOL,ENDSA 2003,2003,.3808550238609314,5,5,Qualification (women),4,Bolivia,Gap in desired fertility between spouses - DHS,Difference in the desired number of children between the male and female of a couple. The reference population includes women aged 25 to 49 years in heterosexual couples.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
BOL2003,High skilled women,BOL,ENDSA 2003,2003,-.0294194761663675,6,6,Qualification (women),4,Bolivia,Gap in desired fertility between spouses - DHS,Difference in the desired number of children between the male and female of a couple. The reference population includes women aged 25 to 49 years in heterosexual couples.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
BOL2008,Women,BOL,ENDSA 2008,2008,.3684244453907013,1,1,Women,1,Bolivia,Gap in desired fertility between spouses - DHS,Difference in the desired number of children between the male and female of a couple. The reference population includes women aged 25 to 49 years in heterosexual couples.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
BOL2008,Not married women,BOL,ENDSA 2008,2008,.9379583597183228,2,2,Marital status (women),3,Bolivia,Gap in desired fertility between spouses - DHS,Difference in the desired number of children between the male and female of a couple. The reference population includes women aged 25 to 49 years in heterosexual couples.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
BOL2008,Married women,BOL,ENDSA 2008,2008,.367676317691803,3,3,Marital status (women),3,Bolivia,Gap in desired fertility between spouses - DHS,Difference in the desired number of children between the male and female of a couple. The reference population includes women aged 25 to 49 years in heterosexual couples.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
BOL2008,Low skilled women,BOL,ENDSA 2008,2008,.4215361773967743,4,4,Qualification (women),4,Bolivia,Gap in desired fertility between spouses - DHS,Difference in the desired number of children between the male and female of a couple. The reference population includes women aged 25 to 49 years in heterosexual couples.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
