id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,detalle_indicador,indicador,disclaimer
ARG2013,Women/men ratio,ARG,MUT - EAHU 2013,2013,1.729891777038574,26,26,,Women/men ratio,6,Argentina,"Percentage of individuals aged 25-54 who dedicate time to children and other household members’ care, in households with children aged 0-14.",Participation in care activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (low skilled),ARG,MUT - EAHU 2013,2013,1.975780248641968,27,27,,Ratio qualification,15,Argentina,"Percentage of individuals aged 25-54 who dedicate time to children and other household members’ care, in households with children aged 0-14.",Participation in care activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (medium skilled),ARG,MUT - EAHU 2013,2013,1.570733189582825,28,28,,Ratio qualification,15,Argentina,"Percentage of individuals aged 25-54 who dedicate time to children and other household members’ care, in households with children aged 0-14.",Participation in care activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (high skilled),ARG,MUT - EAHU 2013,2013,1.416380286216736,29,29,,Ratio qualification,15,Argentina,"Percentage of individuals aged 25-54 who dedicate time to children and other household members’ care, in households with children aged 0-14.",Participation in care activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (not married),ARG,MUT - EAHU 2013,2013,3.178891897201538,30,30,,Ratio marital status,14,Argentina,"Percentage of individuals aged 25-54 who dedicate time to children and other household members’ care, in households with children aged 0-14.",Participation in care activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (married),ARG,MUT - EAHU 2013,2013,1.657149791717529,31,31,,Ratio marital status,14,Argentina,"Percentage of individuals aged 25-54 who dedicate time to children and other household members’ care, in households with children aged 0-14.",Participation in care activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (without children),ARG,MUT - EAHU 2013,2013,,32,32,,Ratio children,13,Argentina,"Percentage of individuals aged 25-54 who dedicate time to children and other household members’ care, in households with children aged 0-14.",Participation in care activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (with children aged 0-5),ARG,MUT - EAHU 2013,2013,1.505667924880981,33,33,,Ratio children,13,Argentina,"Percentage of individuals aged 25-54 who dedicate time to children and other household members’ care, in households with children aged 0-14.",Participation in care activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (with children older than 5),ARG,MUT - EAHU 2013,2013,2.018482208251953,34,34,,Ratio children,13,Argentina,"Percentage of individuals aged 25-54 who dedicate time to children and other household members’ care, in households with children aged 0-14.",Participation in care activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio,CHL,ENUT 2015,2015,1.091184377670288,26,26,,Women/men ratio,6,Chile,"Percentage of individuals aged 25-54 who dedicate time to children and other household members’ care, in households with children aged 0-14.",Participation in care activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
