id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,detalle_indicador,indicador,disclaimer
ARG2021,Women/men ratio,ARG,ENUT 2021,2021,1.540802717208862,26,26,,Women/men ratio,6,Argentina,"Percentage of individuals aged 25-54 who dedicate time to childcare, in households with children aged 0-14.",Participation in childcare activities,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2021,Women/men ratio (low skilled),ARG,ENUT 2021,2021,1.715959310531616,27,27,,Ratio qualification,15,Argentina,"Percentage of individuals aged 25-54 who dedicate time to childcare, in households with children aged 0-14.",Participation in childcare activities,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2021,Women/men ratio (medium skilled),ARG,ENUT 2021,2021,1.499077081680298,28,28,,Ratio qualification,15,Argentina,"Percentage of individuals aged 25-54 who dedicate time to childcare, in households with children aged 0-14.",Participation in childcare activities,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2021,Women/men ratio (high skilled),ARG,ENUT 2021,2021,1.276546239852905,29,29,,Ratio qualification,15,Argentina,"Percentage of individuals aged 25-54 who dedicate time to childcare, in households with children aged 0-14.",Participation in childcare activities,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2021,Women/men ratio (not married),ARG,ENUT 2021,2021,2.388829231262207,30,30,,Ratio marital status,14,Argentina,"Percentage of individuals aged 25-54 who dedicate time to childcare, in households with children aged 0-14.",Participation in childcare activities,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2021,Women/men ratio (married),ARG,ENUT 2021,2021,1.483263850212097,31,31,,Ratio marital status,14,Argentina,"Percentage of individuals aged 25-54 who dedicate time to childcare, in households with children aged 0-14.",Participation in childcare activities,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2021,Women/men ratio (without children),ARG,ENUT 2021,2021,,32,32,,Ratio children,13,Argentina,"Percentage of individuals aged 25-54 who dedicate time to childcare, in households with children aged 0-14.",Participation in childcare activities,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2021,Women/men ratio (with children aged 0-5),ARG,ENUT 2021,2021,1.467902064323425,33,33,,Ratio children,13,Argentina,"Percentage of individuals aged 25-54 who dedicate time to childcare, in households with children aged 0-14.",Participation in childcare activities,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2021,Women/men ratio (with children older than 5),ARG,ENUT 2021,2021,1.474725008010864,34,34,,Ratio children,13,Argentina,"Percentage of individuals aged 25-54 who dedicate time to childcare, in households with children aged 0-14.",Participation in childcare activities,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio,CHL,ENUT 2015,2015,1.09001088142395,26,26,,Women/men ratio,6,Chile,"Percentage of individuals aged 25-54 who dedicate time to childcare, in households with children aged 0-14.",Participation in childcare activities,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio (low skilled),CHL,ENUT 2015,2015,1.145998954772949,27,27,,Ratio qualification,15,Chile,"Percentage of individuals aged 25-54 who dedicate time to childcare, in households with children aged 0-14.",Participation in childcare activities,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio (medium skilled),CHL,ENUT 2015,2015,1.085687637329102,28,28,,Ratio qualification,15,Chile,"Percentage of individuals aged 25-54 who dedicate time to childcare, in households with children aged 0-14.",Participation in childcare activities,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio (high skilled),CHL,ENUT 2015,2015,1.05682647228241,29,29,,Ratio qualification,15,Chile,"Percentage of individuals aged 25-54 who dedicate time to childcare, in households with children aged 0-14.",Participation in childcare activities,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio (not married),CHL,ENUT 2015,2015,1.285020112991333,30,30,,Ratio marital status,14,Chile,"Percentage of individuals aged 25-54 who dedicate time to childcare, in households with children aged 0-14.",Participation in childcare activities,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio (married),CHL,ENUT 2015,2015,1.07450532913208,31,31,,Ratio marital status,14,Chile,"Percentage of individuals aged 25-54 who dedicate time to childcare, in households with children aged 0-14.",Participation in childcare activities,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio (without children),CHL,ENUT 2015,2015,,32,32,,Ratio children,13,Chile,"Percentage of individuals aged 25-54 who dedicate time to childcare, in households with children aged 0-14.",Participation in childcare activities,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio (with children aged 0-5),CHL,ENUT 2015,2015,1.032685518264771,33,33,,Ratio children,13,Chile,"Percentage of individuals aged 25-54 who dedicate time to childcare, in households with children aged 0-14.",Participation in childcare activities,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio (with children older than 5),CHL,ENUT 2015,2015,1.121723055839539,34,34,,Ratio children,13,Chile,"Percentage of individuals aged 25-54 who dedicate time to childcare, in households with children aged 0-14.",Participation in childcare activities,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
CHL2023,Women/men ratio,CHL,ENUT 2023,2023,1.591528058052063,26,26,,Women/men ratio,6,Chile,"Percentage of individuals aged 25-54 who dedicate time to childcare, in households with children aged 0-14.",Participation in childcare activities,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
CHL2023,Women/men ratio (low skilled),CHL,ENUT 2023,2023,2.124025344848633,27,27,,Ratio qualification,15,Chile,"Percentage of individuals aged 25-54 who dedicate time to childcare, in households with children aged 0-14.",Participation in childcare activities,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
CHL2023,Women/men ratio (medium skilled),CHL,ENUT 2023,2023,1.749616980552673,28,28,,Ratio qualification,15,Chile,"Percentage of individuals aged 25-54 who dedicate time to childcare, in households with children aged 0-14.",Participation in childcare activities,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
CHL2023,Women/men ratio (high skilled),CHL,ENUT 2023,2023,1.211338996887207,29,29,,Ratio qualification,15,Chile,"Percentage of individuals aged 25-54 who dedicate time to childcare, in households with children aged 0-14.",Participation in childcare activities,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
CHL2023,Women/men ratio (not married),CHL,ENUT 2023,2023,2.513716697692871,30,30,,Ratio marital status,14,Chile,"Percentage of individuals aged 25-54 who dedicate time to childcare, in households with children aged 0-14.",Participation in childcare activities,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
CHL2023,Women/men ratio (married),CHL,ENUT 2023,2023,1.549463748931885,31,31,,Ratio marital status,14,Chile,"Percentage of individuals aged 25-54 who dedicate time to childcare, in households with children aged 0-14.",Participation in childcare activities,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
CHL2023,Women/men ratio (without children),CHL,ENUT 2023,2023,,32,32,,Ratio children,13,Chile,"Percentage of individuals aged 25-54 who dedicate time to childcare, in households with children aged 0-14.",Participation in childcare activities,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
CHL2023,Women/men ratio (with children aged 0-5),CHL,ENUT 2023,2023,1.439669251441956,33,33,,Ratio children,13,Chile,"Percentage of individuals aged 25-54 who dedicate time to childcare, in households with children aged 0-14.",Participation in childcare activities,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
CHL2023,Women/men ratio (with children older than 5),CHL,ENUT 2023,2023,1.601151585578918,34,34,,Ratio children,13,Chile,"Percentage of individuals aged 25-54 who dedicate time to childcare, in households with children aged 0-14.",Participation in childcare activities,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
COL2012,Women/men ratio,COL,ENUT 2012-13,2012,1.550370216369629,26,26,,Women/men ratio,6,Colombia,"Percentage of individuals aged 25-54 who dedicate time to childcare, in households with children aged 0-14.",Participation in childcare activities,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
COL2012,Women/men ratio (low skilled),COL,ENUT 2012-13,2012,1.634686946868896,27,27,,Ratio qualification,15,Colombia,"Percentage of individuals aged 25-54 who dedicate time to childcare, in households with children aged 0-14.",Participation in childcare activities,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
COL2012,Women/men ratio (medium skilled),COL,ENUT 2012-13,2012,1.495503306388855,28,28,,Ratio qualification,15,Colombia,"Percentage of individuals aged 25-54 who dedicate time to childcare, in households with children aged 0-14.",Participation in childcare activities,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
COL2012,Women/men ratio (high skilled),COL,ENUT 2012-13,2012,1.329556226730347,29,29,,Ratio qualification,15,Colombia,"Percentage of individuals aged 25-54 who dedicate time to childcare, in households with children aged 0-14.",Participation in childcare activities,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
COL2012,Women/men ratio (not married),COL,ENUT 2012-13,2012,2.981818914413452,30,30,,Ratio marital status,14,Colombia,"Percentage of individuals aged 25-54 who dedicate time to childcare, in households with children aged 0-14.",Participation in childcare activities,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
COL2012,Women/men ratio (married),COL,ENUT 2012-13,2012,1.463423728942871,31,31,,Ratio marital status,14,Colombia,"Percentage of individuals aged 25-54 who dedicate time to childcare, in households with children aged 0-14.",Participation in childcare activities,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
