id_paisano,desagregacion,pais_cod,encuesta,ano,valor,l,m,n,o,p,q,r,s,t,u,v,w,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2000,Total,ARG,,2000,2.606145143508911,,,,,,,,,,,,,1,1,Total,1,Argentina,Argentina,Age difference (in years) between the man and the woman in a couple. The reference population includes people aged 25-54.,Age difference between spouses,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Without children,ARG,,2000,2.129813432693481,,,,,,,,,,,,,2,2,Children,2,Argentina,Argentina,Age difference (in years) between the man and the woman in a couple. The reference population includes people aged 25-54.,Age difference between spouses,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,With children aged 0-5,ARG,,2000,2.807382822036743,,,,,,,,,,,,,3,3,Children,2,Argentina,Argentina,Age difference (in years) between the man and the woman in a couple. The reference population includes people aged 25-54.,Age difference between spouses,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,With children older than 5,ARG,,2000,2.563498735427856,,,,,,,,,,,,,4,4,Children,2,Argentina,Argentina,Age difference (in years) between the man and the woman in a couple. The reference population includes people aged 25-54.,Age difference between spouses,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Low skilled women,ARG,,2000,2.849890947341919,,,,,,,,,,,,,5,5,Qualification (women),3,Argentina,Argentina,Age difference (in years) between the man and the woman in a couple. The reference population includes people aged 25-54.,Age difference between spouses,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Medium skilled women,ARG,,2000,2.425446510314941,,,,,,,,,,,,,6,6,Qualification (women),3,Argentina,Argentina,Age difference (in years) between the man and the woman in a couple. The reference population includes people aged 25-54.,Age difference between spouses,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,High skilled women,ARG,,2000,2.141862154006958,,,,,,,,,,,,,7,7,Qualification (women),3,Argentina,Argentina,Age difference (in years) between the man and the woman in a couple. The reference population includes people aged 25-54.,Age difference between spouses,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Total,ARG,,2001,2.594239711761475,,,,,,,,,,,,,1,1,Total,1,Argentina,Argentina,Age difference (in years) between the man and the woman in a couple. The reference population includes people aged 25-54.,Age difference between spouses,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Without children,ARG,,2001,1.946215152740479,,,,,,,,,,,,,2,2,Children,2,Argentina,Argentina,Age difference (in years) between the man and the woman in a couple. The reference population includes people aged 25-54.,Age difference between spouses,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,With children aged 0-5,ARG,,2001,3.054750680923462,,,,,,,,,,,,,3,3,Children,2,Argentina,Argentina,Age difference (in years) between the man and the woman in a couple. The reference population includes people aged 25-54.,Age difference between spouses,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
