id_paisano,desagregacion,pais_cod,encuesta,ano,valor,h,i,j,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,indicador,detalle_indicador,disclaimer
BOL2003,Women,BOL,ENDSA 2003,2003,15.65627670288086,,,,1,1,Women,1,Bolivia,Early pregnancy - DHS,Percentage of youth aged 15-19 who are pregnant or have children.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
BOL2003,Not married women,BOL,ENDSA 2003,2003,7.043352127075195,,,,2,2,Marital status (women),3,Bolivia,Early pregnancy - DHS,Percentage of youth aged 15-19 who are pregnant or have children.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
BOL2003,Married women,BOL,ENDSA 2003,2003,85.28167724609375,,,,3,3,Marital status (women),3,Bolivia,Early pregnancy - DHS,Percentage of youth aged 15-19 who are pregnant or have children.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
BOL2008,Women,BOL,ENDSA 2008,2008,17.92678070068359,,,,1,1,Women,1,Bolivia,Early pregnancy - DHS,Percentage of youth aged 15-19 who are pregnant or have children.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
BOL2008,Not married women,BOL,ENDSA 2008,2008,7.101903915405273,,,,2,2,Marital status (women),3,Bolivia,Early pregnancy - DHS,Percentage of youth aged 15-19 who are pregnant or have children.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
BOL2008,Married women,BOL,ENDSA 2008,2008,87.78251647949219,,,,3,3,Marital status (women),3,Bolivia,Early pregnancy - DHS,Percentage of youth aged 15-19 who are pregnant or have children.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
COL2000,Women,COL,ENDSA 2000,2000,19.09631156921387,,,,1,1,Women,1,Colombia,Early pregnancy - DHS,Percentage of youth aged 15-19 who are pregnant or have children.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
COL2000,Not married women,COL,ENDSA 2000,2000,8.158571243286133,,,,2,2,Marital status (women),3,Colombia,Early pregnancy - DHS,Percentage of youth aged 15-19 who are pregnant or have children.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
COL2000,Married women,COL,ENDSA 2000,2000,84.29400634765625,,,,3,3,Marital status (women),3,Colombia,Early pregnancy - DHS,Percentage of youth aged 15-19 who are pregnant or have children.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
COL2005,Women,COL,ENDSA 2005,2005,20.52436447143555,,,,1,1,Women,1,Colombia,Early pregnancy - DHS,Percentage of youth aged 15-19 who are pregnant or have children.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
COL2005,Not married women,COL,ENDSA 2005,2005,11.03323173522949,,,,2,2,Marital status (women),3,Colombia,Early pregnancy - DHS,Percentage of youth aged 15-19 who are pregnant or have children.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
COL2005,Married women,COL,ENDSA 2005,2005,81.187255859375,,,,3,3,Marital status (women),3,Colombia,Early pregnancy - DHS,Percentage of youth aged 15-19 who are pregnant or have children.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
COL2010,Women,COL,ENDSA 2010,2010,19.51420211791992,,,,1,1,Women,1,Colombia,Early pregnancy - DHS,Percentage of youth aged 15-19 who are pregnant or have children.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
COL2010,Not married women,COL,ENDSA 2010,2010,10.23462104797363,,,,2,2,Marital status (women),3,Colombia,Early pregnancy - DHS,Percentage of youth aged 15-19 who are pregnant or have children.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
COL2010,Married women,COL,ENDSA 2010,2010,77.84668731689453,,,,3,3,Marital status (women),3,Colombia,Early pregnancy - DHS,Percentage of youth aged 15-19 who are pregnant or have children.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
COL2015,Women,COL,ENDSA 2015,2015,17.35651779174805,,,,1,1,Women,1,Colombia,Early pregnancy - DHS,Percentage of youth aged 15-19 who are pregnant or have children.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
COL2015,Not married women,COL,ENDSA 2015,2015,8.272566795349121,,,,2,2,Marital status (women),3,Colombia,Early pregnancy - DHS,Percentage of youth aged 15-19 who are pregnant or have children.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
COL2015,Married women,COL,ENDSA 2015,2015,76.56479644775391,,,,3,3,Marital status (women),3,Colombia,Early pregnancy - DHS,Percentage of youth aged 15-19 who are pregnant or have children.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
