id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,indicador,detalle_indicador,disclaimer
BOL2003,Women,BOL,ENDSA 2003,2003,2.682331323623657,1,1,Women,1,Bolivia,Desired fertility rate - DHS,Ideal number of children. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
BOL2003,Not married women,BOL,ENDSA 2003,2003,2.297632694244385,2,2,Marital status (women),3,Bolivia,Desired fertility rate - DHS,Ideal number of children. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
BOL2003,Married women,BOL,ENDSA 2003,2003,2.779269695281982,3,3,Marital status (women),3,Bolivia,Desired fertility rate - DHS,Ideal number of children. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
BOL2003,Low skilled women,BOL,ENDSA 2003,2003,2.723309516906738,4,4,Qualification (women),4,Bolivia,Desired fertility rate - DHS,Ideal number of children. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
BOL2003,Medium skilled women,BOL,ENDSA 2003,2003,2.538856506347656,5,5,Qualification (women),4,Bolivia,Desired fertility rate - DHS,Ideal number of children. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
BOL2003,High skilled women,BOL,ENDSA 2003,2003,2.668481111526489,6,6,Qualification (women),4,Bolivia,Desired fertility rate - DHS,Ideal number of children. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
BOL2008,Women,BOL,ENDSA 2008,2008,2.556466579437256,1,1,Women,1,Bolivia,Desired fertility rate - DHS,Ideal number of children. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
BOL2008,Not married women,BOL,ENDSA 2008,2008,2.234817743301392,2,2,Marital status (women),3,Bolivia,Desired fertility rate - DHS,Ideal number of children. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
BOL2008,Married women,BOL,ENDSA 2008,2008,2.643058776855469,3,3,Marital status (women),3,Bolivia,Desired fertility rate - DHS,Ideal number of children. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
BOL2008,Low skilled women,BOL,ENDSA 2008,2008,2.606651067733765,4,4,Qualification (women),4,Bolivia,Desired fertility rate - DHS,Ideal number of children. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
