id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,indicador,detalle_indicador,disclaimer
ARG2011,Women,ARG,MICS 2011-12,2011,2.353033304214478,1,1,Women,1,Argentina,Total fertility rate - MICS,"Number of children that would be born to a woman, assuming they were subject during their whole reproductive life to the age-specific fertility rates of the period. The reference population includes women aged 25 to 49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2019,Women,ARG,MICS 2019-20,2019,.8256925344467163,1,1,Women,1,Argentina,Total fertility rate - MICS,"Number of children that would be born to a woman, assuming they were subject during their whole reproductive life to the age-specific fertility rates of the period. The reference population includes women aged 25 to 49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CRI2011,Women,CRI,MICS 2011,2011,2.199869632720947,1,1,Women,1,Costa Rica,Total fertility rate - MICS,"Number of children that would be born to a woman, assuming they were subject during their whole reproductive life to the age-specific fertility rates of the period. The reference population includes women aged 25 to 49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CRI2018,Women,CRI,MICS 2018,2018,1.54068922996521,1,1,Women,1,Costa Rica,Total fertility rate - MICS,"Number of children that would be born to a woman, assuming they were subject during their whole reproductive life to the age-specific fertility rates of the period. The reference population includes women aged 25 to 49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
DOM2014,Women,DOM,MICS 2014,2014,2.475823163986206,1,1,Women,1,Dominican republic,Total fertility rate - MICS,"Number of children that would be born to a woman, assuming they were subject during their whole reproductive life to the age-specific fertility rates of the period. The reference population includes women aged 25 to 49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
DOM2019,Women,DOM,MICS 2019,2019,2.392744302749634,1,1,Women,1,Dominican republic,Total fertility rate - MICS,"Number of children that would be born to a woman, assuming they were subject during their whole reproductive life to the age-specific fertility rates of the period. The reference population includes women aged 25 to 49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
SLV2014,Women,SLV,MICS 2014,2014,2.238294839859009,1,1,Women,1,El Salvador,Total fertility rate - MICS,"Number of children that would be born to a woman, assuming they were subject during their whole reproductive life to the age-specific fertility rates of the period. The reference population includes women aged 25 to 49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
HND2019,Women,HND,MICS HND,2019,2.509134769439697,1,1,Women,1,Honduras,Total fertility rate - MICS,"Number of children that would be born to a woman, assuming they were subject during their whole reproductive life to the age-specific fertility rates of the period. The reference population includes women aged 25 to 49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
MEX2015,Women,MEX,MICS 2015,2015,2.448930978775024,1,1,Women,1,México,Total fertility rate - MICS,"Number of children that would be born to a woman, assuming they were subject during their whole reproductive life to the age-specific fertility rates of the period. The reference population includes women aged 25 to 49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
PAN2012,Women,PAN,MICS 2012,2012,2.699184417724609,1,1,Women,1,Panamá,Total fertility rate - MICS,"Number of children that would be born to a woman, assuming they were subject during their whole reproductive life to the age-specific fertility rates of the period. The reference population includes women aged 25 to 49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
PRY2016,Women,PRY,MICS 2016,2016,2.502438068389893,1,1,Women,1,Paraguay,Total fertility rate - MICS,"Number of children that would be born to a woman, assuming they were subject during their whole reproductive life to the age-specific fertility rates of the period. The reference population includes women aged 25 to 49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
URY2012,Women,URY,MICS 2012,2012,1.108536958694458,1,1,Women,1,Uruguay,Total fertility rate - MICS,"Number of children that would be born to a woman, assuming they were subject during their whole reproductive life to the age-specific fertility rates of the period. The reference population includes women aged 25 to 49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
