id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,detalle_indicador,indicador,disclaimer
ARG2021,Women/men ratio,ARG,ENUT 2021,2021,2.308584690093994,26,26,,Women/men ratio,6,Argentina,Weekly hours allocated to childcare. The reference population includes people aged 25-54 in households with children aged 0-14.,Weekly hours allocated to childcare activities,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2021,Women/men ratio (low skilled),ARG,ENUT 2021,2021,2.725983858108521,27,27,,Ratio qualification,15,Argentina,Weekly hours allocated to childcare. The reference population includes people aged 25-54 in households with children aged 0-14.,Weekly hours allocated to childcare activities,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2021,Women/men ratio (medium skilled),ARG,ENUT 2021,2021,2.20793890953064,28,28,,Ratio qualification,15,Argentina,Weekly hours allocated to childcare. The reference population includes people aged 25-54 in households with children aged 0-14.,Weekly hours allocated to childcare activities,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2021,Women/men ratio (high skilled),ARG,ENUT 2021,2021,1.807646512985229,29,29,,Ratio qualification,15,Argentina,Weekly hours allocated to childcare. The reference population includes people aged 25-54 in households with children aged 0-14.,Weekly hours allocated to childcare activities,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2021,Women/men ratio (not married),ARG,ENUT 2021,2021,3.127950668334961,30,30,,Ratio marital status,14,Argentina,Weekly hours allocated to childcare. The reference population includes people aged 25-54 in households with children aged 0-14.,Weekly hours allocated to childcare activities,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2021,Women/men ratio (married),ARG,ENUT 2021,2021,2.318934917449951,31,31,,Ratio marital status,14,Argentina,Weekly hours allocated to childcare. The reference population includes people aged 25-54 in households with children aged 0-14.,Weekly hours allocated to childcare activities,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2021,Women/men ratio (without children),ARG,ENUT 2021,2021,,32,32,,Ratio children,13,Argentina,Weekly hours allocated to childcare. The reference population includes people aged 25-54 in households with children aged 0-14.,Weekly hours allocated to childcare activities,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2021,Women/men ratio (with children aged 0-5),ARG,ENUT 2021,2021,2.290504455566406,33,33,,Ratio children,13,Argentina,Weekly hours allocated to childcare. The reference population includes people aged 25-54 in households with children aged 0-14.,Weekly hours allocated to childcare activities,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2021,Women/men ratio (with children older than 5),ARG,ENUT 2021,2021,2.112112522125244,34,34,,Ratio children,13,Argentina,Weekly hours allocated to childcare. The reference population includes people aged 25-54 in households with children aged 0-14.,Weekly hours allocated to childcare activities,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio,CHL,ENUT 2015,2015,1.907126307487488,26,26,,Women/men ratio,6,Chile,Weekly hours allocated to childcare. The reference population includes people aged 25-54 in households with children aged 0-14.,Weekly hours allocated to childcare activities,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
