id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,detalle_indicador,indicador,disclaimer
ARG2013,Women/men ratio,ARG,MUT - EAHU 2013,2013,,26,26,,Women/men ratio,6,Argentina,Weekly hours allocated to leisure activities. The reference population includes people aged 25-54.,Weekly hours allocated to leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (low skilled),ARG,MUT - EAHU 2013,2013,,27,27,,Ratio qualification,15,Argentina,Weekly hours allocated to leisure activities. The reference population includes people aged 25-54.,Weekly hours allocated to leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (medium skilled),ARG,MUT - EAHU 2013,2013,,28,28,,Ratio qualification,15,Argentina,Weekly hours allocated to leisure activities. The reference population includes people aged 25-54.,Weekly hours allocated to leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (high skilled),ARG,MUT - EAHU 2013,2013,,29,29,,Ratio qualification,15,Argentina,Weekly hours allocated to leisure activities. The reference population includes people aged 25-54.,Weekly hours allocated to leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (not married),ARG,MUT - EAHU 2013,2013,,30,30,,Ratio marital status,14,Argentina,Weekly hours allocated to leisure activities. The reference population includes people aged 25-54.,Weekly hours allocated to leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (married),ARG,MUT - EAHU 2013,2013,,31,31,,Ratio marital status,14,Argentina,Weekly hours allocated to leisure activities. The reference population includes people aged 25-54.,Weekly hours allocated to leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (without children),ARG,MUT - EAHU 2013,2013,,32,32,,Ratio children,13,Argentina,Weekly hours allocated to leisure activities. The reference population includes people aged 25-54.,Weekly hours allocated to leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (with children aged 0-5),ARG,MUT - EAHU 2013,2013,,33,33,,Ratio children,13,Argentina,Weekly hours allocated to leisure activities. The reference population includes people aged 25-54.,Weekly hours allocated to leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (with children older than 5),ARG,MUT - EAHU 2013,2013,,34,34,,Ratio children,13,Argentina,Weekly hours allocated to leisure activities. The reference population includes people aged 25-54.,Weekly hours allocated to leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio,CHL,ENUT 2015,2015,.8946011662483215,26,26,,Women/men ratio,6,Chile,Weekly hours allocated to leisure activities. The reference population includes people aged 25-54.,Weekly hours allocated to leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio (low skilled),CHL,ENUT 2015,2015,.9470108151435852,27,27,,Ratio qualification,15,Chile,Weekly hours allocated to leisure activities. The reference population includes people aged 25-54.,Weekly hours allocated to leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio (medium skilled),CHL,ENUT 2015,2015,.8890246152877808,28,28,,Ratio qualification,15,Chile,Weekly hours allocated to leisure activities. The reference population includes people aged 25-54.,Weekly hours allocated to leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio (high skilled),CHL,ENUT 2015,2015,.8757567405700684,29,29,,Ratio qualification,15,Chile,Weekly hours allocated to leisure activities. The reference population includes people aged 25-54.,Weekly hours allocated to leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio (not married),CHL,ENUT 2015,2015,.8425162434577942,30,30,,Ratio marital status,14,Chile,Weekly hours allocated to leisure activities. The reference population includes people aged 25-54.,Weekly hours allocated to leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio (married),CHL,ENUT 2015,2015,.9242568016052246,31,31,,Ratio marital status,14,Chile,Weekly hours allocated to leisure activities. The reference population includes people aged 25-54.,Weekly hours allocated to leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio (without children),CHL,ENUT 2015,2015,.906171441078186,32,32,,Ratio children,13,Chile,Weekly hours allocated to leisure activities. The reference population includes people aged 25-54.,Weekly hours allocated to leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio (with children aged 0-5),CHL,ENUT 2015,2015,.9032805562019348,33,33,,Ratio children,13,Chile,Weekly hours allocated to leisure activities. The reference population includes people aged 25-54.,Weekly hours allocated to leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio (with children older than 5),CHL,ENUT 2015,2015,.9394123554229736,34,34,,Ratio children,13,Chile,Weekly hours allocated to leisure activities. The reference population includes people aged 25-54.,Weekly hours allocated to leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2012,Women/men ratio,COL,ENUT 2012-13,2012,.9050248861312866,26,26,,Women/men ratio,6,Colombia,Weekly hours allocated to leisure activities. The reference population includes people aged 25-54.,Weekly hours allocated to leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2012,Women/men ratio (low skilled),COL,ENUT 2012-13,2012,.9405884742736816,27,27,,Ratio qualification,15,Colombia,Weekly hours allocated to leisure activities. The reference population includes people aged 25-54.,Weekly hours allocated to leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2012,Women/men ratio (medium skilled),COL,ENUT 2012-13,2012,.8781483173370361,28,28,,Ratio qualification,15,Colombia,Weekly hours allocated to leisure activities. The reference population includes people aged 25-54.,Weekly hours allocated to leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2012,Women/men ratio (high skilled),COL,ENUT 2012-13,2012,.8503477573394775,29,29,,Ratio qualification,15,Colombia,Weekly hours allocated to leisure activities. The reference population includes people aged 25-54.,Weekly hours allocated to leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2012,Women/men ratio (not married),COL,ENUT 2012-13,2012,.8144131302833557,30,30,,Ratio marital status,14,Colombia,Weekly hours allocated to leisure activities. The reference population includes people aged 25-54.,Weekly hours allocated to leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2012,Women/men ratio (married),COL,ENUT 2012-13,2012,.9577733278274536,31,31,,Ratio marital status,14,Colombia,Weekly hours allocated to leisure activities. The reference population includes people aged 25-54.,Weekly hours allocated to leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2012,Women/men ratio (without children),COL,ENUT 2012-13,2012,.9967266321182251,32,32,,Ratio children,13,Colombia,Weekly hours allocated to leisure activities. The reference population includes people aged 25-54.,Weekly hours allocated to leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2012,Women/men ratio (with children aged 0-5),COL,ENUT 2012-13,2012,.8973028659820557,33,33,,Ratio children,13,Colombia,Weekly hours allocated to leisure activities. The reference population includes people aged 25-54.,Weekly hours allocated to leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2012,Women/men ratio (with children older than 5),COL,ENUT 2012-13,2012,.9451243877410889,34,34,,Ratio children,13,Colombia,Weekly hours allocated to leisure activities. The reference population includes people aged 25-54.,Weekly hours allocated to leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2016,Women/men ratio,COL,ENUT 2016-17,2016,.9104556441307068,26,26,,Women/men ratio,6,Colombia,Weekly hours allocated to leisure activities. The reference population includes people aged 25-54.,Weekly hours allocated to leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2016,Women/men ratio (low skilled),COL,ENUT 2016-17,2016,.9234029650688171,27,27,,Ratio qualification,15,Colombia,Weekly hours allocated to leisure activities. The reference population includes people aged 25-54.,Weekly hours allocated to leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2016,Women/men ratio (medium skilled),COL,ENUT 2016-17,2016,.8953827619552612,28,28,,Ratio qualification,15,Colombia,Weekly hours allocated to leisure activities. The reference population includes people aged 25-54.,Weekly hours allocated to leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2016,Women/men ratio (high skilled),COL,ENUT 2016-17,2016,.8943164944648743,29,29,,Ratio qualification,15,Colombia,Weekly hours allocated to leisure activities. The reference population includes people aged 25-54.,Weekly hours allocated to leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2016,Women/men ratio (not married),COL,ENUT 2016-17,2016,.8529738783836365,30,30,,Ratio marital status,14,Colombia,Weekly hours allocated to leisure activities. The reference population includes people aged 25-54.,Weekly hours allocated to leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2016,Women/men ratio (married),COL,ENUT 2016-17,2016,.9439333081245422,31,31,,Ratio marital status,14,Colombia,Weekly hours allocated to leisure activities. The reference population includes people aged 25-54.,Weekly hours allocated to leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
