id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,detalle_indicador,indicador,disclaimer
ARG2013,Women/men ratio,ARG,MUT - EAHU 2013,2013,3.118482112884521,26,26,,Women/men ratio,6,Argentina,Weekly hours allocated to household chores. The reference population includes people aged 25-54.,Weekly hours allocated to household chores,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (low skilled),ARG,MUT - EAHU 2013,2013,3.602346420288086,27,27,,Ratio qualification,15,Argentina,Weekly hours allocated to household chores. The reference population includes people aged 25-54.,Weekly hours allocated to household chores,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (medium skilled),ARG,MUT - EAHU 2013,2013,2.993038415908813,28,28,,Ratio qualification,15,Argentina,Weekly hours allocated to household chores. The reference population includes people aged 25-54.,Weekly hours allocated to household chores,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (high skilled),ARG,MUT - EAHU 2013,2013,2.446228742599487,29,29,,Ratio qualification,15,Argentina,Weekly hours allocated to household chores. The reference population includes people aged 25-54.,Weekly hours allocated to household chores,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (not married),ARG,MUT - EAHU 2013,2013,2.320088386535645,30,30,,Ratio marital status,14,Argentina,Weekly hours allocated to household chores. The reference population includes people aged 25-54.,Weekly hours allocated to household chores,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (married),ARG,MUT - EAHU 2013,2013,3.477829456329346,31,31,,Ratio marital status,14,Argentina,Weekly hours allocated to household chores. The reference population includes people aged 25-54.,Weekly hours allocated to household chores,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (without children),ARG,MUT - EAHU 2013,2013,1.662156701087952,32,32,,Ratio children,13,Argentina,Weekly hours allocated to household chores. The reference population includes people aged 25-54.,Weekly hours allocated to household chores,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (with children aged 0-5),ARG,MUT - EAHU 2013,2013,3.412183046340942,33,33,,Ratio children,13,Argentina,Weekly hours allocated to household chores. The reference population includes people aged 25-54.,Weekly hours allocated to household chores,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (with children older than 5),ARG,MUT - EAHU 2013,2013,3.635167360305786,34,34,,Ratio children,13,Argentina,Weekly hours allocated to household chores. The reference population includes people aged 25-54.,Weekly hours allocated to household chores,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2021,Women/men ratio,ARG,ENUT 2021,2021,2.071712017059326,26,26,,Women/men ratio,6,Argentina,Weekly hours allocated to household chores. The reference population includes people aged 25-54.,Weekly hours allocated to household chores,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
