id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2000,Total,ARG,,2000,3.81236743927002,1,1,Total,1,Argentina,Argentina,"Households in which the self-reported household head is a woman, as a percentage of households with household head and spouse aged 25-54.",Self-reported female household headship,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Without children,ARG,,2000,7.744156360626221,2,2,Children,2,Argentina,Argentina,"Households in which the self-reported household head is a woman, as a percentage of households with household head and spouse aged 25-54.",Self-reported female household headship,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,With children aged 0-5,ARG,,2000,2.04861307144165,3,3,Children,2,Argentina,Argentina,"Households in which the self-reported household head is a woman, as a percentage of households with household head and spouse aged 25-54.",Self-reported female household headship,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,With children older than 5,ARG,,2000,4.314241886138916,4,4,Children,2,Argentina,Argentina,"Households in which the self-reported household head is a woman, as a percentage of households with household head and spouse aged 25-54.",Self-reported female household headship,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Head household low skilled,ARG,,2000,3.656718969345093,5,5,Qualification,3,Argentina,Argentina,"Households in which the self-reported household head is a woman, as a percentage of households with household head and spouse aged 25-54.",Self-reported female household headship,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Head household medium skilled,ARG,,2000,3.553981065750122,6,6,Qualification,3,Argentina,Argentina,"Households in which the self-reported household head is a woman, as a percentage of households with household head and spouse aged 25-54.",Self-reported female household headship,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Head household high skilled,ARG,,2000,4.99100399017334,7,7,Qualification,3,Argentina,Argentina,"Households in which the self-reported household head is a woman, as a percentage of households with household head and spouse aged 25-54.",Self-reported female household headship,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Total,ARG,,2001,3.629802465438843,1,1,Total,1,Argentina,Argentina,"Households in which the self-reported household head is a woman, as a percentage of households with household head and spouse aged 25-54.",Self-reported female household headship,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Without children,ARG,,2001,8.165799140930176,2,2,Children,2,Argentina,Argentina,"Households in which the self-reported household head is a woman, as a percentage of households with household head and spouse aged 25-54.",Self-reported female household headship,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,With children aged 0-5,ARG,,2001,2.127766132354736,3,3,Children,2,Argentina,Argentina,"Households in which the self-reported household head is a woman, as a percentage of households with household head and spouse aged 25-54.",Self-reported female household headship,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,With children older than 5,ARG,,2001,3.831355094909668,4,4,Children,2,Argentina,Argentina,"Households in which the self-reported household head is a woman, as a percentage of households with household head and spouse aged 25-54.",Self-reported female household headship,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Head household low skilled,ARG,,2001,3.550913572311401,5,5,Qualification,3,Argentina,Argentina,"Households in which the self-reported household head is a woman, as a percentage of households with household head and spouse aged 25-54.",Self-reported female household headship,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Head household medium skilled,ARG,,2001,2.569385766983032,6,6,Qualification,3,Argentina,Argentina,"Households in which the self-reported household head is a woman, as a percentage of households with household head and spouse aged 25-54.",Self-reported female household headship,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Head household high skilled,ARG,,2001,6.290725708007813,7,7,Qualification,3,Argentina,Argentina,"Households in which the self-reported household head is a woman, as a percentage of households with household head and spouse aged 25-54.",Self-reported female household headship,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2002,Total,ARG,,2002,3.617979288101196,1,1,Total,1,Argentina,Argentina,"Households in which the self-reported household head is a woman, as a percentage of households with household head and spouse aged 25-54.",Self-reported female household headship,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2002,Without children,ARG,,2002,5.014320850372314,2,2,Children,2,Argentina,Argentina,"Households in which the self-reported household head is a woman, as a percentage of households with household head and spouse aged 25-54.",Self-reported female household headship,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2002,With children aged 0-5,ARG,,2002,3.000051975250244,3,3,Children,2,Argentina,Argentina,"Households in which the self-reported household head is a woman, as a percentage of households with household head and spouse aged 25-54.",Self-reported female household headship,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2002,With children older than 5,ARG,,2002,3.759203433990479,4,4,Children,2,Argentina,Argentina,"Households in which the self-reported household head is a woman, as a percentage of households with household head and spouse aged 25-54.",Self-reported female household headship,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2002,Head household low skilled,ARG,,2002,3.623279809951782,5,5,Qualification,3,Argentina,Argentina,"Households in which the self-reported household head is a woman, as a percentage of households with household head and spouse aged 25-54.",Self-reported female household headship,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2002,Head household medium skilled,ARG,,2002,2.748156309127808,6,6,Qualification,3,Argentina,Argentina,"Households in which the self-reported household head is a woman, as a percentage of households with household head and spouse aged 25-54.",Self-reported female household headship,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2002,Head household high skilled,ARG,,2002,5.395201206207275,7,7,Qualification,3,Argentina,Argentina,"Households in which the self-reported household head is a woman, as a percentage of households with household head and spouse aged 25-54.",Self-reported female household headship,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2003,Total,ARG,,2003,4.370184898376465,1,1,Total,1,Argentina,Argentina,"Households in which the self-reported household head is a woman, as a percentage of households with household head and spouse aged 25-54.",Self-reported female household headship,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2003,Without children,ARG,,2003,7.093547344207764,2,2,Children,2,Argentina,Argentina,"Households in which the self-reported household head is a woman, as a percentage of households with household head and spouse aged 25-54.",Self-reported female household headship,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2003,With children aged 0-5,ARG,,2003,3.90185809135437,3,3,Children,2,Argentina,Argentina,"Households in which the self-reported household head is a woman, as a percentage of households with household head and spouse aged 25-54.",Self-reported female household headship,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
