id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,indicador,detalle_indicador,disclaimer
BOL2003,Women,BOL,ENDSA 2003,2003,3.296417951583862,1,1,Women,1,Bolivia,Number of children per woman - DHS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2003,Not married women,BOL,ENDSA 2003,2003,1.830031991004944,2,2,Marital status (women),3,Bolivia,Number of children per woman - DHS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2003,Married women,BOL,ENDSA 2003,2003,3.662889003753662,3,3,Marital status (women),3,Bolivia,Number of children per woman - DHS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2003,Low skilled women,BOL,ENDSA 2003,2003,3.882044315338135,4,4,Qualification (women),4,Bolivia,Number of children per woman - DHS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2003,Medium skilled women,BOL,ENDSA 2003,2003,2.024726867675781,5,5,Qualification (women),4,Bolivia,Number of children per woman - DHS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2003,High skilled women,BOL,ENDSA 2003,2003,1.51932430267334,6,6,Qualification (women),4,Bolivia,Number of children per woman - DHS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2008,Women,BOL,ENDSA 2008,2008,3.101115703582764,1,1,Women,1,Bolivia,Number of children per woman - DHS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2008,Not married women,BOL,ENDSA 2008,2008,1.775685548782349,2,2,Marital status (women),3,Bolivia,Number of children per woman - DHS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2008,Married women,BOL,ENDSA 2008,2008,3.456110954284668,3,3,Marital status (women),3,Bolivia,Number of children per woman - DHS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2008,Low skilled women,BOL,ENDSA 2008,2008,3.811097383499146,4,4,Qualification (women),4,Bolivia,Number of children per woman - DHS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2008,Medium skilled women,BOL,ENDSA 2008,2008,1.975417256355286,5,5,Qualification (women),4,Bolivia,Number of children per woman - DHS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2008,High skilled women,BOL,ENDSA 2008,2008,1.422579765319824,6,6,Qualification (women),4,Bolivia,Number of children per woman - DHS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2000,Women,COL,ENDSA 2000,2000,2.437242746353149,1,1,Women,1,Colombia,Number of children per woman - DHS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2000,Not married women,COL,ENDSA 2000,2000,1.728941559791565,2,2,Marital status (women),3,Colombia,Number of children per woman - DHS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
