id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,indicador,detalle_indicador,disclaimer
ARG2019,Women,ARG,MICS 2019-20,2019,2.008089542388916,1,1,Women,1,Argentina,Number of children per woman - MICS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2019,Not married women,ARG,MICS 2019-20,2019,1.522708058357239,2,2,Marital status (women),3,Argentina,Number of children per woman - MICS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2019,Married women,ARG,MICS 2019-20,2019,2.290461301803589,3,3,Marital status (women),3,Argentina,Number of children per woman - MICS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2019,Low skilled women,ARG,MICS 2019-20,2019,2.822800159454346,4,4,Qualification (women),4,Argentina,Number of children per woman - MICS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2019,Medium skilled women,ARG,MICS 2019-20,2019,1.705109119415283,5,5,Qualification (women),4,Argentina,Number of children per woman - MICS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
ARG2019,High skilled women,ARG,MICS 2019-20,2019,1.302465200424194,6,6,Qualification (women),4,Argentina,Number of children per woman - MICS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
BOL2000,Women,BOL,MICS 2000,2000,3.253478050231934,1,1,Women,1,Bolivia,Number of children per woman - MICS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
BOL2000,Not married women,BOL,MICS 2000,2000,1.858678817749023,2,2,Marital status (women),3,Bolivia,Number of children per woman - MICS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
BOL2000,Married women,BOL,MICS 2000,2000,3.595584392547607,3,3,Marital status (women),3,Bolivia,Number of children per woman - MICS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
CRI2018,Women,CRI,MICS 2018,2018,1.800323009490967,1,1,Women,1,Costa Rica,Number of children per woman - MICS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
CRI2018,Not married women,CRI,MICS 2018,2018,1.501045346260071,2,2,Marital status (women),3,Costa Rica,Number of children per woman - MICS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
CRI2018,Married women,CRI,MICS 2018,2018,1.982117891311646,3,3,Marital status (women),3,Costa Rica,Number of children per woman - MICS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
CRI2018,Low skilled women,CRI,MICS 2018,2018,2.364396095275879,4,4,Qualification (women),4,Costa Rica,Number of children per woman - MICS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
CRI2018,Medium skilled women,CRI,MICS 2018,2018,1.346991658210754,5,5,Qualification (women),4,Costa Rica,Number of children per woman - MICS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
CRI2018,High skilled women,CRI,MICS 2018,2018,1.018456935882568,6,6,Qualification (women),4,Costa Rica,Number of children per woman - MICS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
DOM2014,Women,DOM,MICS 2014,2014,2.418534517288208,1,1,Women,1,Dominican republic,Number of children per woman - MICS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
DOM2014,Not married women,DOM,MICS 2014,2014,1.998203158378601,2,2,Marital status (women),3,Dominican republic,Number of children per woman - MICS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
DOM2014,Married women,DOM,MICS 2014,2014,2.65337085723877,3,3,Marital status (women),3,Dominican republic,Number of children per woman - MICS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
DOM2014,Low skilled women,DOM,MICS 2014,2014,3.003669261932373,4,4,Qualification (women),4,Dominican republic,Number of children per woman - MICS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
DOM2014,Medium skilled women,DOM,MICS 2014,2014,1.933111310005188,5,5,Qualification (women),4,Dominican republic,Number of children per woman - MICS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
DOM2014,High skilled women,DOM,MICS 2014,2014,1.593580365180969,6,6,Qualification (women),4,Dominican republic,Number of children per woman - MICS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
DOM2019,Women,DOM,MICS 2019,2019,2.315786838531494,1,1,Women,1,Dominican republic,Number of children per woman - MICS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
DOM2019,Not married women,DOM,MICS 2019,2019,1.943660736083984,2,2,Marital status (women),3,Dominican republic,Number of children per woman - MICS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
DOM2019,Married women,DOM,MICS 2019,2019,2.519892930984497,3,3,Marital status (women),3,Dominican republic,Number of children per woman - MICS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
DOM2019,Low skilled women,DOM,MICS 2019,2019,2.979260206222534,4,4,Qualification (women),4,Dominican republic,Number of children per woman - MICS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
DOM2019,Medium skilled women,DOM,MICS 2019,2019,2.045109033584595,5,5,Qualification (women),4,Dominican republic,Number of children per woman - MICS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
DOM2019,High skilled women,DOM,MICS 2019,2019,1.570460081100464,6,6,Qualification (women),4,Dominican republic,Number of children per woman - MICS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
SLV2014,Women,SLV,MICS 2014,2014,2.414521455764771,1,1,Women,1,El Salvador,Number of children per woman - MICS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
SLV2014,Not married women,SLV,MICS 2014,2014,1.846742749214172,2,2,Marital status (women),3,El Salvador,Number of children per woman - MICS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
SLV2014,Married women,SLV,MICS 2014,2014,2.69998836517334,3,3,Marital status (women),3,El Salvador,Number of children per woman - MICS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
SLV2014,Low skilled women,SLV,MICS 2014,2014,2.677849292755127,4,4,Qualification (women),4,El Salvador,Number of children per woman - MICS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
SLV2014,Medium skilled women,SLV,MICS 2014,2014,1.542624950408936,5,5,Qualification (women),4,El Salvador,Number of children per woman - MICS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
SLV2014,High skilled women,SLV,MICS 2014,2014,1.122895359992981,6,6,Qualification (women),4,El Salvador,Number of children per woman - MICS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
HND2019,Women,HND,MICS HND,2019,2.643114805221558,1,1,Women,1,Honduras,Number of children per woman - MICS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
HND2019,Not married women,HND,MICS HND,2019,2.129266977310181,2,2,Marital status (women),3,Honduras,Number of children per woman - MICS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
HND2019,Married women,HND,MICS HND,2019,2.902005434036255,3,3,Marital status (women),3,Honduras,Number of children per woman - MICS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
HND2019,Low skilled women,HND,MICS HND,2019,2.976280450820923,4,4,Qualification (women),4,Honduras,Number of children per woman - MICS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
HND2019,Medium skilled women,HND,MICS HND,2019,1.634271144866943,5,5,Qualification (women),4,Honduras,Number of children per woman - MICS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
HND2019,High skilled women,HND,MICS HND,2019,1.28337287902832,6,6,Qualification (women),4,Honduras,Number of children per woman - MICS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
MEX2015,Women,MEX,MICS 2015,2015,2.370867967605591,1,1,Women,1,México,Number of children per woman - MICS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
MEX2015,Not married women,MEX,MICS 2015,2015,1.690961956977844,2,2,Marital status (women),3,México,Number of children per woman - MICS,Number of children alive per woman. The reference population includes women aged 25 to 49 years.,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
