id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,detalle_indicador,indicador,disclaimer
ARG2013,Women/men ratio,ARG,MUT - EAHU 2013,2013,,26,26,,Women/men ratio,6,Argentina,Percentage of individuals aged 25-54 who dedicate time to leisure activities.,Participation in leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (low skilled),ARG,MUT - EAHU 2013,2013,,27,27,,Ratio qualification,15,Argentina,Percentage of individuals aged 25-54 who dedicate time to leisure activities.,Participation in leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (medium skilled),ARG,MUT - EAHU 2013,2013,,28,28,,Ratio qualification,15,Argentina,Percentage of individuals aged 25-54 who dedicate time to leisure activities.,Participation in leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (high skilled),ARG,MUT - EAHU 2013,2013,,29,29,,Ratio qualification,15,Argentina,Percentage of individuals aged 25-54 who dedicate time to leisure activities.,Participation in leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (not married),ARG,MUT - EAHU 2013,2013,,30,30,,Ratio marital status,14,Argentina,Percentage of individuals aged 25-54 who dedicate time to leisure activities.,Participation in leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (married),ARG,MUT - EAHU 2013,2013,,31,31,,Ratio marital status,14,Argentina,Percentage of individuals aged 25-54 who dedicate time to leisure activities.,Participation in leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (without children),ARG,MUT - EAHU 2013,2013,,32,32,,Ratio children,13,Argentina,Percentage of individuals aged 25-54 who dedicate time to leisure activities.,Participation in leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (with children aged 0-5),ARG,MUT - EAHU 2013,2013,,33,33,,Ratio children,13,Argentina,Percentage of individuals aged 25-54 who dedicate time to leisure activities.,Participation in leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (with children older than 5),ARG,MUT - EAHU 2013,2013,,34,34,,Ratio children,13,Argentina,Percentage of individuals aged 25-54 who dedicate time to leisure activities.,Participation in leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2021,Women/men ratio,ARG,ENUT 2021,2021,.9794132709503174,26,26,,Women/men ratio,6,Argentina,Percentage of individuals aged 25-54 who dedicate time to leisure activities.,Participation in leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2021,Women/men ratio (low skilled),ARG,ENUT 2021,2021,.9812467098236084,27,27,,Ratio qualification,15,Argentina,Percentage of individuals aged 25-54 who dedicate time to leisure activities.,Participation in leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2021,Women/men ratio (medium skilled),ARG,ENUT 2021,2021,.9775014519691467,28,28,,Ratio qualification,15,Argentina,Percentage of individuals aged 25-54 who dedicate time to leisure activities.,Participation in leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2021,Women/men ratio (high skilled),ARG,ENUT 2021,2021,.9736258983612061,29,29,,Ratio qualification,15,Argentina,Percentage of individuals aged 25-54 who dedicate time to leisure activities.,Participation in leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2021,Women/men ratio (not married),ARG,ENUT 2021,2021,.977094292640686,30,30,,Ratio marital status,14,Argentina,Percentage of individuals aged 25-54 who dedicate time to leisure activities.,Participation in leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2021,Women/men ratio (married),ARG,ENUT 2021,2021,.9807683229446411,31,31,,Ratio marital status,14,Argentina,Percentage of individuals aged 25-54 who dedicate time to leisure activities.,Participation in leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2021,Women/men ratio (without children),ARG,ENUT 2021,2021,.9690912961959839,32,32,,Ratio children,13,Argentina,Percentage of individuals aged 25-54 who dedicate time to leisure activities.,Participation in leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2021,Women/men ratio (with children aged 0-5),ARG,ENUT 2021,2021,.9862989783287048,33,33,,Ratio children,13,Argentina,Percentage of individuals aged 25-54 who dedicate time to leisure activities.,Participation in leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2021,Women/men ratio (with children older than 5),ARG,ENUT 2021,2021,.9947077631950378,34,34,,Ratio children,13,Argentina,Percentage of individuals aged 25-54 who dedicate time to leisure activities.,Participation in leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio,CHL,ENUT 2015,2015,.9991704821586609,26,26,,Women/men ratio,6,Chile,Percentage of individuals aged 25-54 who dedicate time to leisure activities.,Participation in leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio (low skilled),CHL,ENUT 2015,2015,1.000897765159607,27,27,,Ratio qualification,15,Chile,Percentage of individuals aged 25-54 who dedicate time to leisure activities.,Participation in leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio (medium skilled),CHL,ENUT 2015,2015,.9980878233909607,28,28,,Ratio qualification,15,Chile,Percentage of individuals aged 25-54 who dedicate time to leisure activities.,Participation in leisure activities,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
