id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2000,Total,ARG,,2000,,1,1,,Total,1,Argentina,Argentina,Percentage of adults with same-sex spouse. The reference population includes only the head of household.,Percentage of people with a same-sex partners,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women,ARG,,2000,,2,2,,Gender,4,Argentina,Argentina,Percentage of adults with same-sex spouse. The reference population includes only the head of household.,Percentage of people with a same-sex partners,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Men,ARG,,2000,,3,3,,Gender,4,Argentina,Argentina,Percentage of adults with same-sex spouse. The reference population includes only the head of household.,Percentage of people with a same-sex partners,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women - men gap,ARG,,2000,,4,4,0,Women - men gap,5,Argentina,Argentina,Percentage of adults with same-sex spouse. The reference population includes only the head of household.,Percentage of people with a same-sex partners,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women without children,ARG,,2000,,6,6,,Children (women),7,Argentina,Argentina,Percentage of adults with same-sex spouse. The reference population includes only the head of household.,Percentage of people with a same-sex partners,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women with children aged 0-5,ARG,,2000,,7,7,,Children (women),7,Argentina,Argentina,Percentage of adults with same-sex spouse. The reference population includes only the head of household.,Percentage of people with a same-sex partners,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women with children older than 5,ARG,,2000,,8,8,,Children (women),7,Argentina,Argentina,Percentage of adults with same-sex spouse. The reference population includes only the head of household.,Percentage of people with a same-sex partners,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Men without children,ARG,,2000,,9,9,,Children (men),8,Argentina,Argentina,Percentage of adults with same-sex spouse. The reference population includes only the head of household.,Percentage of people with a same-sex partners,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Men with children aged 0-5,ARG,,2000,,10,10,,Children (men),8,Argentina,Argentina,Percentage of adults with same-sex spouse. The reference population includes only the head of household.,Percentage of people with a same-sex partners,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Men with children older than 5,ARG,,2000,,11,11,,Children (men),8,Argentina,Argentina,Percentage of adults with same-sex spouse. The reference population includes only the head of household.,Percentage of people with a same-sex partners,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Low skilled women,ARG,,2000,,16,16,,Qualification (women),11,Argentina,Argentina,Percentage of adults with same-sex spouse. The reference population includes only the head of household.,Percentage of people with a same-sex partners,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Medium skilled women,ARG,,2000,,17,17,,Qualification (women),11,Argentina,Argentina,Percentage of adults with same-sex spouse. The reference population includes only the head of household.,Percentage of people with a same-sex partners,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,High skilled women,ARG,,2000,,18,18,,Qualification (women),11,Argentina,Argentina,Percentage of adults with same-sex spouse. The reference population includes only the head of household.,Percentage of people with a same-sex partners,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Low skilled men,ARG,,2000,,19,19,,Qualification (men),12,Argentina,Argentina,Percentage of adults with same-sex spouse. The reference population includes only the head of household.,Percentage of people with a same-sex partners,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Medium skilled men,ARG,,2000,,20,20,,Qualification (men),12,Argentina,Argentina,Percentage of adults with same-sex spouse. The reference population includes only the head of household.,Percentage of people with a same-sex partners,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,High skilled men,ARG,,2000,,21,21,,Qualification (men),12,Argentina,Argentina,Percentage of adults with same-sex spouse. The reference population includes only the head of household.,Percentage of people with a same-sex partners,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Woman,ARG,,2000,,22,22,,Woman,2,Argentina,Argentina,Percentage of adults with same-sex spouse. The reference population includes only the head of household.,Percentage of people with a same-sex partners,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Man,ARG,,2000,,23,23,,Man,3,Argentina,Argentina,Percentage of adults with same-sex spouse. The reference population includes only the head of household.,Percentage of people with a same-sex partners,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women/men ratio,ARG,,2000,,26,26,,Women/men ratio,6,Argentina,Argentina,Percentage of adults with same-sex spouse. The reference population includes only the head of household.,Percentage of people with a same-sex partners,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Total,ARG,,2001,,1,1,,Total,1,Argentina,Argentina,Percentage of adults with same-sex spouse. The reference population includes only the head of household.,Percentage of people with a same-sex partners,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Women,ARG,,2001,,2,2,,Gender,4,Argentina,Argentina,Percentage of adults with same-sex spouse. The reference population includes only the head of household.,Percentage of people with a same-sex partners,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Men,ARG,,2001,,3,3,,Gender,4,Argentina,Argentina,Percentage of adults with same-sex spouse. The reference population includes only the head of household.,Percentage of people with a same-sex partners,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Women - men gap,ARG,,2001,,4,4,0,Women - men gap,5,Argentina,Argentina,Percentage of adults with same-sex spouse. The reference population includes only the head of household.,Percentage of people with a same-sex partners,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Women without children,ARG,,2001,,6,6,,Children (women),7,Argentina,Argentina,Percentage of adults with same-sex spouse. The reference population includes only the head of household.,Percentage of people with a same-sex partners,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Women with children aged 0-5,ARG,,2001,,7,7,,Children (women),7,Argentina,Argentina,Percentage of adults with same-sex spouse. The reference population includes only the head of household.,Percentage of people with a same-sex partners,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Women with children older than 5,ARG,,2001,,8,8,,Children (women),7,Argentina,Argentina,Percentage of adults with same-sex spouse. The reference population includes only the head of household.,Percentage of people with a same-sex partners,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Men without children,ARG,,2001,,9,9,,Children (men),8,Argentina,Argentina,Percentage of adults with same-sex spouse. The reference population includes only the head of household.,Percentage of people with a same-sex partners,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Men with children aged 0-5,ARG,,2001,,10,10,,Children (men),8,Argentina,Argentina,Percentage of adults with same-sex spouse. The reference population includes only the head of household.,Percentage of people with a same-sex partners,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Men with children older than 5,ARG,,2001,,11,11,,Children (men),8,Argentina,Argentina,Percentage of adults with same-sex spouse. The reference population includes only the head of household.,Percentage of people with a same-sex partners,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Low skilled women,ARG,,2001,,16,16,,Qualification (women),11,Argentina,Argentina,Percentage of adults with same-sex spouse. The reference population includes only the head of household.,Percentage of people with a same-sex partners,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Medium skilled women,ARG,,2001,,17,17,,Qualification (women),11,Argentina,Argentina,Percentage of adults with same-sex spouse. The reference population includes only the head of household.,Percentage of people with a same-sex partners,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,High skilled women,ARG,,2001,,18,18,,Qualification (women),11,Argentina,Argentina,Percentage of adults with same-sex spouse. The reference population includes only the head of household.,Percentage of people with a same-sex partners,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Low skilled men,ARG,,2001,,19,19,,Qualification (men),12,Argentina,Argentina,Percentage of adults with same-sex spouse. The reference population includes only the head of household.,Percentage of people with a same-sex partners,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Medium skilled men,ARG,,2001,,20,20,,Qualification (men),12,Argentina,Argentina,Percentage of adults with same-sex spouse. The reference population includes only the head of household.,Percentage of people with a same-sex partners,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,High skilled men,ARG,,2001,,21,21,,Qualification (men),12,Argentina,Argentina,Percentage of adults with same-sex spouse. The reference population includes only the head of household.,Percentage of people with a same-sex partners,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Woman,ARG,,2001,,22,22,,Woman,2,Argentina,Argentina,Percentage of adults with same-sex spouse. The reference population includes only the head of household.,Percentage of people with a same-sex partners,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Man,ARG,,2001,,23,23,,Man,3,Argentina,Argentina,Percentage of adults with same-sex spouse. The reference population includes only the head of household.,Percentage of people with a same-sex partners,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Women/men ratio,ARG,,2001,,26,26,,Women/men ratio,6,Argentina,Argentina,Percentage of adults with same-sex spouse. The reference population includes only the head of household.,Percentage of people with a same-sex partners,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2002,Total,ARG,,2002,,1,1,,Total,1,Argentina,Argentina,Percentage of adults with same-sex spouse. The reference population includes only the head of household.,Percentage of people with a same-sex partners,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2002,Women,ARG,,2002,,2,2,,Gender,4,Argentina,Argentina,Percentage of adults with same-sex spouse. The reference population includes only the head of household.,Percentage of people with a same-sex partners,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
