id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2000,Total,ARG,,2000,32.80656051635742,1,1,,Total,1,Argentina,Argentina,Percentage of individuals aged 25-54 who do not have any personal income.,Percentage of adults with zero income,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women,ARG,,2000,46.64449691772461,2,2,,Gender,4,Argentina,Argentina,Percentage of individuals aged 25-54 who do not have any personal income.,Percentage of adults with zero income,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Men,ARG,,2000,17.53116989135742,3,3,,Gender,4,Argentina,Argentina,Percentage of individuals aged 25-54 who do not have any personal income.,Percentage of adults with zero income,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women - men gap,ARG,,2000,29.11332511901855,4,4,1.0050241,Women - men gap,5,Argentina,Argentina,Percentage of individuals aged 25-54 who do not have any personal income.,Percentage of adults with zero income,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women without children,ARG,,2000,28.46530723571777,6,6,,Children (women),7,Argentina,Argentina,Percentage of individuals aged 25-54 who do not have any personal income.,Percentage of adults with zero income,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women with children aged 0-5,ARG,,2000,57.89859008789063,7,7,,Children (women),7,Argentina,Argentina,Percentage of individuals aged 25-54 who do not have any personal income.,Percentage of adults with zero income,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women with children older than 5,ARG,,2000,49.01386260986328,8,8,,Children (women),7,Argentina,Argentina,Percentage of individuals aged 25-54 who do not have any personal income.,Percentage of adults with zero income,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Men without children,ARG,,2000,13.34952259063721,9,9,,Children (men),8,Argentina,Argentina,Percentage of individuals aged 25-54 who do not have any personal income.,Percentage of adults with zero income,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Men with children aged 0-5,ARG,,2000,10.36282348632813,10,10,,Children (men),8,Argentina,Argentina,Percentage of individuals aged 25-54 who do not have any personal income.,Percentage of adults with zero income,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Men with children older than 5,ARG,,2000,16.72044372558594,11,11,,Children (men),8,Argentina,Argentina,Percentage of individuals aged 25-54 who do not have any personal income.,Percentage of adults with zero income,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Not married women,ARG,,2000,23.05375671386719,12,12,,Marital status (women),9,Argentina,Argentina,Percentage of individuals aged 25-54 who do not have any personal income.,Percentage of adults with zero income,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Married women,ARG,,2000,56.75716018676758,13,13,,Marital status (women),9,Argentina,Argentina,Percentage of individuals aged 25-54 who do not have any personal income.,Percentage of adults with zero income,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Not married men,ARG,,2000,27.51541328430176,14,14,,Marital status (men),10,Argentina,Argentina,Percentage of individuals aged 25-54 who do not have any personal income.,Percentage of adults with zero income,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Married men,ARG,,2000,14.11154270172119,15,15,,Marital status (men),10,Argentina,Argentina,Percentage of individuals aged 25-54 who do not have any personal income.,Percentage of adults with zero income,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Low skilled women,ARG,,2000,56.33368301391602,16,16,,Qualification (women),11,Argentina,Argentina,Percentage of individuals aged 25-54 who do not have any personal income.,Percentage of adults with zero income,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Medium skilled women,ARG,,2000,44.7615966796875,17,17,,Qualification (women),11,Argentina,Argentina,Percentage of individuals aged 25-54 who do not have any personal income.,Percentage of adults with zero income,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,High skilled women,ARG,,2000,22.24045562744141,18,18,,Qualification (women),11,Argentina,Argentina,Percentage of individuals aged 25-54 who do not have any personal income.,Percentage of adults with zero income,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Low skilled men,ARG,,2000,16.96811676025391,19,19,,Qualification (men),12,Argentina,Argentina,Percentage of individuals aged 25-54 who do not have any personal income.,Percentage of adults with zero income,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Medium skilled men,ARG,,2000,17.46595573425293,20,20,,Qualification (men),12,Argentina,Argentina,Percentage of individuals aged 25-54 who do not have any personal income.,Percentage of adults with zero income,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,High skilled men,ARG,,2000,18.76940727233887,21,21,,Qualification (men),12,Argentina,Argentina,Percentage of individuals aged 25-54 who do not have any personal income.,Percentage of adults with zero income,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Woman,ARG,,2000,46.64449691772461,22,22,,Woman,2,Argentina,Argentina,Percentage of individuals aged 25-54 who do not have any personal income.,Percentage of adults with zero income,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Man,ARG,,2000,17.53116989135742,23,23,,Man,3,Argentina,Argentina,Percentage of individuals aged 25-54 who do not have any personal income.,Percentage of adults with zero income,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women/men ratio,ARG,,2000,2.660660743713379,26,26,,Women/men ratio,6,Argentina,Argentina,Percentage of individuals aged 25-54 who do not have any personal income.,Percentage of adults with zero income,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Total,ARG,,2001,35.80977249145508,1,1,,Total,1,Argentina,Argentina,Percentage of individuals aged 25-54 who do not have any personal income.,Percentage of adults with zero income,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Women,ARG,,2001,48.4933967590332,2,2,,Gender,4,Argentina,Argentina,Percentage of individuals aged 25-54 who do not have any personal income.,Percentage of adults with zero income,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Men,ARG,,2001,21.84137153625488,3,3,,Gender,4,Argentina,Argentina,Percentage of individuals aged 25-54 who do not have any personal income.,Percentage of adults with zero income,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Women - men gap,ARG,,2001,26.65202522277832,4,4,1.0329987,Women - men gap,5,Argentina,Argentina,Percentage of individuals aged 25-54 who do not have any personal income.,Percentage of adults with zero income,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Women without children,ARG,,2001,29.76962280273438,6,6,,Children (women),7,Argentina,Argentina,Percentage of individuals aged 25-54 who do not have any personal income.,Percentage of adults with zero income,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Women with children aged 0-5,ARG,,2001,57.90855026245117,7,7,,Children (women),7,Argentina,Argentina,Percentage of individuals aged 25-54 who do not have any personal income.,Percentage of adults with zero income,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Women with children older than 5,ARG,,2001,49.90954971313477,8,8,,Children (women),7,Argentina,Argentina,Percentage of individuals aged 25-54 who do not have any personal income.,Percentage of adults with zero income,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Men without children,ARG,,2001,16.22757911682129,9,9,,Children (men),8,Argentina,Argentina,Percentage of individuals aged 25-54 who do not have any personal income.,Percentage of adults with zero income,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Men with children aged 0-5,ARG,,2001,14.59633827209473,10,10,,Children (men),8,Argentina,Argentina,Percentage of individuals aged 25-54 who do not have any personal income.,Percentage of adults with zero income,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Men with children older than 5,ARG,,2001,18.41008186340332,11,11,,Children (men),8,Argentina,Argentina,Percentage of individuals aged 25-54 who do not have any personal income.,Percentage of adults with zero income,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Not married women,ARG,,2001,28.04386138916016,12,12,,Marital status (women),9,Argentina,Argentina,Percentage of individuals aged 25-54 who do not have any personal income.,Percentage of adults with zero income,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Married women,ARG,,2001,57.79058837890625,13,13,,Marital status (women),9,Argentina,Argentina,Percentage of individuals aged 25-54 who do not have any personal income.,Percentage of adults with zero income,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
