id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,detalle_indicador,indicador,disclaimer
ARG2013,Women/men ratio,ARG,MUT - EAHU 2013,2013,1.78167712688446,26,26,,Women/men ratio,6,Argentina,Percentage of individuals aged 25-54 who dedicate time to household chores.,Participation in household chores,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (low skilled),ARG,MUT - EAHU 2013,2013,1.92353093624115,27,27,,Ratio qualification,15,Argentina,Percentage of individuals aged 25-54 who dedicate time to household chores.,Participation in household chores,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (medium skilled),ARG,MUT - EAHU 2013,2013,1.718236923217773,28,28,,Ratio qualification,15,Argentina,Percentage of individuals aged 25-54 who dedicate time to household chores.,Participation in household chores,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (high skilled),ARG,MUT - EAHU 2013,2013,1.604872822761536,29,29,,Ratio qualification,15,Argentina,Percentage of individuals aged 25-54 who dedicate time to household chores.,Participation in household chores,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (not married),ARG,MUT - EAHU 2013,2013,1.552016377449036,30,30,,Ratio marital status,14,Argentina,Percentage of individuals aged 25-54 who dedicate time to household chores.,Participation in household chores,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (married),ARG,MUT - EAHU 2013,2013,1.89272153377533,31,31,,Ratio marital status,14,Argentina,Percentage of individuals aged 25-54 who dedicate time to household chores.,Participation in household chores,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (without children),ARG,MUT - EAHU 2013,2013,1.263748168945313,32,32,,Ratio children,13,Argentina,Percentage of individuals aged 25-54 who dedicate time to household chores.,Participation in household chores,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (with children aged 0-5),ARG,MUT - EAHU 2013,2013,1.863785028457642,33,33,,Ratio children,13,Argentina,Percentage of individuals aged 25-54 who dedicate time to household chores.,Participation in household chores,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (with children older than 5),ARG,MUT - EAHU 2013,2013,1.952417969703674,34,34,,Ratio children,13,Argentina,Percentage of individuals aged 25-54 who dedicate time to household chores.,Participation in household chores,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2021,Women/men ratio,ARG,ENUT 2021,2021,1.369115471839905,26,26,,Women/men ratio,6,Argentina,Percentage of individuals aged 25-54 who dedicate time to household chores.,Participation in household chores,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2021,Women/men ratio (low skilled),ARG,ENUT 2021,2021,1.498674511909485,27,27,,Ratio qualification,15,Argentina,Percentage of individuals aged 25-54 who dedicate time to household chores.,Participation in household chores,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2021,Women/men ratio (medium skilled),ARG,ENUT 2021,2021,1.366946458816528,28,28,,Ratio qualification,15,Argentina,Percentage of individuals aged 25-54 who dedicate time to household chores.,Participation in household chores,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2021,Women/men ratio (high skilled),ARG,ENUT 2021,2021,1.192538738250732,29,29,,Ratio qualification,15,Argentina,Percentage of individuals aged 25-54 who dedicate time to household chores.,Participation in household chores,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2021,Women/men ratio (not married),ARG,ENUT 2021,2021,1.377613663673401,30,30,,Ratio marital status,14,Argentina,Percentage of individuals aged 25-54 who dedicate time to household chores.,Participation in household chores,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2021,Women/men ratio (married),ARG,ENUT 2021,2021,1.369386434555054,31,31,,Ratio marital status,14,Argentina,Percentage of individuals aged 25-54 who dedicate time to household chores.,Participation in household chores,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2021,Women/men ratio (without children),ARG,ENUT 2021,2021,1.115103840827942,32,32,,Ratio children,13,Argentina,Percentage of individuals aged 25-54 who dedicate time to household chores.,Participation in household chores,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2021,Women/men ratio (with children aged 0-5),ARG,ENUT 2021,2021,1.485646843910217,33,33,,Ratio children,13,Argentina,Percentage of individuals aged 25-54 who dedicate time to household chores.,Participation in household chores,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2021,Women/men ratio (with children older than 5),ARG,ENUT 2021,2021,1.398437261581421,34,34,,Ratio children,13,Argentina,Percentage of individuals aged 25-54 who dedicate time to household chores.,Participation in household chores,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio,CHL,ENUT 2015,2015,1.068847894668579,26,26,,Women/men ratio,6,Chile,Percentage of individuals aged 25-54 who dedicate time to household chores.,Participation in household chores,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio (low skilled),CHL,ENUT 2015,2015,1.116864442825317,27,27,,Ratio qualification,15,Chile,Percentage of individuals aged 25-54 who dedicate time to household chores.,Participation in household chores,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio (medium skilled),CHL,ENUT 2015,2015,1.073870301246643,28,28,,Ratio qualification,15,Chile,Percentage of individuals aged 25-54 who dedicate time to household chores.,Participation in household chores,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio (high skilled),CHL,ENUT 2015,2015,1.024652123451233,29,29,,Ratio qualification,15,Chile,Percentage of individuals aged 25-54 who dedicate time to household chores.,Participation in household chores,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio (not married),CHL,ENUT 2015,2015,1.056784152984619,30,30,,Ratio marital status,14,Chile,Percentage of individuals aged 25-54 who dedicate time to household chores.,Participation in household chores,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio (married),CHL,ENUT 2015,2015,1.075879216194153,31,31,,Ratio marital status,14,Chile,Percentage of individuals aged 25-54 who dedicate time to household chores.,Participation in household chores,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio (without children),CHL,ENUT 2015,2015,1.025801777839661,32,32,,Ratio children,13,Chile,Percentage of individuals aged 25-54 who dedicate time to household chores.,Participation in household chores,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio (with children aged 0-5),CHL,ENUT 2015,2015,1.056641221046448,33,33,,Ratio children,13,Chile,Percentage of individuals aged 25-54 who dedicate time to household chores.,Participation in household chores,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio (with children older than 5),CHL,ENUT 2015,2015,1.092303395271301,34,34,,Ratio children,13,Chile,Percentage of individuals aged 25-54 who dedicate time to household chores.,Participation in household chores,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2012,Women/men ratio,COL,ENUT 2012-13,2012,1.820706009864807,26,26,,Women/men ratio,6,Colombia,Percentage of individuals aged 25-54 who dedicate time to household chores.,Participation in household chores,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
