id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,indicador,detalle_indicador,disclaimer
ARG2011,Mujeres,ARG,MICS 2011-12,2011,57.68943405151367,1,1,Mujeres,1,Argentina,Porcentaje de mujeres que utilizan métodos anticonceptivos (cualquier método) - MICS,"Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos (cualquier método, incluyendo modernos y tradicionales).",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2011,Mujeres sin hijos,ARG,MICS 2011-12,2011,60.49918746948242,2,2,Hijos (mujeres),2,Argentina,Porcentaje de mujeres que utilizan métodos anticonceptivos (cualquier método) - MICS,"Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos (cualquier método, incluyendo modernos y tradicionales).",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2011,Mujeres con hijos de 0 a 5 años,ARG,MICS 2011-12,2011,75.95225524902344,3,3,Hijos (mujeres),2,Argentina,Porcentaje de mujeres que utilizan métodos anticonceptivos (cualquier método) - MICS,"Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos (cualquier método, incluyendo modernos y tradicionales).",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2011,Mujeres con hijos de 6 años o más,ARG,MICS 2011-12,2011,59.05531692504883,4,4,Hijos (mujeres),2,Argentina,Porcentaje de mujeres que utilizan métodos anticonceptivos (cualquier método) - MICS,"Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos (cualquier método, incluyendo modernos y tradicionales).",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2011,Mujeres de baja calificación,ARG,MICS 2011-12,2011,59.8541374206543,7,7,Calificación (mujeres),4,Argentina,Porcentaje de mujeres que utilizan métodos anticonceptivos (cualquier método) - MICS,"Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos (cualquier método, incluyendo modernos y tradicionales).",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2011,Mujeres de media calificación,ARG,MICS 2011-12,2011,61.89263153076172,8,8,Calificación (mujeres),4,Argentina,Porcentaje de mujeres que utilizan métodos anticonceptivos (cualquier método) - MICS,"Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos (cualquier método, incluyendo modernos y tradicionales).",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2011,Mujeres de alta calificación,ARG,MICS 2011-12,2011,65.68556213378906,9,9,Calificación (mujeres),4,Argentina,Porcentaje de mujeres que utilizan métodos anticonceptivos (cualquier método) - MICS,"Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos (cualquier método, incluyendo modernos y tradicionales).",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2019,Mujeres,ARG,MICS 2019-20,2019,61.32839965820313,1,1,Mujeres,1,Argentina,Porcentaje de mujeres que utilizan métodos anticonceptivos (cualquier método) - MICS,"Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos (cualquier método, incluyendo modernos y tradicionales).",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2019,Mujeres sin hijos,ARG,MICS 2019-20,2019,54.46158981323242,2,2,Hijos (mujeres),2,Argentina,Porcentaje de mujeres que utilizan métodos anticonceptivos (cualquier método) - MICS,"Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos (cualquier método, incluyendo modernos y tradicionales).",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2019,Mujeres con hijos de 0 a 5 años,ARG,MICS 2019-20,2019,77.13091278076172,3,3,Hijos (mujeres),2,Argentina,Porcentaje de mujeres que utilizan métodos anticonceptivos (cualquier método) - MICS,"Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos (cualquier método, incluyendo modernos y tradicionales).",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2019,Mujeres con hijos de 6 años o más,ARG,MICS 2019-20,2019,67.09586334228516,4,4,Hijos (mujeres),2,Argentina,Porcentaje de mujeres que utilizan métodos anticonceptivos (cualquier método) - MICS,"Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos (cualquier método, incluyendo modernos y tradicionales).",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2019,Mujeres solteras,ARG,MICS 2019-20,2019,49.84493255615234,5,5,Situación conyugal (mujeres),3,Argentina,Porcentaje de mujeres que utilizan métodos anticonceptivos (cualquier método) - MICS,"Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos (cualquier método, incluyendo modernos y tradicionales).",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2019,Mujeres en pareja,ARG,MICS 2019-20,2019,73.23407745361328,6,6,Situación conyugal (mujeres),3,Argentina,Porcentaje de mujeres que utilizan métodos anticonceptivos (cualquier método) - MICS,"Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos (cualquier método, incluyendo modernos y tradicionales).",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2019,Mujeres de baja calificación,ARG,MICS 2019-20,2019,57.05932998657227,7,7,Calificación (mujeres),4,Argentina,Porcentaje de mujeres que utilizan métodos anticonceptivos (cualquier método) - MICS,"Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos (cualquier método, incluyendo modernos y tradicionales).",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2019,Mujeres de media calificación,ARG,MICS 2019-20,2019,63.92354202270508,8,8,Calificación (mujeres),4,Argentina,Porcentaje de mujeres que utilizan métodos anticonceptivos (cualquier método) - MICS,"Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos (cualquier método, incluyendo modernos y tradicionales).",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2019,Mujeres de alta calificación,ARG,MICS 2019-20,2019,65.46395874023438,9,9,Calificación (mujeres),4,Argentina,Porcentaje de mujeres que utilizan métodos anticonceptivos (cualquier método) - MICS,"Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos (cualquier método, incluyendo modernos y tradicionales).",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2000,Mujeres,BOL,MICS 2000,2000,58.28886413574219,1,1,Mujeres,1,Bolivia,Porcentaje de mujeres que utilizan métodos anticonceptivos (cualquier método) - MICS,"Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos (cualquier método, incluyendo modernos y tradicionales).",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2000,Mujeres solteras,BOL,MICS 2000,2000,41.2441291809082,5,5,Situación conyugal (mujeres),3,Bolivia,Porcentaje de mujeres que utilizan métodos anticonceptivos (cualquier método) - MICS,"Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos (cualquier método, incluyendo modernos y tradicionales).",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2000,Mujeres en pareja,BOL,MICS 2000,2000,58.32830047607422,6,6,Situación conyugal (mujeres),3,Bolivia,Porcentaje de mujeres que utilizan métodos anticonceptivos (cualquier método) - MICS,"Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos (cualquier método, incluyendo modernos y tradicionales).",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CRI2011,Mujeres,CRI,MICS 2011,2011,60.06474685668945,1,1,Mujeres,1,Costa Rica,Porcentaje de mujeres que utilizan métodos anticonceptivos (cualquier método) - MICS,"Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos (cualquier método, incluyendo modernos y tradicionales).",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CRI2011,Mujeres sin hijos,CRI,MICS 2011,2011,50.37225723266602,2,2,Hijos (mujeres),2,Costa Rica,Porcentaje de mujeres que utilizan métodos anticonceptivos (cualquier método) - MICS,"Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos (cualquier método, incluyendo modernos y tradicionales).",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CRI2011,Mujeres con hijos de 0 a 5 años,CRI,MICS 2011,2011,79.69444274902344,3,3,Hijos (mujeres),2,Costa Rica,Porcentaje de mujeres que utilizan métodos anticonceptivos (cualquier método) - MICS,"Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos (cualquier método, incluyendo modernos y tradicionales).",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CRI2011,Mujeres con hijos de 6 años o más,CRI,MICS 2011,2011,74.52730560302734,4,4,Hijos (mujeres),2,Costa Rica,Porcentaje de mujeres que utilizan métodos anticonceptivos (cualquier método) - MICS,"Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos (cualquier método, incluyendo modernos y tradicionales).",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CRI2011,Mujeres solteras,CRI,MICS 2011,2011,37.39611053466797,5,5,Situación conyugal (mujeres),3,Costa Rica,Porcentaje de mujeres que utilizan métodos anticonceptivos (cualquier método) - MICS,"Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos (cualquier método, incluyendo modernos y tradicionales).",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CRI2011,Mujeres en pareja,CRI,MICS 2011,2011,79.99561309814453,6,6,Situación conyugal (mujeres),3,Costa Rica,Porcentaje de mujeres que utilizan métodos anticonceptivos (cualquier método) - MICS,"Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos (cualquier método, incluyendo modernos y tradicionales).",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CRI2011,Mujeres de baja calificación,CRI,MICS 2011,2011,61.08360290527344,7,7,Calificación (mujeres),4,Costa Rica,Porcentaje de mujeres que utilizan métodos anticonceptivos (cualquier método) - MICS,"Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos (cualquier método, incluyendo modernos y tradicionales).",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CRI2011,Mujeres de media calificación,CRI,MICS 2011,2011,56.4791374206543,8,8,Calificación (mujeres),4,Costa Rica,Porcentaje de mujeres que utilizan métodos anticonceptivos (cualquier método) - MICS,"Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos (cualquier método, incluyendo modernos y tradicionales).",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CRI2011,Mujeres de alta calificación,CRI,MICS 2011,2011,62.62856674194336,9,9,Calificación (mujeres),4,Costa Rica,Porcentaje de mujeres que utilizan métodos anticonceptivos (cualquier método) - MICS,"Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos (cualquier método, incluyendo modernos y tradicionales).",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CRI2018,Mujeres,CRI,MICS 2018,2018,57.84190368652344,1,1,Mujeres,1,Costa Rica,Porcentaje de mujeres que utilizan métodos anticonceptivos (cualquier método) - MICS,"Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos (cualquier método, incluyendo modernos y tradicionales).",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CRI2018,Mujeres sin hijos,CRI,MICS 2018,2018,64.28107452392578,2,2,Hijos (mujeres),2,Costa Rica,Porcentaje de mujeres que utilizan métodos anticonceptivos (cualquier método) - MICS,"Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos (cualquier método, incluyendo modernos y tradicionales).",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CRI2018,Mujeres con hijos de 0 a 5 años,CRI,MICS 2018,2018,77.73151397705078,3,3,Hijos (mujeres),2,Costa Rica,Porcentaje de mujeres que utilizan métodos anticonceptivos (cualquier método) - MICS,"Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos (cualquier método, incluyendo modernos y tradicionales).",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CRI2018,Mujeres con hijos de 6 años o más,CRI,MICS 2018,2018,69.23106384277344,4,4,Hijos (mujeres),2,Costa Rica,Porcentaje de mujeres que utilizan métodos anticonceptivos (cualquier método) - MICS,"Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos (cualquier método, incluyendo modernos y tradicionales).",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CRI2018,Mujeres solteras,CRI,MICS 2018,2018,41.67743301391602,5,5,Situación conyugal (mujeres),3,Costa Rica,Porcentaje de mujeres que utilizan métodos anticonceptivos (cualquier método) - MICS,"Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos (cualquier método, incluyendo modernos y tradicionales).",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CRI2018,Mujeres en pareja,CRI,MICS 2018,2018,74.38307952880859,6,6,Situación conyugal (mujeres),3,Costa Rica,Porcentaje de mujeres que utilizan métodos anticonceptivos (cualquier método) - MICS,"Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos (cualquier método, incluyendo modernos y tradicionales).",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CRI2018,Mujeres de baja calificación,CRI,MICS 2018,2018,56.62663650512695,7,7,Calificación (mujeres),4,Costa Rica,Porcentaje de mujeres que utilizan métodos anticonceptivos (cualquier método) - MICS,"Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos (cualquier método, incluyendo modernos y tradicionales).",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CRI2018,Mujeres de media calificación,CRI,MICS 2018,2018,56.4903678894043,8,8,Calificación (mujeres),4,Costa Rica,Porcentaje de mujeres que utilizan métodos anticonceptivos (cualquier método) - MICS,"Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos (cualquier método, incluyendo modernos y tradicionales).",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CRI2018,Mujeres de alta calificación,CRI,MICS 2018,2018,63.67432403564453,9,9,Calificación (mujeres),4,Costa Rica,Porcentaje de mujeres que utilizan métodos anticonceptivos (cualquier método) - MICS,"Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos (cualquier método, incluyendo modernos y tradicionales).",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
SLV2014,Mujeres,SLV,MICS 2014,2014,50.35625839233398,1,1,Mujeres,1,El Salvador,Porcentaje de mujeres que utilizan métodos anticonceptivos (cualquier método) - MICS,"Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos (cualquier método, incluyendo modernos y tradicionales).",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
SLV2014,Mujeres sin hijos,SLV,MICS 2014,2014,51.21675491333008,2,2,Hijos (mujeres),2,El Salvador,Porcentaje de mujeres que utilizan métodos anticonceptivos (cualquier método) - MICS,"Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos (cualquier método, incluyendo modernos y tradicionales).",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
SLV2014,Mujeres con hijos de 0 a 5 años,SLV,MICS 2014,2014,79.41544342041016,3,3,Hijos (mujeres),2,El Salvador,Porcentaje de mujeres que utilizan métodos anticonceptivos (cualquier método) - MICS,"Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos (cualquier método, incluyendo modernos y tradicionales).",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
SLV2014,Mujeres con hijos de 6 años o más,SLV,MICS 2014,2014,71.66139984130859,4,4,Hijos (mujeres),2,El Salvador,Porcentaje de mujeres que utilizan métodos anticonceptivos (cualquier método) - MICS,"Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos (cualquier método, incluyendo modernos y tradicionales).",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
SLV2014,Mujeres solteras,SLV,MICS 2014,2014,22.76384353637695,5,5,Situación conyugal (mujeres),3,El Salvador,Porcentaje de mujeres que utilizan métodos anticonceptivos (cualquier método) - MICS,"Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos (cualquier método, incluyendo modernos y tradicionales).",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
