id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,indicador,detalle_indicador,disclaimer
BOL2003,Mujeres,BOL,ENDSA 2003,2003,23.69001007080078,1,1,Mujeres,1,Bolivia,Porcentaje de mujeres que utilizan métodos anticonceptivos modernos - DHS,Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos modernos.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2003,Mujeres sin hijos,BOL,ENDSA 2003,2003,4.480734348297119,2,2,Hijos (mujeres),2,Bolivia,Porcentaje de mujeres que utilizan métodos anticonceptivos modernos - DHS,Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos modernos.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2003,Mujeres con hijos de 0 a 5 años,BOL,ENDSA 2003,2003,33.46160125732422,3,3,Hijos (mujeres),2,Bolivia,Porcentaje de mujeres que utilizan métodos anticonceptivos modernos - DHS,Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos modernos.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2003,Mujeres con hijos de 6 años o más,BOL,ENDSA 2003,2003,31.65196418762207,4,4,Hijos (mujeres),2,Bolivia,Porcentaje de mujeres que utilizan métodos anticonceptivos modernos - DHS,Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos modernos.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2003,Mujeres solteras,BOL,ENDSA 2003,2003,6.950142383575439,5,5,Situación conyugal (mujeres),3,Bolivia,Porcentaje de mujeres que utilizan métodos anticonceptivos modernos - DHS,Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos modernos.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2003,Mujeres en pareja,BOL,ENDSA 2003,2003,34.91178512573242,6,6,Situación conyugal (mujeres),3,Bolivia,Porcentaje de mujeres que utilizan métodos anticonceptivos modernos - DHS,Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos modernos.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2003,Mujeres de baja calificación,BOL,ENDSA 2003,2003,21.13446807861328,7,7,Calificación (mujeres),4,Bolivia,Porcentaje de mujeres que utilizan métodos anticonceptivos modernos - DHS,Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos modernos.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2003,Mujeres de media calificación,BOL,ENDSA 2003,2003,28.15497970581055,8,8,Calificación (mujeres),4,Bolivia,Porcentaje de mujeres que utilizan métodos anticonceptivos modernos - DHS,Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos modernos.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2003,Mujeres de alta calificación,BOL,ENDSA 2003,2003,35.75577163696289,9,9,Calificación (mujeres),4,Bolivia,Porcentaje de mujeres que utilizan métodos anticonceptivos modernos - DHS,Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos modernos.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2008,Mujeres,BOL,ENDSA 2008,2008,23.96825408935547,1,1,Mujeres,1,Bolivia,Porcentaje de mujeres que utilizan métodos anticonceptivos modernos - DHS,Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos modernos.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
