id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,indicador,detalle_indicador,disclaimer
ARG2011,Mujeres,ARG,MICS 2011-12,2011,56.09298706054688,1,1,Mujeres,1,Argentina,Porcentaje de mujeres que utilizan métodos anticonceptivos modernos - MICS,Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos modernos.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2011,Mujeres sin hijos,ARG,MICS 2011-12,2011,58.68031311035156,2,2,Hijos (mujeres),2,Argentina,Porcentaje de mujeres que utilizan métodos anticonceptivos modernos - MICS,Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos modernos.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2011,Mujeres con hijos de 0 a 5 años,ARG,MICS 2011-12,2011,74.21699523925781,3,3,Hijos (mujeres),2,Argentina,Porcentaje de mujeres que utilizan métodos anticonceptivos modernos - MICS,Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos modernos.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2011,Mujeres con hijos de 6 años o más,ARG,MICS 2011-12,2011,56.42380523681641,4,4,Hijos (mujeres),2,Argentina,Porcentaje de mujeres que utilizan métodos anticonceptivos modernos - MICS,Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos modernos.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2011,Mujeres de baja calificación,ARG,MICS 2011-12,2011,57.94914627075195,7,7,Calificación (mujeres),4,Argentina,Porcentaje de mujeres que utilizan métodos anticonceptivos modernos - MICS,Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos modernos.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2011,Mujeres de media calificación,ARG,MICS 2011-12,2011,60.50774002075195,8,8,Calificación (mujeres),4,Argentina,Porcentaje de mujeres que utilizan métodos anticonceptivos modernos - MICS,Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos modernos.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2011,Mujeres de alta calificación,ARG,MICS 2011-12,2011,63.66492462158203,9,9,Calificación (mujeres),4,Argentina,Porcentaje de mujeres que utilizan métodos anticonceptivos modernos - MICS,Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos modernos.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2019,Mujeres,ARG,MICS 2019-20,2019,60.03580093383789,1,1,Mujeres,1,Argentina,Porcentaje de mujeres que utilizan métodos anticonceptivos modernos - MICS,Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos modernos.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2019,Mujeres sin hijos,ARG,MICS 2019-20,2019,52.86044692993164,2,2,Hijos (mujeres),2,Argentina,Porcentaje de mujeres que utilizan métodos anticonceptivos modernos - MICS,Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos modernos.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2019,Mujeres con hijos de 0 a 5 años,ARG,MICS 2019-20,2019,75.49819946289063,3,3,Hijos (mujeres),2,Argentina,Porcentaje de mujeres que utilizan métodos anticonceptivos modernos - MICS,Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos modernos.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2019,Mujeres con hijos de 6 años o más,ARG,MICS 2019-20,2019,65.77547454833984,4,4,Hijos (mujeres),2,Argentina,Porcentaje de mujeres que utilizan métodos anticonceptivos modernos - MICS,Porcentaje de mujeres de 15 a 49 años que utilizan métodos anticonceptivos modernos.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
