id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,indicador,detalle_indicador,disclaimer
BOL2003,Mujeres,BOL,ENDSA 2003,2003,31.27111434936523,1,1,Mujeres,1,Bolivia,Porcentaje de mujeres sin acceso a métodos anticonceptivos - DHS,Porcentaje de mujeres de 15 a 49 años sin acceso a métodos anticonceptivos.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2003,Mujeres sin hijos,BOL,ENDSA 2003,2003,50.06045150756836,2,2,Hijos (mujeres),2,Bolivia,Porcentaje de mujeres sin acceso a métodos anticonceptivos - DHS,Porcentaje de mujeres de 15 a 49 años sin acceso a métodos anticonceptivos.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2003,Mujeres con hijos de 0 a 5 años,BOL,ENDSA 2003,2003,31.49939346313477,3,3,Hijos (mujeres),2,Bolivia,Porcentaje de mujeres sin acceso a métodos anticonceptivos - DHS,Porcentaje de mujeres de 15 a 49 años sin acceso a métodos anticonceptivos.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2003,Mujeres con hijos de 6 años o más,BOL,ENDSA 2003,2003,26.4956169128418,4,4,Hijos (mujeres),2,Bolivia,Porcentaje de mujeres sin acceso a métodos anticonceptivos - DHS,Porcentaje de mujeres de 15 a 49 años sin acceso a métodos anticonceptivos.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2003,Mujeres solteras,BOL,ENDSA 2003,2003,32.36383056640625,5,5,Situación conyugal (mujeres),3,Bolivia,Porcentaje de mujeres sin acceso a métodos anticonceptivos - DHS,Porcentaje de mujeres de 15 a 49 años sin acceso a métodos anticonceptivos.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2003,Mujeres en pareja,BOL,ENDSA 2003,2003,31.20409965515137,6,6,Situación conyugal (mujeres),3,Bolivia,Porcentaje de mujeres sin acceso a métodos anticonceptivos - DHS,Porcentaje de mujeres de 15 a 49 años sin acceso a métodos anticonceptivos.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2003,Mujeres de baja calificación,BOL,ENDSA 2003,2003,35.82535934448242,7,7,Calificación (mujeres),4,Bolivia,Porcentaje de mujeres sin acceso a métodos anticonceptivos - DHS,Porcentaje de mujeres de 15 a 49 años sin acceso a métodos anticonceptivos.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2003,Mujeres de media calificación,BOL,ENDSA 2003,2003,19.52713966369629,8,8,Calificación (mujeres),4,Bolivia,Porcentaje de mujeres sin acceso a métodos anticonceptivos - DHS,Porcentaje de mujeres de 15 a 49 años sin acceso a métodos anticonceptivos.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2003,Mujeres de alta calificación,BOL,ENDSA 2003,2003,15.0391845703125,9,9,Calificación (mujeres),4,Bolivia,Porcentaje de mujeres sin acceso a métodos anticonceptivos - DHS,Porcentaje de mujeres de 15 a 49 años sin acceso a métodos anticonceptivos.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2008,Mujeres,BOL,ENDSA 2008,2008,25.92074203491211,1,1,Mujeres,1,Bolivia,Porcentaje de mujeres sin acceso a métodos anticonceptivos - DHS,Porcentaje de mujeres de 15 a 49 años sin acceso a métodos anticonceptivos.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
