id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,indicador,detalle_indicador,disclaimer
ARG2019,Mujeres,ARG,MICS 2019-20,2019,17.57874870300293,1,1,Mujeres,1,Argentina,Porcentaje de mujeres sin acceso a métodos anticonceptivos - MICS,Porcentaje de mujeres de 15 a 49 años sin acceso a métodos anticonceptivos.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2019,Mujeres sin hijos,ARG,MICS 2019-20,2019,15.5263614654541,2,2,Hijos (mujeres),2,Argentina,Porcentaje de mujeres sin acceso a métodos anticonceptivos - MICS,Porcentaje de mujeres de 15 a 49 años sin acceso a métodos anticonceptivos.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2019,Mujeres con hijos de 0 a 5 años,ARG,MICS 2019-20,2019,11.47681713104248,3,3,Hijos (mujeres),2,Argentina,Porcentaje de mujeres sin acceso a métodos anticonceptivos - MICS,Porcentaje de mujeres de 15 a 49 años sin acceso a métodos anticonceptivos.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2019,Mujeres con hijos de 6 años o más,ARG,MICS 2019-20,2019,13.24783611297607,4,4,Hijos (mujeres),2,Argentina,Porcentaje de mujeres sin acceso a métodos anticonceptivos - MICS,Porcentaje de mujeres de 15 a 49 años sin acceso a métodos anticonceptivos.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2019,Mujeres solteras,ARG,MICS 2019-20,2019,20.99672889709473,5,5,Situación conyugal (mujeres),3,Argentina,Porcentaje de mujeres sin acceso a métodos anticonceptivos - MICS,Porcentaje de mujeres de 15 a 49 años sin acceso a métodos anticonceptivos.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2019,Mujeres en pareja,ARG,MICS 2019-20,2019,14.16905879974365,6,6,Situación conyugal (mujeres),3,Argentina,Porcentaje de mujeres sin acceso a métodos anticonceptivos - MICS,Porcentaje de mujeres de 15 a 49 años sin acceso a métodos anticonceptivos.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2019,Mujeres de baja calificación,ARG,MICS 2019-20,2019,20.2706356048584,7,7,Calificación (mujeres),4,Argentina,Porcentaje de mujeres sin acceso a métodos anticonceptivos - MICS,Porcentaje de mujeres de 15 a 49 años sin acceso a métodos anticonceptivos.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2019,Mujeres de media calificación,ARG,MICS 2019-20,2019,16.85270309448242,8,8,Calificación (mujeres),4,Argentina,Porcentaje de mujeres sin acceso a métodos anticonceptivos - MICS,Porcentaje de mujeres de 15 a 49 años sin acceso a métodos anticonceptivos.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2019,Mujeres de alta calificación,ARG,MICS 2019-20,2019,12.6394157409668,9,9,Calificación (mujeres),4,Argentina,Porcentaje de mujeres sin acceso a métodos anticonceptivos - MICS,Porcentaje de mujeres de 15 a 49 años sin acceso a métodos anticonceptivos.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
CRI2011,Mujeres,CRI,MICS 2011,2011,15.34794330596924,1,1,Mujeres,1,Costa Rica,Porcentaje de mujeres sin acceso a métodos anticonceptivos - MICS,Porcentaje de mujeres de 15 a 49 años sin acceso a métodos anticonceptivos.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
