id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,detalle_indicador,indicador,disclaimer
ARG2013,Ratio mujeres/hombres,ARG,MUT - EAHU 2013,2013,1.827393054962158,26,26,,Ratio mujeres/hombres,6,Argentina,"Porcentaje de la población de 25 a 54 años que realiza actividades de apoyo a otros hogares, incluyendo trabajo doméstico y de cuidados.",Participación en actividades de apoyo a otros hogares,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (baja calificación),ARG,MUT - EAHU 2013,2013,2.157775163650513,27,27,,Ratio calificación,15,Argentina,"Porcentaje de la población de 25 a 54 años que realiza actividades de apoyo a otros hogares, incluyendo trabajo doméstico y de cuidados.",Participación en actividades de apoyo a otros hogares,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (media calificación),ARG,MUT - EAHU 2013,2013,1.604380130767822,28,28,,Ratio calificación,15,Argentina,"Porcentaje de la población de 25 a 54 años que realiza actividades de apoyo a otros hogares, incluyendo trabajo doméstico y de cuidados.",Participación en actividades de apoyo a otros hogares,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (alta calificación),ARG,MUT - EAHU 2013,2013,1.572682857513428,29,29,,Ratio calificación,15,Argentina,"Porcentaje de la población de 25 a 54 años que realiza actividades de apoyo a otros hogares, incluyendo trabajo doméstico y de cuidados.",Participación en actividades de apoyo a otros hogares,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (solteros),ARG,MUT - EAHU 2013,2013,1.463461399078369,30,30,,Ratio situación conyugal,14,Argentina,"Porcentaje de la población de 25 a 54 años que realiza actividades de apoyo a otros hogares, incluyendo trabajo doméstico y de cuidados.",Participación en actividades de apoyo a otros hogares,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (en pareja),ARG,MUT - EAHU 2013,2013,2.043101072311401,31,31,,Ratio situación conyugal,14,Argentina,"Porcentaje de la población de 25 a 54 años que realiza actividades de apoyo a otros hogares, incluyendo trabajo doméstico y de cuidados.",Participación en actividades de apoyo a otros hogares,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (sin hijos),ARG,MUT - EAHU 2013,2013,.9335669279098511,32,32,,Ratio hijos,13,Argentina,"Porcentaje de la población de 25 a 54 años que realiza actividades de apoyo a otros hogares, incluyendo trabajo doméstico y de cuidados.",Participación en actividades de apoyo a otros hogares,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (con hijos de 0 a 5 años),ARG,MUT - EAHU 2013,2013,1.558334589004517,33,33,,Ratio hijos,13,Argentina,"Porcentaje de la población de 25 a 54 años que realiza actividades de apoyo a otros hogares, incluyendo trabajo doméstico y de cuidados.",Participación en actividades de apoyo a otros hogares,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (con hijos de 6 años o más),ARG,MUT - EAHU 2013,2013,2.731723070144653,34,34,,Ratio hijos,13,Argentina,"Porcentaje de la población de 25 a 54 años que realiza actividades de apoyo a otros hogares, incluyendo trabajo doméstico y de cuidados.",Participación en actividades de apoyo a otros hogares,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2021,Ratio mujeres/hombres,ARG,ENUT 2021,2021,1.395321726799011,26,26,,Ratio mujeres/hombres,6,Argentina,"Porcentaje de la población de 25 a 54 años que realiza actividades de apoyo a otros hogares, incluyendo trabajo doméstico y de cuidados.",Participación en actividades de apoyo a otros hogares,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2021,Ratio mujeres/hombres (baja calificación),ARG,ENUT 2021,2021,2.499291181564331,27,27,,Ratio calificación,15,Argentina,"Porcentaje de la población de 25 a 54 años que realiza actividades de apoyo a otros hogares, incluyendo trabajo doméstico y de cuidados.",Participación en actividades de apoyo a otros hogares,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2021,Ratio mujeres/hombres (media calificación),ARG,ENUT 2021,2021,1.400177955627441,28,28,,Ratio calificación,15,Argentina,"Porcentaje de la población de 25 a 54 años que realiza actividades de apoyo a otros hogares, incluyendo trabajo doméstico y de cuidados.",Participación en actividades de apoyo a otros hogares,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2021,Ratio mujeres/hombres (alta calificación),ARG,ENUT 2021,2021,.6389938592910767,29,29,,Ratio calificación,15,Argentina,"Porcentaje de la población de 25 a 54 años que realiza actividades de apoyo a otros hogares, incluyendo trabajo doméstico y de cuidados.",Participación en actividades de apoyo a otros hogares,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2021,Ratio mujeres/hombres (solteros),ARG,ENUT 2021,2021,1.073003768920898,30,30,,Ratio situación conyugal,14,Argentina,"Porcentaje de la población de 25 a 54 años que realiza actividades de apoyo a otros hogares, incluyendo trabajo doméstico y de cuidados.",Participación en actividades de apoyo a otros hogares,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2021,Ratio mujeres/hombres (en pareja),ARG,ENUT 2021,2021,1.698662042617798,31,31,,Ratio situación conyugal,14,Argentina,"Porcentaje de la población de 25 a 54 años que realiza actividades de apoyo a otros hogares, incluyendo trabajo doméstico y de cuidados.",Participación en actividades de apoyo a otros hogares,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2021,Ratio mujeres/hombres (sin hijos),ARG,ENUT 2021,2021,1.382261037826538,32,32,,Ratio hijos,13,Argentina,"Porcentaje de la población de 25 a 54 años que realiza actividades de apoyo a otros hogares, incluyendo trabajo doméstico y de cuidados.",Participación en actividades de apoyo a otros hogares,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2021,Ratio mujeres/hombres (con hijos de 0 a 5 años),ARG,ENUT 2021,2021,3.598265886306763,33,33,,Ratio hijos,13,Argentina,"Porcentaje de la población de 25 a 54 años que realiza actividades de apoyo a otros hogares, incluyendo trabajo doméstico y de cuidados.",Participación en actividades de apoyo a otros hogares,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2021,Ratio mujeres/hombres (con hijos de 6 años o más),ARG,ENUT 2021,2021,1.410925269126892,34,34,,Ratio hijos,13,Argentina,"Porcentaje de la población de 25 a 54 años que realiza actividades de apoyo a otros hogares, incluyendo trabajo doméstico y de cuidados.",Participación en actividades de apoyo a otros hogares,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres,CHL,ENUT 2015,2015,1.528794050216675,26,26,,Ratio mujeres/hombres,6,Chile,"Porcentaje de la población de 25 a 54 años que realiza actividades de apoyo a otros hogares, incluyendo trabajo doméstico y de cuidados.",Participación en actividades de apoyo a otros hogares,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
