id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,indicador,detalle_indicador,disclaimer
BOL2003,Mujeres,BOL,ENDSA 2003,2003,.5012183785438538,1,1,Mujeres,1,Bolivia,Brecha de fecundidad deseada entre cónyuges - DHS,Diferencia en el número de hijos ideal entre el hombre y la mujer de una pareja de la población de mujeres entre 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
BOL2003,Mujeres en pareja,BOL,ENDSA 2003,2003,.5012183785438538,3,3,Situación conyugal (mujeres),3,Bolivia,Brecha de fecundidad deseada entre cónyuges - DHS,Diferencia en el número de hijos ideal entre el hombre y la mujer de una pareja de la población de mujeres entre 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
BOL2003,Mujeres de baja calificación,BOL,ENDSA 2003,2003,.5798545479774475,4,4,Calificación (mujeres),4,Bolivia,Brecha de fecundidad deseada entre cónyuges - DHS,Diferencia en el número de hijos ideal entre el hombre y la mujer de una pareja de la población de mujeres entre 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
BOL2003,Mujeres de media calificación,BOL,ENDSA 2003,2003,.3810676634311676,5,5,Calificación (mujeres),4,Bolivia,Brecha de fecundidad deseada entre cónyuges - DHS,Diferencia en el número de hijos ideal entre el hombre y la mujer de una pareja de la población de mujeres entre 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
BOL2003,Mujeres de alta calificación,BOL,ENDSA 2003,2003,-.0294194761663675,6,6,Calificación (mujeres),4,Bolivia,Brecha de fecundidad deseada entre cónyuges - DHS,Diferencia en el número de hijos ideal entre el hombre y la mujer de una pareja de la población de mujeres entre 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
BOL2008,Mujeres,BOL,ENDSA 2008,2008,.367676317691803,1,1,Mujeres,1,Bolivia,Brecha de fecundidad deseada entre cónyuges - DHS,Diferencia en el número de hijos ideal entre el hombre y la mujer de una pareja de la población de mujeres entre 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
BOL2008,Mujeres en pareja,BOL,ENDSA 2008,2008,.367676317691803,3,3,Situación conyugal (mujeres),3,Bolivia,Brecha de fecundidad deseada entre cónyuges - DHS,Diferencia en el número de hijos ideal entre el hombre y la mujer de una pareja de la población de mujeres entre 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
BOL2008,Mujeres de baja calificación,BOL,ENDSA 2008,2008,.420570433139801,4,4,Calificación (mujeres),4,Bolivia,Brecha de fecundidad deseada entre cónyuges - DHS,Diferencia en el número de hijos ideal entre el hombre y la mujer de una pareja de la población de mujeres entre 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
BOL2008,Mujeres de media calificación,BOL,ENDSA 2008,2008,.2556180655956268,5,5,Calificación (mujeres),4,Bolivia,Brecha de fecundidad deseada entre cónyuges - DHS,Diferencia en el número de hijos ideal entre el hombre y la mujer de una pareja de la población de mujeres entre 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
BOL2008,Mujeres de alta calificación,BOL,ENDSA 2008,2008,.2082403153181076,6,6,Calificación (mujeres),4,Bolivia,Brecha de fecundidad deseada entre cónyuges - DHS,Diferencia en el número de hijos ideal entre el hombre y la mujer de una pareja de la población de mujeres entre 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
