id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,detalle_indicador,indicador,disclaimer
ARG2013,Ratio mujeres/hombres,ARG,MUT - EAHU 2013,2013,1.729891777038574,26,26,,Ratio mujeres/hombres,6,Argentina,"Porcentaje de la población de 25 a 54 años que realiza actividades de dependientes del hogar, en hogares con niños de 0 a 14 años.",Participación en actividades de cuidado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (baja calificación),ARG,MUT - EAHU 2013,2013,1.975780248641968,27,27,,Ratio calificación,15,Argentina,"Porcentaje de la población de 25 a 54 años que realiza actividades de dependientes del hogar, en hogares con niños de 0 a 14 años.",Participación en actividades de cuidado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (media calificación),ARG,MUT - EAHU 2013,2013,1.570733189582825,28,28,,Ratio calificación,15,Argentina,"Porcentaje de la población de 25 a 54 años que realiza actividades de dependientes del hogar, en hogares con niños de 0 a 14 años.",Participación en actividades de cuidado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (alta calificación),ARG,MUT - EAHU 2013,2013,1.416380286216736,29,29,,Ratio calificación,15,Argentina,"Porcentaje de la población de 25 a 54 años que realiza actividades de dependientes del hogar, en hogares con niños de 0 a 14 años.",Participación en actividades de cuidado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (solteros),ARG,MUT - EAHU 2013,2013,3.178891897201538,30,30,,Ratio situación conyugal,14,Argentina,"Porcentaje de la población de 25 a 54 años que realiza actividades de dependientes del hogar, en hogares con niños de 0 a 14 años.",Participación en actividades de cuidado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (en pareja),ARG,MUT - EAHU 2013,2013,1.657149791717529,31,31,,Ratio situación conyugal,14,Argentina,"Porcentaje de la población de 25 a 54 años que realiza actividades de dependientes del hogar, en hogares con niños de 0 a 14 años.",Participación en actividades de cuidado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (sin hijos),ARG,MUT - EAHU 2013,2013,,32,32,,Ratio hijos,13,Argentina,"Porcentaje de la población de 25 a 54 años que realiza actividades de dependientes del hogar, en hogares con niños de 0 a 14 años.",Participación en actividades de cuidado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (con hijos de 0 a 5 años),ARG,MUT - EAHU 2013,2013,1.505667924880981,33,33,,Ratio hijos,13,Argentina,"Porcentaje de la población de 25 a 54 años que realiza actividades de dependientes del hogar, en hogares con niños de 0 a 14 años.",Participación en actividades de cuidado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (con hijos de 6 años o más),ARG,MUT - EAHU 2013,2013,2.018482208251953,34,34,,Ratio hijos,13,Argentina,"Porcentaje de la población de 25 a 54 años que realiza actividades de dependientes del hogar, en hogares con niños de 0 a 14 años.",Participación en actividades de cuidado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres,CHL,ENUT 2015,2015,1.091184377670288,26,26,,Ratio mujeres/hombres,6,Chile,"Porcentaje de la población de 25 a 54 años que realiza actividades de dependientes del hogar, en hogares con niños de 0 a 14 años.",Participación en actividades de cuidado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres (baja calificación),CHL,ENUT 2015,2015,1.143201470375061,27,27,,Ratio calificación,15,Chile,"Porcentaje de la población de 25 a 54 años que realiza actividades de dependientes del hogar, en hogares con niños de 0 a 14 años.",Participación en actividades de cuidado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres (media calificación),CHL,ENUT 2015,2015,1.084569096565247,28,28,,Ratio calificación,15,Chile,"Porcentaje de la población de 25 a 54 años que realiza actividades de dependientes del hogar, en hogares con niños de 0 a 14 años.",Participación en actividades de cuidado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres (alta calificación),CHL,ENUT 2015,2015,1.065562009811401,29,29,,Ratio calificación,15,Chile,"Porcentaje de la población de 25 a 54 años que realiza actividades de dependientes del hogar, en hogares con niños de 0 a 14 años.",Participación en actividades de cuidado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres (solteros),CHL,ENUT 2015,2015,1.242538332939148,30,30,,Ratio situación conyugal,14,Chile,"Porcentaje de la población de 25 a 54 años que realiza actividades de dependientes del hogar, en hogares con niños de 0 a 14 años.",Participación en actividades de cuidado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
