id_paisano,desagregacion,pais_cod,encuesta,ano,valor,l,m,n,o,p,q,r,s,t,u,v,w,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2000,Total,ARG,,2000,14.5299711227417,,,,,,,,,,,,,1,1,Total,1,Argentina,Argentina,Diferencia de horas trabajadas entre el hombre y la mujer de una pareja de la población de 25 a 54 años.,Diferencia de horas trabajadas entre cónyuges,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Sin hijos,ARG,,2000,10.2480411529541,,,,,,,,,,,,,2,2,Hijos,2,Argentina,Argentina,Diferencia de horas trabajadas entre el hombre y la mujer de una pareja de la población de 25 a 54 años.,Diferencia de horas trabajadas entre cónyuges,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Con hijos de 0 a 5 años,ARG,,2000,18.71310615539551,,,,,,,,,,,,,3,3,Hijos,2,Argentina,Argentina,Diferencia de horas trabajadas entre el hombre y la mujer de una pareja de la población de 25 a 54 años.,Diferencia de horas trabajadas entre cónyuges,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Con hijos de 6 años o más,ARG,,2000,13.17023944854736,,,,,,,,,,,,,4,4,Hijos,2,Argentina,Argentina,Diferencia de horas trabajadas entre el hombre y la mujer de una pareja de la población de 25 a 54 años.,Diferencia de horas trabajadas entre cónyuges,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres de baja calificación,ARG,,2000,13.11046886444092,,,,,,,,,,,,,5,5,Calificación (mujeres),3,Argentina,Argentina,Diferencia de horas trabajadas entre el hombre y la mujer de una pareja de la población de 25 a 54 años.,Diferencia de horas trabajadas entre cónyuges,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres de media calificación,ARG,,2000,14.140700340271,,,,,,,,,,,,,6,6,Calificación (mujeres),3,Argentina,Argentina,Diferencia de horas trabajadas entre el hombre y la mujer de una pareja de la población de 25 a 54 años.,Diferencia de horas trabajadas entre cónyuges,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres de alta calificación,ARG,,2000,16.43536567687988,,,,,,,,,,,,,7,7,Calificación (mujeres),3,Argentina,Argentina,Diferencia de horas trabajadas entre el hombre y la mujer de una pareja de la población de 25 a 54 años.,Diferencia de horas trabajadas entre cónyuges,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Total,ARG,,2001,13.81576442718506,,,,,,,,,,,,,1,1,Total,1,Argentina,Argentina,Diferencia de horas trabajadas entre el hombre y la mujer de una pareja de la población de 25 a 54 años.,Diferencia de horas trabajadas entre cónyuges,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Sin hijos,ARG,,2001,11.10266780853271,,,,,,,,,,,,,2,2,Hijos,2,Argentina,Argentina,Diferencia de horas trabajadas entre el hombre y la mujer de una pareja de la población de 25 a 54 años.,Diferencia de horas trabajadas entre cónyuges,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Con hijos de 0 a 5 años,ARG,,2001,15.3503360748291,,,,,,,,,,,,,3,3,Hijos,2,Argentina,Argentina,Diferencia de horas trabajadas entre el hombre y la mujer de una pareja de la población de 25 a 54 años.,Diferencia de horas trabajadas entre cónyuges,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Con hijos de 6 años o más,ARG,,2001,13.65474796295166,,,,,,,,,,,,,4,4,Hijos,2,Argentina,Argentina,Diferencia de horas trabajadas entre el hombre y la mujer de una pareja de la población de 25 a 54 años.,Diferencia de horas trabajadas entre cónyuges,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Mujeres de baja calificación,ARG,,2001,11.75601387023926,,,,,,,,,,,,,5,5,Calificación (mujeres),3,Argentina,Argentina,Diferencia de horas trabajadas entre el hombre y la mujer de una pareja de la población de 25 a 54 años.,Diferencia de horas trabajadas entre cónyuges,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Mujeres de media calificación,ARG,,2001,12.87585639953613,,,,,,,,,,,,,6,6,Calificación (mujeres),3,Argentina,Argentina,Diferencia de horas trabajadas entre el hombre y la mujer de una pareja de la población de 25 a 54 años.,Diferencia de horas trabajadas entre cónyuges,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Mujeres de alta calificación,ARG,,2001,16.64363670349121,,,,,,,,,,,,,7,7,Calificación (mujeres),3,Argentina,Argentina,Diferencia de horas trabajadas entre el hombre y la mujer de una pareja de la población de 25 a 54 años.,Diferencia de horas trabajadas entre cónyuges,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2002,Total,ARG,,2002,13.45650482177734,,,,,,,,,,,,,1,1,Total,1,Argentina,Argentina,Diferencia de horas trabajadas entre el hombre y la mujer de una pareja de la población de 25 a 54 años.,Diferencia de horas trabajadas entre cónyuges,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
