id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,indicador,detalle_indicador,disclaimer
BOL2003,Mujeres,BOL,ENDSA 2003,2003,3.788144826889038,1,1,Mujeres,1,Bolivia,Tasa de fecundidad,Número de hijos nacidos. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2003,Mujeres solteras,BOL,ENDSA 2003,2003,2.101236343383789,2,2,Situación conyugal (mujeres),3,Bolivia,Tasa de fecundidad,Número de hijos nacidos. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2003,Mujeres en pareja,BOL,ENDSA 2003,2003,4.209727764129639,3,3,Situación conyugal (mujeres),3,Bolivia,Tasa de fecundidad,Número de hijos nacidos. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2003,Mujeres de baja calificación,BOL,ENDSA 2003,2003,4.534496307373047,4,4,Calificación (mujeres),4,Bolivia,Tasa de fecundidad,Número de hijos nacidos. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2003,Mujeres de media calificación,BOL,ENDSA 2003,2003,2.140602350234985,5,5,Calificación (mujeres),4,Bolivia,Tasa de fecundidad,Número de hijos nacidos. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2003,Mujeres de alta calificación,BOL,ENDSA 2003,2003,1.573843121528626,6,6,Calificación (mujeres),4,Bolivia,Tasa de fecundidad,Número de hijos nacidos. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2008,Mujeres,BOL,ENDSA 2008,2008,3.498376607894898,1,1,Mujeres,1,Bolivia,Tasa de fecundidad,Número de hijos nacidos. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2008,Mujeres solteras,BOL,ENDSA 2008,2008,1.994637489318848,2,2,Situación conyugal (mujeres),3,Bolivia,Tasa de fecundidad,Número de hijos nacidos. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2008,Mujeres en pareja,BOL,ENDSA 2008,2008,3.901128768920898,3,3,Situación conyugal (mujeres),3,Bolivia,Tasa de fecundidad,Número de hijos nacidos. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2008,Mujeres de baja calificación,BOL,ENDSA 2008,2008,4.378604412078857,4,4,Calificación (mujeres),4,Bolivia,Tasa de fecundidad,Número de hijos nacidos. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2008,Mujeres de media calificación,BOL,ENDSA 2008,2008,2.073882102966309,5,5,Calificación (mujeres),4,Bolivia,Tasa de fecundidad,Número de hijos nacidos. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2008,Mujeres de alta calificación,BOL,ENDSA 2008,2008,1.471183300018311,6,6,Calificación (mujeres),4,Bolivia,Tasa de fecundidad,Número de hijos nacidos. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2000,Mujeres,COL,ENDSA 2000,2000,2.558785915374756,1,1,Mujeres,1,Colombia,Tasa de fecundidad,Número de hijos nacidos. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2000,Mujeres solteras,COL,ENDSA 2000,2000,1.823295116424561,2,2,Situación conyugal (mujeres),3,Colombia,Tasa de fecundidad,Número de hijos nacidos. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2000,Mujeres en pareja,COL,ENDSA 2000,2000,2.947956562042236,3,3,Situación conyugal (mujeres),3,Colombia,Tasa de fecundidad,Número de hijos nacidos. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2000,Mujeres de baja calificación,COL,ENDSA 2000,2000,3.086638689041138,4,4,Calificación (mujeres),4,Colombia,Tasa de fecundidad,Número de hijos nacidos. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2000,Mujeres de media calificación,COL,ENDSA 2000,2000,1.591168761253357,5,5,Calificación (mujeres),4,Colombia,Tasa de fecundidad,Número de hijos nacidos. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2000,Mujeres de alta calificación,COL,ENDSA 2000,2000,1.272798657417297,6,6,Calificación (mujeres),4,Colombia,Tasa de fecundidad,Número de hijos nacidos. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2005,Mujeres,COL,ENDSA 2005,2005,2.447129011154175,1,1,Mujeres,1,Colombia,Tasa de fecundidad,Número de hijos nacidos. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2005,Mujeres solteras,COL,ENDSA 2005,2005,1.756807088851929,2,2,Situación conyugal (mujeres),3,Colombia,Tasa de fecundidad,Número de hijos nacidos. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
