id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,indicador,detalle_indicador,disclaimer
BOL2003,Mujeres,BOL,ENDSA 2003,2003,2.682331323623657,1,1,Mujeres,1,Bolivia,Tasa de fecundidad deseada - DHS,Número ideal de niños. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2003,Mujeres solteras,BOL,ENDSA 2003,2003,2.297632694244385,2,2,Situación conyugal (mujeres),3,Bolivia,Tasa de fecundidad deseada - DHS,Número ideal de niños. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2003,Mujeres en pareja,BOL,ENDSA 2003,2003,2.779269695281982,3,3,Situación conyugal (mujeres),3,Bolivia,Tasa de fecundidad deseada - DHS,Número ideal de niños. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2003,Mujeres de baja calificación,BOL,ENDSA 2003,2003,2.723309516906738,4,4,Calificación (mujeres),4,Bolivia,Tasa de fecundidad deseada - DHS,Número ideal de niños. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2003,Mujeres de media calificación,BOL,ENDSA 2003,2003,2.538856506347656,5,5,Calificación (mujeres),4,Bolivia,Tasa de fecundidad deseada - DHS,Número ideal de niños. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2003,Mujeres de alta calificación,BOL,ENDSA 2003,2003,2.668481111526489,6,6,Calificación (mujeres),4,Bolivia,Tasa de fecundidad deseada - DHS,Número ideal de niños. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2008,Mujeres,BOL,ENDSA 2008,2008,2.556466579437256,1,1,Mujeres,1,Bolivia,Tasa de fecundidad deseada - DHS,Número ideal de niños. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2008,Mujeres solteras,BOL,ENDSA 2008,2008,2.234817743301392,2,2,Situación conyugal (mujeres),3,Bolivia,Tasa de fecundidad deseada - DHS,Número ideal de niños. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2008,Mujeres en pareja,BOL,ENDSA 2008,2008,2.643058776855469,3,3,Situación conyugal (mujeres),3,Bolivia,Tasa de fecundidad deseada - DHS,Número ideal de niños. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2008,Mujeres de baja calificación,BOL,ENDSA 2008,2008,2.606651067733765,4,4,Calificación (mujeres),4,Bolivia,Tasa de fecundidad deseada - DHS,Número ideal de niños. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2008,Mujeres de media calificación,BOL,ENDSA 2008,2008,2.4283766746521,5,5,Calificación (mujeres),4,Bolivia,Tasa de fecundidad deseada - DHS,Número ideal de niños. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2008,Mujeres de alta calificación,BOL,ENDSA 2008,2008,2.5340895652771,6,6,Calificación (mujeres),4,Bolivia,Tasa de fecundidad deseada - DHS,Número ideal de niños. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2000,Mujeres,COL,ENDSA 2000,2000,2.465551137924194,1,1,Mujeres,1,Colombia,Tasa de fecundidad deseada - DHS,Número ideal de niños. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2000,Mujeres solteras,COL,ENDSA 2000,2000,2.15821647644043,2,2,Situación conyugal (mujeres),3,Colombia,Tasa de fecundidad deseada - DHS,Número ideal de niños. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2000,Mujeres en pareja,COL,ENDSA 2000,2000,2.627803564071655,3,3,Situación conyugal (mujeres),3,Colombia,Tasa de fecundidad deseada - DHS,Número ideal de niños. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2000,Mujeres de baja calificación,COL,ENDSA 2000,2000,2.573361873626709,4,4,Calificación (mujeres),4,Colombia,Tasa de fecundidad deseada - DHS,Número ideal de niños. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2000,Mujeres de media calificación,COL,ENDSA 2000,2000,2.249427795410156,5,5,Calificación (mujeres),4,Colombia,Tasa de fecundidad deseada - DHS,Número ideal de niños. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2000,Mujeres de alta calificación,COL,ENDSA 2000,2000,2.266678810119629,6,6,Calificación (mujeres),4,Colombia,Tasa de fecundidad deseada - DHS,Número ideal de niños. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2005,Mujeres,COL,ENDSA 2005,2005,2.348763942718506,1,1,Mujeres,1,Colombia,Tasa de fecundidad deseada - DHS,Número ideal de niños. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2005,Mujeres solteras,COL,ENDSA 2005,2005,2.068001985549927,2,2,Situación conyugal (mujeres),3,Colombia,Tasa de fecundidad deseada - DHS,Número ideal de niños. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2005,Mujeres en pareja,COL,ENDSA 2005,2005,2.505714178085327,3,3,Situación conyugal (mujeres),3,Colombia,Tasa de fecundidad deseada - DHS,Número ideal de niños. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2005,Mujeres de baja calificación,COL,ENDSA 2005,2005,2.509087800979614,4,4,Calificación (mujeres),4,Colombia,Tasa de fecundidad deseada - DHS,Número ideal de niños. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
