id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,detalle_indicador,indicador,disclaimer
ARG2021,Ratio mujeres/hombres (media calificación),ARG,ENUT 2021,2021,2.20793890953064,28,28,,Ratio calificación,15,Argentina,Horas semanales dedicadas al cuidado de niños del hogar de la población entre 25 a 54 años en hogares con niños de 0 a 14 años.,Horas semanales dedicadas a actividades de cuidado de niños,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2021,Ratio mujeres/hombres (alta calificación),ARG,ENUT 2021,2021,1.807646512985229,29,29,,Ratio calificación,15,Argentina,Horas semanales dedicadas al cuidado de niños del hogar de la población entre 25 a 54 años en hogares con niños de 0 a 14 años.,Horas semanales dedicadas a actividades de cuidado de niños,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2021,Ratio mujeres/hombres (baja calificación),ARG,ENUT 2021,2021,2.725983858108521,27,27,,Ratio calificación,15,Argentina,Horas semanales dedicadas al cuidado de niños del hogar de la población entre 25 a 54 años en hogares con niños de 0 a 14 años.,Horas semanales dedicadas a actividades de cuidado de niños,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2021,Ratio mujeres/hombres (con hijos de 0 a 5 años),ARG,ENUT 2021,2021,2.290504455566406,33,33,,Ratio hijos,13,Argentina,Horas semanales dedicadas al cuidado de niños del hogar de la población entre 25 a 54 años en hogares con niños de 0 a 14 años.,Horas semanales dedicadas a actividades de cuidado de niños,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2021,Ratio mujeres/hombres (sin hijos),ARG,ENUT 2021,2021,,32,32,,Ratio hijos,13,Argentina,Horas semanales dedicadas al cuidado de niños del hogar de la población entre 25 a 54 años en hogares con niños de 0 a 14 años.,Horas semanales dedicadas a actividades de cuidado de niños,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2021,Ratio mujeres/hombres (con hijos de 6 años o más),ARG,ENUT 2021,2021,2.112112522125244,34,34,,Ratio hijos,13,Argentina,Horas semanales dedicadas al cuidado de niños del hogar de la población entre 25 a 54 años en hogares con niños de 0 a 14 años.,Horas semanales dedicadas a actividades de cuidado de niños,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2021,Ratio mujeres/hombres,ARG,ENUT 2021,2021,2.308584690093994,26,26,,Ratio mujeres/hombres,6,Argentina,Horas semanales dedicadas al cuidado de niños del hogar de la población entre 25 a 54 años en hogares con niños de 0 a 14 años.,Horas semanales dedicadas a actividades de cuidado de niños,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2021,Ratio mujeres/hombres (solteros),ARG,ENUT 2021,2021,3.127950668334961,30,30,,Ratio situación conyugal,14,Argentina,Horas semanales dedicadas al cuidado de niños del hogar de la población entre 25 a 54 años en hogares con niños de 0 a 14 años.,Horas semanales dedicadas a actividades de cuidado de niños,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2021,Ratio mujeres/hombres (en pareja),ARG,ENUT 2021,2021,2.318934917449951,31,31,,Ratio situación conyugal,14,Argentina,Horas semanales dedicadas al cuidado de niños del hogar de la población entre 25 a 54 años en hogares con niños de 0 a 14 años.,Horas semanales dedicadas a actividades de cuidado de niños,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres (baja calificación),CHL,ENUT 2015,2015,2.044504880905151,27,27,,Ratio calificación,15,Chile,Horas semanales dedicadas al cuidado de niños del hogar de la población entre 25 a 54 años en hogares con niños de 0 a 14 años.,Horas semanales dedicadas a actividades de cuidado de niños,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres (alta calificación),CHL,ENUT 2015,2015,1.937036871910095,29,29,,Ratio calificación,15,Chile,Horas semanales dedicadas al cuidado de niños del hogar de la población entre 25 a 54 años en hogares con niños de 0 a 14 años.,Horas semanales dedicadas a actividades de cuidado de niños,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres (media calificación),CHL,ENUT 2015,2015,1.867922425270081,28,28,,Ratio calificación,15,Chile,Horas semanales dedicadas al cuidado de niños del hogar de la población entre 25 a 54 años en hogares con niños de 0 a 14 años.,Horas semanales dedicadas a actividades de cuidado de niños,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres (con hijos de 6 años o más),CHL,ENUT 2015,2015,1.744590163230896,34,34,,Ratio hijos,13,Chile,Horas semanales dedicadas al cuidado de niños del hogar de la población entre 25 a 54 años en hogares con niños de 0 a 14 años.,Horas semanales dedicadas a actividades de cuidado de niños,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres (sin hijos),CHL,ENUT 2015,2015,,32,32,,Ratio hijos,13,Chile,Horas semanales dedicadas al cuidado de niños del hogar de la población entre 25 a 54 años en hogares con niños de 0 a 14 años.,Horas semanales dedicadas a actividades de cuidado de niños,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres (con hijos de 0 a 5 años),CHL,ENUT 2015,2015,2.09465217590332,33,33,,Ratio hijos,13,Chile,Horas semanales dedicadas al cuidado de niños del hogar de la población entre 25 a 54 años en hogares con niños de 0 a 14 años.,Horas semanales dedicadas a actividades de cuidado de niños,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres,CHL,ENUT 2015,2015,1.907126307487488,26,26,,Ratio mujeres/hombres,6,Chile,Horas semanales dedicadas al cuidado de niños del hogar de la población entre 25 a 54 años en hogares con niños de 0 a 14 años.,Horas semanales dedicadas a actividades de cuidado de niños,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres (en pareja),CHL,ENUT 2015,2015,1.926373839378357,31,31,,Ratio situación conyugal,14,Chile,Horas semanales dedicadas al cuidado de niños del hogar de la población entre 25 a 54 años en hogares con niños de 0 a 14 años.,Horas semanales dedicadas a actividades de cuidado de niños,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres (solteros),CHL,ENUT 2015,2015,2.733479976654053,30,30,,Ratio situación conyugal,14,Chile,Horas semanales dedicadas al cuidado de niños del hogar de la población entre 25 a 54 años en hogares con niños de 0 a 14 años.,Horas semanales dedicadas a actividades de cuidado de niños,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
