id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,detalle_indicador,indicador,disclaimer
ARG2013,Ratio mujeres/hombres,ARG,MUT - EAHU 2013,2013,3.135982990264893,26,26,,Ratio mujeres/hombres,6,Argentina,Horas semanales dedicadas a tareas domésticas en el hogar de la población entre 25 a 54 años.,Horas semanales en tareas domésticas,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (baja calificación),ARG,MUT - EAHU 2013,2013,3.661931991577148,27,27,,Ratio calificación,15,Argentina,Horas semanales dedicadas a tareas domésticas en el hogar de la población entre 25 a 54 años.,Horas semanales en tareas domésticas,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (media calificación),ARG,MUT - EAHU 2013,2013,2.99783992767334,28,28,,Ratio calificación,15,Argentina,Horas semanales dedicadas a tareas domésticas en el hogar de la población entre 25 a 54 años.,Horas semanales en tareas domésticas,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (alta calificación),ARG,MUT - EAHU 2013,2013,2.439613819122315,29,29,,Ratio calificación,15,Argentina,Horas semanales dedicadas a tareas domésticas en el hogar de la población entre 25 a 54 años.,Horas semanales en tareas domésticas,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (solteros),ARG,MUT - EAHU 2013,2013,2.336075305938721,30,30,,Ratio situación conyugal,14,Argentina,Horas semanales dedicadas a tareas domésticas en el hogar de la población entre 25 a 54 años.,Horas semanales en tareas domésticas,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (en pareja),ARG,MUT - EAHU 2013,2013,3.498431921005249,31,31,,Ratio situación conyugal,14,Argentina,Horas semanales dedicadas a tareas domésticas en el hogar de la población entre 25 a 54 años.,Horas semanales en tareas domésticas,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (sin hijos),ARG,MUT - EAHU 2013,2013,1.663726568222046,32,32,,Ratio hijos,13,Argentina,Horas semanales dedicadas a tareas domésticas en el hogar de la población entre 25 a 54 años.,Horas semanales en tareas domésticas,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (con hijos de 0 a 5 años),ARG,MUT - EAHU 2013,2013,3.426223516464233,33,33,,Ratio hijos,13,Argentina,Horas semanales dedicadas a tareas domésticas en el hogar de la población entre 25 a 54 años.,Horas semanales en tareas domésticas,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (con hijos de 6 años o más),ARG,MUT - EAHU 2013,2013,3.650121212005615,34,34,,Ratio hijos,13,Argentina,Horas semanales dedicadas a tareas domésticas en el hogar de la población entre 25 a 54 años.,Horas semanales en tareas domésticas,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres,CHL,ENUT 2015,2015,2.353143692016602,26,26,,Ratio mujeres/hombres,6,Chile,Horas semanales dedicadas a tareas domésticas en el hogar de la población entre 25 a 54 años.,Horas semanales en tareas domésticas,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
