id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2007,Brecha mujeres - hombres,ARG,,2007,3.775014162063599,4,4,.67980206,Brecha mujeres - hombres,5,Argentina,Argentina,Porcentaje de jóvenes de 15 a 19 años que están casados o unidos.,Matrimonio precoz,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2012,Brecha mujeres - hombres,ARG,,2012,4.296885490417481,4,4,.8173188,Brecha mujeres - hombres,5,Argentina,Argentina,Porcentaje de jóvenes de 15 a 19 años que están casados o unidos.,Matrimonio precoz,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2004,Brecha mujeres - hombres,ARG,,2004,3.42578387260437,4,4,.72741342,Brecha mujeres - hombres,5,Argentina,Argentina,Porcentaje de jóvenes de 15 a 19 años que están casados o unidos.,Matrimonio precoz,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2002,Brecha mujeres - hombres,ARG,,2002,5.05434513092041,4,4,.89074689,Brecha mujeres - hombres,5,Argentina,Argentina,Porcentaje de jóvenes de 15 a 19 años que están casados o unidos.,Matrimonio precoz,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2008,Brecha mujeres - hombres,ARG,,2008,4.832643508911133,4,4,.73773468,Brecha mujeres - hombres,5,Argentina,Argentina,Porcentaje de jóvenes de 15 a 19 años que están casados o unidos.,Matrimonio precoz,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2003,Brecha mujeres - hombres,ARG,,2003,4.207407474517822,4,4,.95131695,Brecha mujeres - hombres,5,Argentina,Argentina,Porcentaje de jóvenes de 15 a 19 años que están casados o unidos.,Matrimonio precoz,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2019,Brecha mujeres - hombres,ARG,,2019,1.504666328430176,4,4,.73052239,Brecha mujeres - hombres,5,Argentina,Argentina,Porcentaje de jóvenes de 15 a 19 años que están casados o unidos.,Matrimonio precoz,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2020,Brecha mujeres - hombres,ARG,,2020,2.099028587341309,4,4,.73694235,Brecha mujeres - hombres,5,Argentina,Argentina,Porcentaje de jóvenes de 15 a 19 años que están casados o unidos.,Matrimonio precoz,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2011,Brecha mujeres - hombres,ARG,,2011,4.953624725341797,4,4,.78284484,Brecha mujeres - hombres,5,Argentina,Argentina,Porcentaje de jóvenes de 15 a 19 años que están casados o unidos.,Matrimonio precoz,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2021,Brecha mujeres - hombres,ARG,,2021,.8124089241027832,4,4,.74808568,Brecha mujeres - hombres,5,Argentina,Argentina,Porcentaje de jóvenes de 15 a 19 años que están casados o unidos.,Matrimonio precoz,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
