id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,detalle_indicador,indicador,disclaimer
ARG2000,Total,ARG,Latinobarómetro,2000,,1,1,,Total,1,Argentina,Porcentaje de la población de 25 a 54 años que indicó que no le gustaria tener como vecinos a personas homosexuales.,Población adulta que no le gustaría tener como vecinos a personas homosexuales,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres,ARG,Latinobarómetro,2000,,2,2,,Género,4,Argentina,Porcentaje de la población de 25 a 54 años que indicó que no le gustaria tener como vecinos a personas homosexuales.,Población adulta que no le gustaría tener como vecinos a personas homosexuales,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres,ARG,Latinobarómetro,2000,,3,3,,Género,4,Argentina,Porcentaje de la población de 25 a 54 años que indicó que no le gustaria tener como vecinos a personas homosexuales.,Población adulta que no le gustaría tener como vecinos a personas homosexuales,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2000,Brecha mujeres - hombres,ARG,Latinobarómetro,2000,,4,4,0,Brecha mujeres - hombres,5,Argentina,Porcentaje de la población de 25 a 54 años que indicó que no le gustaria tener como vecinos a personas homosexuales.,Población adulta que no le gustaría tener como vecinos a personas homosexuales,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2000,Mujer,ARG,Latinobarómetro,2000,,22,22,,Mujer,2,Argentina,Porcentaje de la población de 25 a 54 años que indicó que no le gustaria tener como vecinos a personas homosexuales.,Población adulta que no le gustaría tener como vecinos a personas homosexuales,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2000,Hombre,ARG,Latinobarómetro,2000,,23,23,,Hombre,3,Argentina,Porcentaje de la población de 25 a 54 años que indicó que no le gustaria tener como vecinos a personas homosexuales.,Población adulta que no le gustaría tener como vecinos a personas homosexuales,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2000,Ratio mujeres/hombres,ARG,Latinobarómetro,2000,,26,26,,Ratio mujeres/hombres,6,Argentina,Porcentaje de la población de 25 a 54 años que indicó que no le gustaria tener como vecinos a personas homosexuales.,Población adulta que no le gustaría tener como vecinos a personas homosexuales,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2004,Total,ARG,Latinobarómetro,2004,,1,1,,Total,1,Argentina,Porcentaje de la población de 25 a 54 años que indicó que no le gustaria tener como vecinos a personas homosexuales.,Población adulta que no le gustaría tener como vecinos a personas homosexuales,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2004,Mujeres,ARG,Latinobarómetro,2004,,2,2,,Género,4,Argentina,Porcentaje de la población de 25 a 54 años que indicó que no le gustaria tener como vecinos a personas homosexuales.,Población adulta que no le gustaría tener como vecinos a personas homosexuales,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
ARG2004,Hombres,ARG,Latinobarómetro,2004,,3,3,,Género,4,Argentina,Porcentaje de la población de 25 a 54 años que indicó que no le gustaria tener como vecinos a personas homosexuales.,Población adulta que no le gustaría tener como vecinos a personas homosexuales,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>documentos metodológicos</a>). Fuente: GenLAC (CEDLAS).
