id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,indicador,detalle_indicador,disclaimer
BOL2003,Mujeres,BOL,ENDSA 2003,2003,3.296417951583862,1,1,Mujeres,1,Bolivia,Numero de hijos por mujer - DHS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2003,Mujeres solteras,BOL,ENDSA 2003,2003,1.830031991004944,2,2,Situación conyugal (mujeres),3,Bolivia,Numero de hijos por mujer - DHS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2003,Mujeres en pareja,BOL,ENDSA 2003,2003,3.662889003753662,3,3,Situación conyugal (mujeres),3,Bolivia,Numero de hijos por mujer - DHS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2003,Mujeres de baja calificación,BOL,ENDSA 2003,2003,3.882044315338135,4,4,Calificación (mujeres),4,Bolivia,Numero de hijos por mujer - DHS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2003,Mujeres de media calificación,BOL,ENDSA 2003,2003,2.024726867675781,5,5,Calificación (mujeres),4,Bolivia,Numero de hijos por mujer - DHS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2003,Mujeres de alta calificación,BOL,ENDSA 2003,2003,1.51932430267334,6,6,Calificación (mujeres),4,Bolivia,Numero de hijos por mujer - DHS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2008,Mujeres,BOL,ENDSA 2008,2008,3.101115703582764,1,1,Mujeres,1,Bolivia,Numero de hijos por mujer - DHS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2008,Mujeres solteras,BOL,ENDSA 2008,2008,1.775685548782349,2,2,Situación conyugal (mujeres),3,Bolivia,Numero de hijos por mujer - DHS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2008,Mujeres en pareja,BOL,ENDSA 2008,2008,3.456110954284668,3,3,Situación conyugal (mujeres),3,Bolivia,Numero de hijos por mujer - DHS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2008,Mujeres de baja calificación,BOL,ENDSA 2008,2008,3.811097383499146,4,4,Calificación (mujeres),4,Bolivia,Numero de hijos por mujer - DHS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2008,Mujeres de media calificación,BOL,ENDSA 2008,2008,1.975417256355286,5,5,Calificación (mujeres),4,Bolivia,Numero de hijos por mujer - DHS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2008,Mujeres de alta calificación,BOL,ENDSA 2008,2008,1.422579765319824,6,6,Calificación (mujeres),4,Bolivia,Numero de hijos por mujer - DHS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2000,Mujeres,COL,ENDSA 2000,2000,2.437242746353149,1,1,Mujeres,1,Colombia,Numero de hijos por mujer - DHS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2000,Mujeres solteras,COL,ENDSA 2000,2000,1.728941559791565,2,2,Situación conyugal (mujeres),3,Colombia,Numero de hijos por mujer - DHS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2000,Mujeres en pareja,COL,ENDSA 2000,2000,2.812026739120483,3,3,Situación conyugal (mujeres),3,Colombia,Numero de hijos por mujer - DHS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2000,Mujeres de baja calificación,COL,ENDSA 2000,2000,2.917968034744263,4,4,Calificación (mujeres),4,Colombia,Numero de hijos por mujer - DHS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2000,Mujeres de media calificación,COL,ENDSA 2000,2000,1.560928106307983,5,5,Calificación (mujeres),4,Colombia,Numero de hijos por mujer - DHS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2000,Mujeres de alta calificación,COL,ENDSA 2000,2000,1.249244093894958,6,6,Calificación (mujeres),4,Colombia,Numero de hijos por mujer - DHS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2005,Mujeres,COL,ENDSA 2005,2005,2.344497919082642,1,1,Mujeres,1,Colombia,Numero de hijos por mujer - DHS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2005,Mujeres solteras,COL,ENDSA 2005,2005,1.678775429725647,2,2,Situación conyugal (mujeres),3,Colombia,Numero de hijos por mujer - DHS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2005,Mujeres en pareja,COL,ENDSA 2005,2005,2.717342853546143,3,3,Situación conyugal (mujeres),3,Colombia,Numero de hijos por mujer - DHS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2005,Mujeres de baja calificación,COL,ENDSA 2005,2005,2.93094539642334,4,4,Calificación (mujeres),4,Colombia,Numero de hijos por mujer - DHS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2005,Mujeres de media calificación,COL,ENDSA 2005,2005,1.610740303993225,5,5,Calificación (mujeres),4,Colombia,Numero de hijos por mujer - DHS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2005,Mujeres de alta calificación,COL,ENDSA 2005,2005,1.118309140205383,6,6,Calificación (mujeres),4,Colombia,Numero de hijos por mujer - DHS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2010,Mujeres,COL,ENDSA 2010,2010,2.229393005371094,1,1,Mujeres,1,Colombia,Numero de hijos por mujer - DHS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2010,Mujeres solteras,COL,ENDSA 2010,2010,1.667226076126099,2,2,Situación conyugal (mujeres),3,Colombia,Numero de hijos por mujer - DHS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2010,Mujeres en pareja,COL,ENDSA 2010,2010,2.517472982406616,3,3,Situación conyugal (mujeres),3,Colombia,Numero de hijos por mujer - DHS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2010,Mujeres de baja calificación,COL,ENDSA 2010,2010,2.917282819747925,4,4,Calificación (mujeres),4,Colombia,Numero de hijos por mujer - DHS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2010,Mujeres de media calificación,COL,ENDSA 2010,2010,1.649541974067688,5,5,Calificación (mujeres),4,Colombia,Numero de hijos por mujer - DHS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2010,Mujeres de alta calificación,COL,ENDSA 2010,2010,1.164382934570313,6,6,Calificación (mujeres),4,Colombia,Numero de hijos por mujer - DHS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2015,Mujeres,COL,ENDSA 2015,2015,2.061329364776611,1,1,Mujeres,1,Colombia,Numero de hijos por mujer - DHS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2015,Mujeres solteras,COL,ENDSA 2015,2015,1.577012538909912,2,2,Situación conyugal (mujeres),3,Colombia,Numero de hijos por mujer - DHS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2015,Mujeres en pareja,COL,ENDSA 2015,2015,2.31433367729187,3,3,Situación conyugal (mujeres),3,Colombia,Numero de hijos por mujer - DHS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2015,Mujeres de baja calificación,COL,ENDSA 2015,2015,2.900979518890381,4,4,Calificación (mujeres),4,Colombia,Numero de hijos por mujer - DHS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2015,Mujeres de media calificación,COL,ENDSA 2015,2015,1.626630187034607,5,5,Calificación (mujeres),4,Colombia,Numero de hijos por mujer - DHS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2015,Mujeres de alta calificación,COL,ENDSA 2015,2015,1.15818464756012,6,6,Calificación (mujeres),4,Colombia,Numero de hijos por mujer - DHS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
GTM2014,Mujeres,GTM,ENSMI 2014-15,2014,3.090029954910278,1,1,Mujeres,1,Guatemala,Numero de hijos por mujer - DHS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
GTM2014,Mujeres solteras,GTM,ENSMI 2014-15,2014,1.77749502658844,2,2,Situación conyugal (mujeres),3,Guatemala,Numero de hijos por mujer - DHS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
GTM2014,Mujeres en pareja,GTM,ENSMI 2014-15,2014,3.539907455444336,3,3,Situación conyugal (mujeres),3,Guatemala,Numero de hijos por mujer - DHS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
