id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,indicador,detalle_indicador,disclaimer
ARG2019,Mujeres,ARG,MICS 2019-20,2019,2.008089542388916,1,1,Mujeres,1,Argentina,Numero de hijos por mujer - MICS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2019,Mujeres solteras,ARG,MICS 2019-20,2019,1.522708058357239,2,2,Situación conyugal (mujeres),3,Argentina,Numero de hijos por mujer - MICS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2019,Mujeres en pareja,ARG,MICS 2019-20,2019,2.290461301803589,3,3,Situación conyugal (mujeres),3,Argentina,Numero de hijos por mujer - MICS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2019,Mujeres de baja calificación,ARG,MICS 2019-20,2019,2.822800159454346,4,4,Calificación (mujeres),4,Argentina,Numero de hijos por mujer - MICS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2019,Mujeres de media calificación,ARG,MICS 2019-20,2019,1.705109119415283,5,5,Calificación (mujeres),4,Argentina,Numero de hijos por mujer - MICS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2019,Mujeres de alta calificación,ARG,MICS 2019-20,2019,1.302465200424194,6,6,Calificación (mujeres),4,Argentina,Numero de hijos por mujer - MICS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2000,Mujeres,BOL,MICS 2000,2000,3.253478050231934,1,1,Mujeres,1,Bolivia,Numero de hijos por mujer - MICS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2000,Mujeres solteras,BOL,MICS 2000,2000,1.858678817749023,2,2,Situación conyugal (mujeres),3,Bolivia,Numero de hijos por mujer - MICS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2000,Mujeres en pareja,BOL,MICS 2000,2000,3.595584392547607,3,3,Situación conyugal (mujeres),3,Bolivia,Numero de hijos por mujer - MICS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CRI2018,Mujeres,CRI,MICS 2018,2018,1.800323009490967,1,1,Mujeres,1,Costa Rica,Numero de hijos por mujer - MICS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CRI2018,Mujeres solteras,CRI,MICS 2018,2018,1.501045346260071,2,2,Situación conyugal (mujeres),3,Costa Rica,Numero de hijos por mujer - MICS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CRI2018,Mujeres en pareja,CRI,MICS 2018,2018,1.982117891311646,3,3,Situación conyugal (mujeres),3,Costa Rica,Numero de hijos por mujer - MICS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CRI2018,Mujeres de baja calificación,CRI,MICS 2018,2018,2.364396095275879,4,4,Calificación (mujeres),4,Costa Rica,Numero de hijos por mujer - MICS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CRI2018,Mujeres de media calificación,CRI,MICS 2018,2018,1.346991658210754,5,5,Calificación (mujeres),4,Costa Rica,Numero de hijos por mujer - MICS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CRI2018,Mujeres de alta calificación,CRI,MICS 2018,2018,1.018456935882568,6,6,Calificación (mujeres),4,Costa Rica,Numero de hijos por mujer - MICS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
SLV2014,Mujeres,SLV,MICS 2014,2014,2.414521455764771,1,1,Mujeres,1,El Salvador,Numero de hijos por mujer - MICS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
SLV2014,Mujeres solteras,SLV,MICS 2014,2014,1.846742749214172,2,2,Situación conyugal (mujeres),3,El Salvador,Numero de hijos por mujer - MICS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
SLV2014,Mujeres en pareja,SLV,MICS 2014,2014,2.69998836517334,3,3,Situación conyugal (mujeres),3,El Salvador,Numero de hijos por mujer - MICS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
SLV2014,Mujeres de baja calificación,SLV,MICS 2014,2014,2.677849292755127,4,4,Calificación (mujeres),4,El Salvador,Numero de hijos por mujer - MICS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
SLV2014,Mujeres de media calificación,SLV,MICS 2014,2014,1.542624950408936,5,5,Calificación (mujeres),4,El Salvador,Numero de hijos por mujer - MICS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
SLV2014,Mujeres de alta calificación,SLV,MICS 2014,2014,1.122895359992981,6,6,Calificación (mujeres),4,El Salvador,Numero de hijos por mujer - MICS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
HND2019,Mujeres,HND,MICS HND,2019,2.643114805221558,1,1,Mujeres,1,Honduras,Numero de hijos por mujer - MICS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
HND2019,Mujeres solteras,HND,MICS HND,2019,2.129266977310181,2,2,Situación conyugal (mujeres),3,Honduras,Numero de hijos por mujer - MICS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
HND2019,Mujeres en pareja,HND,MICS HND,2019,2.902005434036255,3,3,Situación conyugal (mujeres),3,Honduras,Numero de hijos por mujer - MICS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
HND2019,Mujeres de baja calificación,HND,MICS HND,2019,2.976280450820923,4,4,Calificación (mujeres),4,Honduras,Numero de hijos por mujer - MICS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
HND2019,Mujeres de media calificación,HND,MICS HND,2019,1.634271144866943,5,5,Calificación (mujeres),4,Honduras,Numero de hijos por mujer - MICS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
HND2019,Mujeres de alta calificación,HND,MICS HND,2019,1.28337287902832,6,6,Calificación (mujeres),4,Honduras,Numero de hijos por mujer - MICS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
MEX2015,Mujeres,MEX,MICS 2015,2015,2.370867967605591,1,1,Mujeres,1,México,Numero de hijos por mujer - MICS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
MEX2015,Mujeres solteras,MEX,MICS 2015,2015,1.690961956977844,2,2,Situación conyugal (mujeres),3,México,Numero de hijos por mujer - MICS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
MEX2015,Mujeres en pareja,MEX,MICS 2015,2015,2.622455358505249,3,3,Situación conyugal (mujeres),3,México,Numero de hijos por mujer - MICS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
MEX2015,Mujeres de baja calificación,MEX,MICS 2015,2015,2.775176048278809,4,4,Calificación (mujeres),4,México,Numero de hijos por mujer - MICS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
MEX2015,Mujeres de media calificación,MEX,MICS 2015,2015,1.824593782424927,5,5,Calificación (mujeres),4,México,Numero de hijos por mujer - MICS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
MEX2015,Mujeres de alta calificación,MEX,MICS 2015,2015,1.330847978591919,6,6,Calificación (mujeres),4,México,Numero de hijos por mujer - MICS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
PRY2016,Mujeres,PRY,MICS 2016,2016,2.399504661560059,1,1,Mujeres,1,Paraguay,Numero de hijos por mujer - MICS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
PRY2016,Mujeres solteras,PRY,MICS 2016,2016,1.638489007949829,2,2,Situación conyugal (mujeres),3,Paraguay,Numero de hijos por mujer - MICS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
PRY2016,Mujeres en pareja,PRY,MICS 2016,2016,2.668074607849121,3,3,Situación conyugal (mujeres),3,Paraguay,Numero de hijos por mujer - MICS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
PRY2016,Mujeres de baja calificación,PRY,MICS 2016,2016,3.203809261322021,4,4,Calificación (mujeres),4,Paraguay,Numero de hijos por mujer - MICS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
PRY2016,Mujeres de media calificación,PRY,MICS 2016,2016,1.708416223526001,5,5,Calificación (mujeres),4,Paraguay,Numero de hijos por mujer - MICS,Número de hijos vivos por mujer. La población de referencia incluye mujeres de 25 a 49 años.,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
