id_paisano,desagregacion,pais_cod,encuesta,ano,u,v,w,valor,desagregacion_por_orden,variable_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2000,Mujeres,ARG,,2000,,,,23.26223945617676,2,2,,Género,4,Argentina,Argentina,Porcentaje del ingreso laboral aportado por cada miembro de la pareja de la población de 25 a 54 años.,Porcentaje del ingreso laboral de la pareja aportado por cada miembro,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres,ARG,,2000,,,,77.86272430419922,3,3,,Género,4,Argentina,Argentina,Porcentaje del ingreso laboral aportado por cada miembro de la pareja de la población de 25 a 54 años.,Porcentaje del ingreso laboral de la pareja aportado por cada miembro,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Brecha mujeres - hombres,ARG,,2000,,,,-54.60048675537109,4,4,.8931582,Brecha mujeres - hombres,5,Argentina,Argentina,Porcentaje del ingreso laboral aportado por cada miembro de la pareja de la población de 25 a 54 años.,Porcentaje del ingreso laboral de la pareja aportado por cada miembro,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres sin hijos,ARG,,2000,,,,35.40107727050781,6,6,,Hijos (mujeres),7,Argentina,Argentina,Porcentaje del ingreso laboral aportado por cada miembro de la pareja de la población de 25 a 54 años.,Porcentaje del ingreso laboral de la pareja aportado por cada miembro,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres con hijos de 0 a 5 años,ARG,,2000,,,,17.9109001159668,7,7,,Hijos (mujeres),7,Argentina,Argentina,Porcentaje del ingreso laboral aportado por cada miembro de la pareja de la población de 25 a 54 años.,Porcentaje del ingreso laboral de la pareja aportado por cada miembro,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres con hijos de 6 años o más,ARG,,2000,,,,24.43795967102051,8,8,,Hijos (mujeres),7,Argentina,Argentina,Porcentaje del ingreso laboral aportado por cada miembro de la pareja de la población de 25 a 54 años.,Porcentaje del ingreso laboral de la pareja aportado por cada miembro,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres sin hijos,ARG,,2000,,,,67.6014404296875,9,9,,Hijos (hombres),8,Argentina,Argentina,Porcentaje del ingreso laboral aportado por cada miembro de la pareja de la población de 25 a 54 años.,Porcentaje del ingreso laboral de la pareja aportado por cada miembro,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres con hijos de 0 a 5 años,ARG,,2000,,,,82.93949127197266,10,10,,Hijos (hombres),8,Argentina,Argentina,Porcentaje del ingreso laboral aportado por cada miembro de la pareja de la población de 25 a 54 años.,Porcentaje del ingreso laboral de la pareja aportado por cada miembro,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres con hijos de 6 años o más,ARG,,2000,,,,76.03924560546875,11,11,,Hijos (hombres),8,Argentina,Argentina,Porcentaje del ingreso laboral aportado por cada miembro de la pareja de la población de 25 a 54 años.,Porcentaje del ingreso laboral de la pareja aportado por cada miembro,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres de baja calificación,ARG,,2000,,,,18.28125,16,16,,Calificación (mujeres),11,Argentina,Argentina,Porcentaje del ingreso laboral aportado por cada miembro de la pareja de la población de 25 a 54 años.,Porcentaje del ingreso laboral de la pareja aportado por cada miembro,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres de media calificación,ARG,,2000,,,,23.20116233825684,17,17,,Calificación (mujeres),11,Argentina,Argentina,Porcentaje del ingreso laboral aportado por cada miembro de la pareja de la población de 25 a 54 años.,Porcentaje del ingreso laboral de la pareja aportado por cada miembro,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
