id_paisano,desagregacion,pais_cod,encuesta,ano,flag,valor,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,indicador,detalle_indicador,disclaimer
ARG2013,"Boys, mathematics",ARG,(T)ERCE,2013,"1,2",11.58697414398193,1,1,"Gender, mathematics",1,Argentina,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,"Girls, mathematics",ARG,(T)ERCE,2013,"1,2",1.53355884552002,2,2,"Gender, mathematics",1,Argentina,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,"Boys, language",ARG,(T)ERCE,2013,"1,2",3.245789766311646,3,3,"Gender, language",2,Argentina,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,"Girls, language",ARG,(T)ERCE,2013,"1,2",19.41167831420898,4,4,"Gender, language",2,Argentina,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2019,"Boys, mathematics",ARG,ERCE,2019,,15.94165992736816,1,1,"Gender, mathematics",1,Argentina,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2019,"Girls, mathematics",ARG,ERCE,2019,,4.878043174743652,2,2,"Gender, mathematics",1,Argentina,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2019,"Boys, language",ARG,ERCE,2019,,4.604681015014648,3,3,"Gender, language",2,Argentina,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2019,"Girls, language",ARG,ERCE,2019,,19.00004768371582,4,4,"Gender, language",2,Argentina,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BRA2013,"Boys, mathematics",BRA,(T)ERCE,2013,"1,2",31.5629825592041,1,1,"Gender, mathematics",1,Brazil,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BRA2013,"Girls, mathematics",BRA,(T)ERCE,2013,"1,2",6.585211753845215,2,2,"Gender, mathematics",1,Brazil,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BRA2013,"Boys, language",BRA,(T)ERCE,2013,"1,2",1.677576899528503,3,3,"Gender, language",2,Brazil,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BRA2013,"Girls, language",BRA,(T)ERCE,2013,"1,2",28.76004791259766,4,4,"Gender, language",2,Brazil,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BRA2019,"Boys, mathematics",BRA,ERCE,2019,,18.01721572875977,1,1,"Gender, mathematics",1,Brazil,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BRA2019,"Girls, mathematics",BRA,ERCE,2019,,11.45858478546143,2,2,"Gender, mathematics",1,Brazil,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BRA2019,"Boys, language",BRA,ERCE,2019,,5.393004417419434,3,3,"Gender, language",2,Brazil,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BRA2019,"Girls, language",BRA,ERCE,2019,,23.86130332946777,4,4,"Gender, language",2,Brazil,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2013,"Boys, mathematics",CHL,(T)ERCE,2013,"1,2",18.42792701721191,1,1,"Gender, mathematics",1,Chile,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2013,"Girls, mathematics",CHL,(T)ERCE,2013,"1,2",3.911500453948975,2,2,"Gender, mathematics",1,Chile,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2013,"Boys, language",CHL,(T)ERCE,2013,"1,2",3.347364902496338,3,3,"Gender, language",2,Chile,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2013,"Girls, language",CHL,(T)ERCE,2013,"1,2",13.52426719665527,4,4,"Gender, language",2,Chile,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2013,"Boys, mathematics",COL,(T)ERCE,2013,"1,2",9.76676082611084,1,1,"Gender, mathematics",1,Colombia,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2013,"Girls, mathematics",COL,(T)ERCE,2013,"1,2",.01,2,2,"Gender, mathematics",1,Colombia,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2013,"Boys, language",COL,(T)ERCE,2013,"1,2",1.193649053573608,3,3,"Gender, language",2,Colombia,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2013,"Girls, language",COL,(T)ERCE,2013,"1,2",7.096027851104736,4,4,"Gender, language",2,Colombia,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2019,"Boys, mathematics",COL,ERCE,2019,,18.26183700561523,1,1,"Gender, mathematics",1,Colombia,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2019,"Girls, mathematics",COL,ERCE,2019,,6.129429817199707,2,2,"Gender, mathematics",1,Colombia,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2019,"Boys, language",COL,ERCE,2019,,2.618847608566284,3,3,"Gender, language",2,Colombia,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2019,"Girls, language",COL,ERCE,2019,,17.34848785400391,4,4,"Gender, language",2,Colombia,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CRI2013,"Boys, mathematics",CRI,(T)ERCE,2013,"1,2",9.267130851745605,1,1,"Gender, mathematics",1,Costa Rica,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CRI2013,"Girls, mathematics",CRI,(T)ERCE,2013,"1,2",13.88264942169189,2,2,"Gender, mathematics",1,Costa Rica,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CRI2013,"Boys, language",CRI,(T)ERCE,2013,"1,2",1.352185130119324,3,3,"Gender, language",2,Costa Rica,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CRI2013,"Girls, language",CRI,(T)ERCE,2013,"1,2",18.59162139892578,4,4,"Gender, language",2,Costa Rica,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CRI2019,"Boys, mathematics",CRI,ERCE,2019,,19.75368499755859,1,1,"Gender, mathematics",1,Costa Rica,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CRI2019,"Girls, mathematics",CRI,ERCE,2019,,10.95150375366211,2,2,"Gender, mathematics",1,Costa Rica,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CRI2019,"Boys, language",CRI,ERCE,2019,,1.272956252098083,3,3,"Gender, language",2,Costa Rica,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CRI2019,"Girls, language",CRI,ERCE,2019,,32.89785385131836,4,4,"Gender, language",2,Costa Rica,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
DOM2013,"Boys, mathematics",DOM,(T)ERCE,2013,"1,2",16.37979316711426,1,1,"Gender, mathematics",1,Dominican republic,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
DOM2013,"Girls, mathematics",DOM,(T)ERCE,2013,"1,2",6.362398624420166,2,2,"Gender, mathematics",1,Dominican republic,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
DOM2013,"Boys, language",DOM,(T)ERCE,2013,"1,2",.5072121024131775,3,3,"Gender, language",2,Dominican republic,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
DOM2013,"Girls, language",DOM,(T)ERCE,2013,"1,2",30.09353065490723,4,4,"Gender, language",2,Dominican republic,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
DOM2019,"Boys, mathematics",DOM,ERCE,2019,,16.65647315979004,1,1,"Gender, mathematics",1,Dominican republic,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
DOM2019,"Girls, mathematics",DOM,ERCE,2019,,20.390625,2,2,"Gender, mathematics",1,Dominican republic,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
DOM2019,"Boys, language",DOM,ERCE,2019,,10.99958419799805,3,3,"Gender, language",2,Dominican republic,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
DOM2019,"Girls, language",DOM,ERCE,2019,,24.24281311035156,4,4,"Gender, language",2,Dominican republic,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ECU2013,"Boys, mathematics",ECU,(T)ERCE,2013,"1,2",9.201198577880859,1,1,"Gender, mathematics",1,Ecuador,Third-grade teachers who think that:,“Boys or girls learn faster math or language due to their innate characteristics”.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
