id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,indicador,detalle_indicador,disclaimer
BOL2003,Women,BOL,ENDSA 2003,2003,22.15468597412109,1,1,Women,1,Bolivia,Percentage of women who think that husbands are justified to beat their wives in some situations,Percentage of women aged 25-49 who think that a husband beating a wife is justified in some situations,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2003,Not married women,BOL,ENDSA 2003,2003,19.81796646118164,2,2,Marital status (women),3,Bolivia,Percentage of women who think that husbands are justified to beat their wives in some situations,Percentage of women aged 25-49 who think that a husband beating a wife is justified in some situations,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2003,Married women,BOL,ENDSA 2003,2003,22.7376880645752,3,3,Marital status (women),3,Bolivia,Percentage of women who think that husbands are justified to beat their wives in some situations,Percentage of women aged 25-49 who think that a husband beating a wife is justified in some situations,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2003,Low skilled women,BOL,ENDSA 2003,2003,26.43307113647461,4,4,Qualification (women),4,Bolivia,Percentage of women who think that husbands are justified to beat their wives in some situations,Percentage of women aged 25-49 who think that a husband beating a wife is justified in some situations,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2003,Medium skilled women,BOL,ENDSA 2003,2003,14.10534286499023,5,5,Qualification (women),4,Bolivia,Percentage of women who think that husbands are justified to beat their wives in some situations,Percentage of women aged 25-49 who think that a husband beating a wife is justified in some situations,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2003,High skilled women,BOL,ENDSA 2003,2003,6.841419219970703,6,6,Qualification (women),4,Bolivia,Percentage of women who think that husbands are justified to beat their wives in some situations,Percentage of women aged 25-49 who think that a husband beating a wife is justified in some situations,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2008,Women,BOL,ENDSA 2008,2008,16.83670616149902,1,1,Women,1,Bolivia,Percentage of women who think that husbands are justified to beat their wives in some situations,Percentage of women aged 25-49 who think that a husband beating a wife is justified in some situations,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2008,Not married women,BOL,ENDSA 2008,2008,14.70479011535645,2,2,Marital status (women),3,Bolivia,Percentage of women who think that husbands are justified to beat their wives in some situations,Percentage of women aged 25-49 who think that a husband beating a wife is justified in some situations,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2008,Married women,BOL,ENDSA 2008,2008,17.40639495849609,3,3,Marital status (women),3,Bolivia,Percentage of women who think that husbands are justified to beat their wives in some situations,Percentage of women aged 25-49 who think that a husband beating a wife is justified in some situations,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2008,Low skilled women,BOL,ENDSA 2008,2008,21.60401916503906,4,4,Qualification (women),4,Bolivia,Percentage of women who think that husbands are justified to beat their wives in some situations,Percentage of women aged 25-49 who think that a husband beating a wife is justified in some situations,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2008,Medium skilled women,BOL,ENDSA 2008,2008,9.76220703125,5,5,Qualification (women),4,Bolivia,Percentage of women who think that husbands are justified to beat their wives in some situations,Percentage of women aged 25-49 who think that a husband beating a wife is justified in some situations,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2008,High skilled women,BOL,ENDSA 2008,2008,5.379656791687012,6,6,Qualification (women),4,Bolivia,Percentage of women who think that husbands are justified to beat their wives in some situations,Percentage of women aged 25-49 who think that a husband beating a wife is justified in some situations,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
