id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,detalle_indicador,indicador,disclaimer
ARG2000,Total,ARG,.,2000,,1,1,Total,1,Argentina,"“When a mother works for pay, the children suffer”.",Adult population aged 25-54 agreeing with the statement:,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women,ARG,.,2000,,2,2,Gender,4,Argentina,"“When a mother works for pay, the children suffer”.",Adult population aged 25-54 agreeing with the statement:,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Men,ARG,.,2000,,3,3,Gender,4,Argentina,"“When a mother works for pay, the children suffer”.",Adult population aged 25-54 agreeing with the statement:,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women - men gap,ARG,.,2000,,4,4,Women - men gap,5,Argentina,"“When a mother works for pay, the children suffer”.",Adult population aged 25-54 agreeing with the statement:,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Woman,ARG,.,2000,,22,22,Woman,2,Argentina,"“When a mother works for pay, the children suffer”.",Adult population aged 25-54 agreeing with the statement:,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Man,ARG,.,2000,,23,23,Man,3,Argentina,"“When a mother works for pay, the children suffer”.",Adult population aged 25-54 agreeing with the statement:,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women/men ratio,ARG,.,2000,,26,26,Women/men ratio,6,Argentina,"“When a mother works for pay, the children suffer”.",Adult population aged 25-54 agreeing with the statement:,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Total,ARG,.,2001,,1,1,Total,1,Argentina,"“When a mother works for pay, the children suffer”.",Adult population aged 25-54 agreeing with the statement:,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Women,ARG,.,2001,,2,2,Gender,4,Argentina,"“When a mother works for pay, the children suffer”.",Adult population aged 25-54 agreeing with the statement:,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Men,ARG,.,2001,,3,3,Gender,4,Argentina,"“When a mother works for pay, the children suffer”.",Adult population aged 25-54 agreeing with the statement:,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Women - men gap,ARG,.,2001,,4,4,Women - men gap,5,Argentina,"“When a mother works for pay, the children suffer”.",Adult population aged 25-54 agreeing with the statement:,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Woman,ARG,.,2001,,22,22,Woman,2,Argentina,"“When a mother works for pay, the children suffer”.",Adult population aged 25-54 agreeing with the statement:,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Man,ARG,.,2001,,23,23,Man,3,Argentina,"“When a mother works for pay, the children suffer”.",Adult population aged 25-54 agreeing with the statement:,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Women/men ratio,ARG,.,2001,,26,26,Women/men ratio,6,Argentina,"“When a mother works for pay, the children suffer”.",Adult population aged 25-54 agreeing with the statement:,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2002,Total,ARG,.,2002,,1,1,Total,1,Argentina,"“When a mother works for pay, the children suffer”.",Adult population aged 25-54 agreeing with the statement:,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2002,Women,ARG,.,2002,,2,2,Gender,4,Argentina,"“When a mother works for pay, the children suffer”.",Adult population aged 25-54 agreeing with the statement:,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2002,Men,ARG,.,2002,,3,3,Gender,4,Argentina,"“When a mother works for pay, the children suffer”.",Adult population aged 25-54 agreeing with the statement:,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2002,Women - men gap,ARG,.,2002,,4,4,Women - men gap,5,Argentina,"“When a mother works for pay, the children suffer”.",Adult population aged 25-54 agreeing with the statement:,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2002,Woman,ARG,.,2002,,22,22,Woman,2,Argentina,"“When a mother works for pay, the children suffer”.",Adult population aged 25-54 agreeing with the statement:,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2002,Man,ARG,.,2002,,23,23,Man,3,Argentina,"“When a mother works for pay, the children suffer”.",Adult population aged 25-54 agreeing with the statement:,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2002,Women/men ratio,ARG,.,2002,,26,26,Women/men ratio,6,Argentina,"“When a mother works for pay, the children suffer”.",Adult population aged 25-54 agreeing with the statement:,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2003,Total,ARG,.,2003,,1,1,Total,1,Argentina,"“When a mother works for pay, the children suffer”.",Adult population aged 25-54 agreeing with the statement:,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2003,Women,ARG,.,2003,,2,2,Gender,4,Argentina,"“When a mother works for pay, the children suffer”.",Adult population aged 25-54 agreeing with the statement:,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2003,Men,ARG,.,2003,,3,3,Gender,4,Argentina,"“When a mother works for pay, the children suffer”.",Adult population aged 25-54 agreeing with the statement:,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2003,Women - men gap,ARG,.,2003,,4,4,Women - men gap,5,Argentina,"“When a mother works for pay, the children suffer”.",Adult population aged 25-54 agreeing with the statement:,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2003,Woman,ARG,.,2003,,22,22,Woman,2,Argentina,"“When a mother works for pay, the children suffer”.",Adult population aged 25-54 agreeing with the statement:,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2003,Man,ARG,.,2003,,23,23,Man,3,Argentina,"“When a mother works for pay, the children suffer”.",Adult population aged 25-54 agreeing with the statement:,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2003,Women/men ratio,ARG,.,2003,,26,26,Women/men ratio,6,Argentina,"“When a mother works for pay, the children suffer”.",Adult population aged 25-54 agreeing with the statement:,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2004,Total,ARG,.,2004,,1,1,Total,1,Argentina,"“When a mother works for pay, the children suffer”.",Adult population aged 25-54 agreeing with the statement:,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2004,Women,ARG,.,2004,,2,2,Gender,4,Argentina,"“When a mother works for pay, the children suffer”.",Adult population aged 25-54 agreeing with the statement:,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2004,Men,ARG,.,2004,,3,3,Gender,4,Argentina,"“When a mother works for pay, the children suffer”.",Adult population aged 25-54 agreeing with the statement:,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2004,Women - men gap,ARG,.,2004,,4,4,Women - men gap,5,Argentina,"“When a mother works for pay, the children suffer”.",Adult population aged 25-54 agreeing with the statement:,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2004,Woman,ARG,.,2004,,22,22,Woman,2,Argentina,"“When a mother works for pay, the children suffer”.",Adult population aged 25-54 agreeing with the statement:,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
