id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,detalle_indicador,indicador,disclaimer
ARG2000,Total,ARG,.,2000,,1,1,,Total,1,Argentina,"“ante la escasez de empleo, los hombres deberían tener más derecho a un empleo que las mujeres”.",Porcentaje de la población de 25 a 54 años de acuerdo con que:,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres,ARG,.,2000,,2,2,,Género,4,Argentina,"“ante la escasez de empleo, los hombres deberían tener más derecho a un empleo que las mujeres”.",Porcentaje de la población de 25 a 54 años de acuerdo con que:,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres,ARG,.,2000,,3,3,,Género,4,Argentina,"“ante la escasez de empleo, los hombres deberían tener más derecho a un empleo que las mujeres”.",Porcentaje de la población de 25 a 54 años de acuerdo con que:,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Brecha mujeres - hombres,ARG,.,2000,,4,4,0,Brecha mujeres - hombres,5,Argentina,"“ante la escasez de empleo, los hombres deberían tener más derecho a un empleo que las mujeres”.",Porcentaje de la población de 25 a 54 años de acuerdo con que:,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujer,ARG,.,2000,,22,22,,Mujer,2,Argentina,"“ante la escasez de empleo, los hombres deberían tener más derecho a un empleo que las mujeres”.",Porcentaje de la población de 25 a 54 años de acuerdo con que:,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombre,ARG,.,2000,,23,23,,Hombre,3,Argentina,"“ante la escasez de empleo, los hombres deberían tener más derecho a un empleo que las mujeres”.",Porcentaje de la población de 25 a 54 años de acuerdo con que:,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Ratio mujeres/hombres,ARG,.,2000,,26,26,,Ratio mujeres/hombres,6,Argentina,"“ante la escasez de empleo, los hombres deberían tener más derecho a un empleo que las mujeres”.",Porcentaje de la población de 25 a 54 años de acuerdo con que:,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Total,ARG,.,2001,,1,1,,Total,1,Argentina,"“ante la escasez de empleo, los hombres deberían tener más derecho a un empleo que las mujeres”.",Porcentaje de la población de 25 a 54 años de acuerdo con que:,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Mujeres,ARG,.,2001,,2,2,,Género,4,Argentina,"“ante la escasez de empleo, los hombres deberían tener más derecho a un empleo que las mujeres”.",Porcentaje de la población de 25 a 54 años de acuerdo con que:,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Hombres,ARG,.,2001,,3,3,,Género,4,Argentina,"“ante la escasez de empleo, los hombres deberían tener más derecho a un empleo que las mujeres”.",Porcentaje de la población de 25 a 54 años de acuerdo con que:,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Brecha mujeres - hombres,ARG,.,2001,,4,4,0,Brecha mujeres - hombres,5,Argentina,"“ante la escasez de empleo, los hombres deberían tener más derecho a un empleo que las mujeres”.",Porcentaje de la población de 25 a 54 años de acuerdo con que:,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Mujer,ARG,.,2001,,22,22,,Mujer,2,Argentina,"“ante la escasez de empleo, los hombres deberían tener más derecho a un empleo que las mujeres”.",Porcentaje de la población de 25 a 54 años de acuerdo con que:,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Hombre,ARG,.,2001,,23,23,,Hombre,3,Argentina,"“ante la escasez de empleo, los hombres deberían tener más derecho a un empleo que las mujeres”.",Porcentaje de la población de 25 a 54 años de acuerdo con que:,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Ratio mujeres/hombres,ARG,.,2001,,26,26,,Ratio mujeres/hombres,6,Argentina,"“ante la escasez de empleo, los hombres deberían tener más derecho a un empleo que las mujeres”.",Porcentaje de la población de 25 a 54 años de acuerdo con que:,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2002,Total,ARG,.,2002,,1,1,,Total,1,Argentina,"“ante la escasez de empleo, los hombres deberían tener más derecho a un empleo que las mujeres”.",Porcentaje de la población de 25 a 54 años de acuerdo con que:,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
