id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,detalle_indicador,indicador,disclaimer
PERPER,Total,PER,.,PER,2000,1,1,Total,1,Peru,“A man beats his wife”.,Adult population aged 25-54 agreeing with the statement:,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
PERPER,Women,PER,.,PER,,2,2,Gender,4,Peru,“A man beats his wife”.,Adult population aged 25-54 agreeing with the statement:,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
PERPER,Men,PER,.,PER,,3,3,Gender,4,Peru,“A man beats his wife”.,Adult population aged 25-54 agreeing with the statement:,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
PERPER,Women - men gap,PER,.,PER,,4,4,Women - men gap,5,Peru,“A man beats his wife”.,Adult population aged 25-54 agreeing with the statement:,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
PERPER,Woman,PER,.,PER,,22,22,Woman,2,Peru,“A man beats his wife”.,Adult population aged 25-54 agreeing with the statement:,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
PERPER,Man,PER,.,PER,,23,23,Man,3,Peru,“A man beats his wife”.,Adult population aged 25-54 agreeing with the statement:,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
PERPER,Women/men ratio,PER,.,PER,,26,26,Women/men ratio,6,Peru,“A man beats his wife”.,Adult population aged 25-54 agreeing with the statement:,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
URYPER,Total,URY,.,PER,2024,1,1,Total,1,Uruguay,“A man beats his wife”.,Adult population aged 25-54 agreeing with the statement:,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
URYPER,Women,URY,.,PER,,2,2,Gender,4,Uruguay,“A man beats his wife”.,Adult population aged 25-54 agreeing with the statement:,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
URYPER,Men,URY,.,PER,,3,3,Gender,4,Uruguay,“A man beats his wife”.,Adult population aged 25-54 agreeing with the statement:,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
URYPER,Women - men gap,URY,.,PER,,4,4,Women - men gap,5,Uruguay,“A man beats his wife”.,Adult population aged 25-54 agreeing with the statement:,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
URYPER,Woman,URY,.,PER,,22,22,Woman,2,Uruguay,“A man beats his wife”.,Adult population aged 25-54 agreeing with the statement:,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
URYPER,Man,URY,.,PER,,23,23,Man,3,Uruguay,“A man beats his wife”.,Adult population aged 25-54 agreeing with the statement:,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
URYPER,Women/men ratio,URY,.,PER,,26,26,Women/men ratio,6,Uruguay,“A man beats his wife”.,Adult population aged 25-54 agreeing with the statement:,The series may present jumps due to methodological changes in the surveys (see <a href='https://genlac.econo.unlp.edu.ar/wp-content/uploads/2024/12/Cambios_metodolo%CC%81gicos_base_GenLAC_2024-12.xlsx'>methodological documents</a>). Source: GenLAC (CEDLAS).
