id_paisano,desagregacion,pais_cod,encuesta,ano,valor,n,o,p,q,r,s,t,u,v,w,x,y,z,desagregacion_por_orden,comparacion_por,comparacion_por_orden,pais,indicador,detalle_indicador,disclaimer
BOL2003,Women,BOL,ENDSA 2003,2003,11.19156265258789,,,,,,,,,,,,,,1,Women,1,Bolivia,Percentage of women who have experienced physical violence by non-partners,"Women who have ever experienced physical violence by someone other than their partner, as percentage of women aged 15-49.",The series may present jumps due to methodological changes in the surveys (see methodological documents). SourcD: GenLAC (CEDLAS).
BOL2003,Women without children,BOL,ENDSA 2003,2003,12.74547386169434,,,,,,,,,,,,,,2,Children (women),2,Bolivia,Percentage of women who have experienced physical violence by non-partners,"Women who have ever experienced physical violence by someone other than their partner, as percentage of women aged 15-49.",The series may present jumps due to methodological changes in the surveys (see methodological documents). SourcD: GenLAC (CEDLAS).
BOL2003,Women with children aged 0-5,BOL,ENDSA 2003,2003,10.63681507110596,,,,,,,,,,,,,,3,Children (women),2,Bolivia,Percentage of women who have experienced physical violence by non-partners,"Women who have ever experienced physical violence by someone other than their partner, as percentage of women aged 15-49.",The series may present jumps due to methodological changes in the surveys (see methodological documents). SourcD: GenLAC (CEDLAS).
BOL2003,Women with children older than 5,BOL,ENDSA 2003,2003,11.69787883758545,,,,,,,,,,,,,,4,Children (women),2,Bolivia,Percentage of women who have experienced physical violence by non-partners,"Women who have ever experienced physical violence by someone other than their partner, as percentage of women aged 15-49.",The series may present jumps due to methodological changes in the surveys (see methodological documents). SourcD: GenLAC (CEDLAS).
BOL2003,Not married women,BOL,ENDSA 2003,2003,14.69256401062012,,,,,,,,,,,,,,5,Marital status (women),3,Bolivia,Percentage of women who have experienced physical violence by non-partners,"Women who have ever experienced physical violence by someone other than their partner, as percentage of women aged 15-49.",The series may present jumps due to methodological changes in the surveys (see methodological documents). SourcD: GenLAC (CEDLAS).
BOL2003,Married women,BOL,ENDSA 2003,2003,10.46755886077881,,,,,,,,,,,,,,6,Marital status (women),3,Bolivia,Percentage of women who have experienced physical violence by non-partners,"Women who have ever experienced physical violence by someone other than their partner, as percentage of women aged 15-49.",The series may present jumps due to methodological changes in the surveys (see methodological documents). SourcD: GenLAC (CEDLAS).
BOL2003,Low skilled women,BOL,ENDSA 2003,2003,11.03480434417725,,,,,,,,,,,,,,7,Qualification (women),4,Bolivia,Percentage of women who have experienced physical violence by non-partners,"Women who have ever experienced physical violence by someone other than their partner, as percentage of women aged 15-49.",The series may present jumps due to methodological changes in the surveys (see methodological documents). SourcD: GenLAC (CEDLAS).
BOL2003,Medium skilled women,BOL,ENDSA 2003,2003,11.73692226409912,,,,,,,,,,,,,,8,Qualification (women),4,Bolivia,Percentage of women who have experienced physical violence by non-partners,"Women who have ever experienced physical violence by someone other than their partner, as percentage of women aged 15-49.",The series may present jumps due to methodological changes in the surveys (see methodological documents). SourcD: GenLAC (CEDLAS).
BOL2003,High skilled women,BOL,ENDSA 2003,2003,11.40414428710938,,,,,,,,,,,,,,9,Qualification (women),4,Bolivia,Percentage of women who have experienced physical violence by non-partners,"Women who have ever experienced physical violence by someone other than their partner, as percentage of women aged 15-49.",The series may present jumps due to methodological changes in the surveys (see methodological documents). SourcD: GenLAC (CEDLAS).
BOL2008,Women,BOL,ENDSA 2008,2008,4.816049098968506,,,,,,,,,,,,,,1,Women,1,Bolivia,Percentage of women who have experienced physical violence by non-partners,"Women who have ever experienced physical violence by someone other than their partner, as percentage of women aged 15-49.",The series may present jumps due to methodological changes in the surveys (see methodological documents). SourcD: GenLAC (CEDLAS).
