id_paisano,desagregacion,pais_cod,encuesta,ano,valor,n,o,p,q,r,s,t,u,v,w,x,y,z,desagregacion_por_orden,comparacion_por,comparacion_por_orden,pais,indicador,detalle_indicador,disclaimer
BOL2003,Women,BOL,ENDSA 2003,2003,53.73323059082031,,,,,,,,,,,,,,1,Women,1,Bolivia,Percentage of women who have experienced psychological violence by a partner,"Women who have ever experienced psychological violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2003,Women without children,BOL,ENDSA 2003,2003,32.62897109985352,,,,,,,,,,,,,,2,Children (women),2,Bolivia,Percentage of women who have experienced psychological violence by a partner,"Women who have ever experienced psychological violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2003,Women with children aged 0-5,BOL,ENDSA 2003,2003,53.87796020507813,,,,,,,,,,,,,,3,Children (women),2,Bolivia,Percentage of women who have experienced psychological violence by a partner,"Women who have ever experienced psychological violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2003,Women with children older than 5,BOL,ENDSA 2003,2003,56.70521545410156,,,,,,,,,,,,,,4,Children (women),2,Bolivia,Percentage of women who have experienced psychological violence by a partner,"Women who have ever experienced psychological violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2003,Not married women,BOL,ENDSA 2003,2003,57.46167755126953,,,,,,,,,,,,,,5,Marital status (women),3,Bolivia,Percentage of women who have experienced psychological violence by a partner,"Women who have ever experienced psychological violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2003,Married women,BOL,ENDSA 2003,2003,52.98306655883789,,,,,,,,,,,,,,6,Marital status (women),3,Bolivia,Percentage of women who have experienced psychological violence by a partner,"Women who have ever experienced psychological violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2003,Low skilled women,BOL,ENDSA 2003,2003,56.45863342285156,,,,,,,,,,,,,,7,Qualification (women),4,Bolivia,Percentage of women who have experienced psychological violence by a partner,"Women who have ever experienced psychological violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2003,Medium skilled women,BOL,ENDSA 2003,2003,50.59308624267578,,,,,,,,,,,,,,8,Qualification (women),4,Bolivia,Percentage of women who have experienced psychological violence by a partner,"Women who have ever experienced psychological violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2003,High skilled women,BOL,ENDSA 2003,2003,38.63097381591797,,,,,,,,,,,,,,9,Qualification (women),4,Bolivia,Percentage of women who have experienced psychological violence by a partner,"Women who have ever experienced psychological violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2008,Women,BOL,ENDSA 2008,2008,41.96210861206055,,,,,,,,,,,,,,1,Women,1,Bolivia,Percentage of women who have experienced psychological violence by a partner,"Women who have ever experienced psychological violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
