id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,comparacion_por,comparacion_por_orden,pais,indicador,detalle_indicador,disclaimer
BOL2003,Women,BOL,ENDSA 2003,2003,15.62017822265625,1,Women,1,Bolivia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2003,Women without children,BOL,ENDSA 2003,2003,7.404935359954834,2,Children (women),2,Bolivia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2003,Women with children aged 0-5,BOL,ENDSA 2003,2003,14.80480003356934,3,Children (women),2,Bolivia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2003,Women with children older than 5,BOL,ENDSA 2003,2003,17.95304679870606,4,Children (women),2,Bolivia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2003,Not married women,BOL,ENDSA 2003,2003,20.86800003051758,5,Marital status (women),3,Bolivia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2003,Married women,BOL,ENDSA 2003,2003,14.56431674957275,6,Marital status (women),3,Bolivia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2003,Low skilled women,BOL,ENDSA 2003,2003,17.64509582519531,7,Qualification (women),4,Bolivia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2003,Medium skilled women,BOL,ENDSA 2003,2003,11.22783184051514,8,Qualification (women),4,Bolivia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2003,High skilled women,BOL,ENDSA 2003,2003,8.463301658630371,9,Qualification (women),4,Bolivia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2008,Women,BOL,ENDSA 2008,2008,6.606676578521729,1,Women,1,Bolivia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2008,Women without children,BOL,ENDSA 2008,2008,3.20319938659668,2,Children (women),2,Bolivia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2008,Women with children aged 0-5,BOL,ENDSA 2008,2008,6.991547107696533,3,Children (women),2,Bolivia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2008,Women with children older than 5,BOL,ENDSA 2008,2008,6.645011425018311,4,Children (women),2,Bolivia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2008,Not married women,BOL,ENDSA 2008,2008,6.619006156921387,5,Marital status (women),3,Bolivia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2008,Married women,BOL,ENDSA 2008,2008,6.605573177337647,6,Marital status (women),3,Bolivia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2008,Low skilled women,BOL,ENDSA 2008,2008,8.035660743713379,7,Qualification (women),4,Bolivia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2008,Medium skilled women,BOL,ENDSA 2008,2008,4.106340408325195,8,Qualification (women),4,Bolivia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
BOL2008,High skilled women,BOL,ENDSA 2008,2008,3.461385488510132,9,Qualification (women),4,Bolivia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2000,Women,COL,ENDSA 2000,2000,11.70337963104248,1,Women,1,Colombia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2000,Women without children,COL,ENDSA 2000,2000,4.083033084869385,2,Children (women),2,Colombia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2000,Women with children aged 0-5,COL,ENDSA 2000,2000,9.407356262207031,3,Children (women),2,Colombia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2000,Women with children older than 5,COL,ENDSA 2000,2000,13.9806661605835,4,Children (women),2,Colombia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2000,Not married women,COL,ENDSA 2000,2000,21.74241828918457,5,Marital status (women),3,Colombia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2000,Married women,COL,ENDSA 2000,2000,8.646788597106934,6,Marital status (women),3,Colombia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2000,Low skilled women,COL,ENDSA 2000,2000,12.95344924926758,7,Qualification (women),4,Colombia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2000,Medium skilled women,COL,ENDSA 2000,2000,9.665596008300781,8,Qualification (women),4,Colombia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2000,High skilled women,COL,ENDSA 2000,2000,5.522274494171143,9,Qualification (women),4,Colombia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2005,Women,COL,ENDSA 2005,2005,12.55362319946289,1,Women,1,Colombia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2005,Women without children,COL,ENDSA 2005,2005,4.915457725524902,2,Children (women),2,Colombia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2005,Women with children aged 0-5,COL,ENDSA 2005,2005,10.98959636688232,3,Children (women),2,Colombia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2005,Women with children older than 5,COL,ENDSA 2005,2005,14.10030841827393,4,Children (women),2,Colombia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2005,Not married women,COL,ENDSA 2005,2005,23.69767189025879,5,Marital status (women),3,Colombia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2005,Married women,COL,ENDSA 2005,2005,8.969884872436523,6,Marital status (women),3,Colombia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2005,Low skilled women,COL,ENDSA 2005,2005,14.39993572235107,7,Qualification (women),4,Colombia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2005,Medium skilled women,COL,ENDSA 2005,2005,9.950169563293457,8,Qualification (women),4,Colombia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2005,High skilled women,COL,ENDSA 2005,2005,6.851438045501709,9,Qualification (women),4,Colombia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2010,Women,COL,ENDSA 2010,2010,10.43366050720215,1,Women,1,Colombia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2010,Women without children,COL,ENDSA 2010,2010,4.222082614898682,2,Children (women),2,Colombia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2010,Women with children aged 0-5,COL,ENDSA 2010,2010,7.238532543182373,3,Children (women),2,Colombia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2010,Women with children older than 5,COL,ENDSA 2010,2010,12.63530826568604,4,Children (women),2,Colombia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2010,Not married women,COL,ENDSA 2010,2010,22.37525177001953,5,Marital status (women),3,Colombia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2010,Married women,COL,ENDSA 2010,2010,6.738122463226318,6,Marital status (women),3,Colombia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2010,Low skilled women,COL,ENDSA 2010,2010,12.42860221862793,7,Qualification (women),4,Colombia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2010,Medium skilled women,COL,ENDSA 2010,2010,8.905963897705078,8,Qualification (women),4,Colombia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2010,High skilled women,COL,ENDSA 2010,2010,4.736218452453613,9,Qualification (women),4,Colombia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2015,Women,COL,ENDSA 2015,2015,8.276310920715332,1,Women,1,Colombia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2015,Women without children,COL,ENDSA 2015,2015,3.474893808364868,2,Children (women),2,Colombia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2015,Women with children aged 0-5,COL,ENDSA 2015,2015,5.790020942687988,3,Children (women),2,Colombia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2015,Women with children older than 5,COL,ENDSA 2015,2015,10.04819774627686,4,Children (women),2,Colombia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2015,Not married women,COL,ENDSA 2015,2015,18.03104400634766,5,Marital status (women),3,Colombia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2015,Married women,COL,ENDSA 2015,2015,5.299970626831055,6,Marital status (women),3,Colombia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2015,Low skilled women,COL,ENDSA 2015,2015,10.39708423614502,7,Qualification (women),4,Colombia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2015,Medium skilled women,COL,ENDSA 2015,2015,7.215704917907715,8,Qualification (women),4,Colombia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2015,High skilled women,COL,ENDSA 2015,2015,4.325407981872559,9,Qualification (women),4,Colombia,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
DOM2002,Women,DOM,ENDESA 2002,2002,6.436996459960938,1,Women,1,Dominican republic,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
DOM2002,Women without children,DOM,ENDESA 2002,2002,3.859892129898071,2,Children (women),2,Dominican republic,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
DOM2002,Women with children aged 0-5,DOM,ENDESA 2002,2002,5.19366979598999,3,Children (women),2,Dominican republic,Percentage of women who have experienced sexual violence by their partner,"Women who have ever experienced sexual violence by their last partner, as percentage of women aged 15-49 years.",The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
