id_paisano,desagregacion,pais_cod,encuesta,ano,valor,n,o,p,q,r,s,t,u,v,w,x,y,z,desagregacion_por_orden,comparacion_por,comparacion_por_orden,pais,indicador,detalle_indicador,disclaimer
BOL2003,Mujeres,BOL,ENDSA 2003,2003,51.60348510742188,,,,,,,,,,,,,,1,Mujeres,1,Bolivia,Porcentaje de mujeres que han experimentado violencia física doméstica,"Mujeres que han experimentado violencia física alguna vez por parte de su última pareja, como % de las mujeres de 15 a 49 años.",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2003,Mujeres sin hijos,BOL,ENDSA 2003,2003,24.08479118347168,,,,,,,,,,,,,,2,Hijos (mujeres),2,Bolivia,Porcentaje de mujeres que han experimentado violencia física doméstica,"Mujeres que han experimentado violencia física alguna vez por parte de su última pareja, como % de las mujeres de 15 a 49 años.",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2003,Mujeres con hijos de 0 a 5 años,BOL,ENDSA 2003,2003,51.73986434936523,,,,,,,,,,,,,,3,Hijos (mujeres),2,Bolivia,Porcentaje de mujeres que han experimentado violencia física doméstica,"Mujeres que han experimentado violencia física alguna vez por parte de su última pareja, como % de las mujeres de 15 a 49 años.",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2003,Mujeres con hijos de 6 años o más,BOL,ENDSA 2003,2003,55.54938507080078,,,,,,,,,,,,,,4,Hijos (mujeres),2,Bolivia,Porcentaje de mujeres que han experimentado violencia física doméstica,"Mujeres que han experimentado violencia física alguna vez por parte de su última pareja, como % de las mujeres de 15 a 49 años.",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2003,Mujeres solteras,BOL,ENDSA 2003,2003,49.01125335693359,,,,,,,,,,,,,,5,Situación conyugal (mujeres),3,Bolivia,Porcentaje de mujeres que han experimentado violencia física doméstica,"Mujeres que han experimentado violencia física alguna vez por parte de su última pareja, como % de las mujeres de 15 a 49 años.",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2003,Mujeres en pareja,BOL,ENDSA 2003,2003,52.12504577636719,,,,,,,,,,,,,,6,Situación conyugal (mujeres),3,Bolivia,Porcentaje de mujeres que han experimentado violencia física doméstica,"Mujeres que han experimentado violencia física alguna vez por parte de su última pareja, como % de las mujeres de 15 a 49 años.",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2003,Mujeres de baja calificación,BOL,ENDSA 2003,2003,55.76200103759766,,,,,,,,,,,,,,7,Calificación (mujeres),4,Bolivia,Porcentaje de mujeres que han experimentado violencia física doméstica,"Mujeres que han experimentado violencia física alguna vez por parte de su última pareja, como % de las mujeres de 15 a 49 años.",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2003,Mujeres de media calificación,BOL,ENDSA 2003,2003,45.02166366577148,,,,,,,,,,,,,,8,Calificación (mujeres),4,Bolivia,Porcentaje de mujeres que han experimentado violencia física doméstica,"Mujeres que han experimentado violencia física alguna vez por parte de su última pareja, como % de las mujeres de 15 a 49 años.",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2003,Mujeres de alta calificación,BOL,ENDSA 2003,2003,32.09326553344727,,,,,,,,,,,,,,9,Calificación (mujeres),4,Bolivia,Porcentaje de mujeres que han experimentado violencia física doméstica,"Mujeres que han experimentado violencia física alguna vez por parte de su última pareja, como % de las mujeres de 15 a 49 años.",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
BOL2008,Mujeres,BOL,ENDSA 2008,2008,22.5733585357666,,,,,,,,,,,,,,1,Mujeres,1,Bolivia,Porcentaje de mujeres que han experimentado violencia física doméstica,"Mujeres que han experimentado violencia física alguna vez por parte de su última pareja, como % de las mujeres de 15 a 49 años.",Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
