id_paisano,desagregacion,pais_cod,ano,valor,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2013,Women/men ratio,ARG,2013,1.775988578796387,26,26,Women/men ratio,6,Argentina,Argentina,"Percentage of individuals aged 15-24 who dedicate time to children and other household members’ care, in households with children aged 0-14.",Participation in care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2021,Women/men ratio,ARG,2021,,26,26,Women/men ratio,6,Argentina,Argentina,"Percentage of individuals aged 15-24 who dedicate time to children and other household members’ care, in households with children aged 0-14.",Participation in care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio,CHL,2015,1.114104270935059,26,26,Women/men ratio,6,Chile,Chile,"Percentage of individuals aged 15-24 who dedicate time to children and other household members’ care, in households with children aged 0-14.",Participation in care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2012,Women/men ratio,COL,2012,2.525775671005249,26,26,Women/men ratio,6,Colombia,Colombia,"Percentage of individuals aged 15-24 who dedicate time to children and other household members’ care, in households with children aged 0-14.",Participation in care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2016,Women/men ratio,COL,2016,2.937162637710571,26,26,Women/men ratio,6,Colombia,Colombia,"Percentage of individuals aged 15-24 who dedicate time to children and other household members’ care, in households with children aged 0-14.",Participation in care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2020,Women/men ratio,COL,2020,3.026824712753296,26,26,Women/men ratio,6,Colombia,Colombia,"Percentage of individuals aged 15-24 who dedicate time to children and other household members’ care, in households with children aged 0-14.",Participation in care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CRI2004,Women/men ratio,CRI,2004,3.547125577926636,26,26,Women/men ratio,6,Costa Rica,Costa Rica,"Percentage of individuals aged 15-24 who dedicate time to children and other household members’ care, in households with children aged 0-14.",Participation in care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CRI2017,Women/men ratio,CRI,2017,1.366316080093384,26,26,Women/men ratio,6,Costa Rica,Costa Rica,"Percentage of individuals aged 15-24 who dedicate time to children and other household members’ care, in households with children aged 0-14.",Participation in care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
DOM2016,Women/men ratio,DOM,2016,,26,26,Women/men ratio,6,Dominican republic,Dominican republic,"Percentage of individuals aged 15-24 who dedicate time to children and other household members’ care, in households with children aged 0-14.",Participation in care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
DOM2021,Women/men ratio,DOM,2021,,26,26,Women/men ratio,6,Dominican republic,Dominican republic,"Percentage of individuals aged 15-24 who dedicate time to children and other household members’ care, in households with children aged 0-14.",Participation in care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ECU2012,Women/men ratio,ECU,2012,2.349806785583496,26,26,Women/men ratio,6,Ecuador,Ecuador,"Percentage of individuals aged 15-24 who dedicate time to children and other household members’ care, in households with children aged 0-14.",Participation in care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
SLV2017,Women/men ratio,SLV,2017,1.496629118919373,26,26,Women/men ratio,6,El Salvador,El Salvador,"Percentage of individuals aged 15-24 who dedicate time to children and other household members’ care, in households with children aged 0-14.",Participation in care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
GTM2011,Women/men ratio,GTM,2011,,26,26,Women/men ratio,6,Guatemala,Guatemala,"Percentage of individuals aged 15-24 who dedicate time to children and other household members’ care, in households with children aged 0-14.",Participation in care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
GTM2014,Women/men ratio,GTM,2014,3.246578216552734,26,26,Women/men ratio,6,Guatemala,Guatemala,"Percentage of individuals aged 15-24 who dedicate time to children and other household members’ care, in households with children aged 0-14.",Participation in care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
GTM2018,Women/men ratio,GTM,2018,4.121358871459961,26,26,Women/men ratio,6,Guatemala,Guatemala,"Percentage of individuals aged 15-24 who dedicate time to children and other household members’ care, in households with children aged 0-14.",Participation in care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
GTM2019,Women/men ratio,GTM,2019,3.463812828063965,26,26,Women/men ratio,6,Guatemala,Guatemala,"Percentage of individuals aged 15-24 who dedicate time to children and other household members’ care, in households with children aged 0-14.",Participation in care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
MEX2009,Women/men ratio,MEX,2009,1.569316983222961,26,26,Women/men ratio,6,Mexico,Mexico,"Percentage of individuals aged 15-24 who dedicate time to children and other household members’ care, in households with children aged 0-14.",Participation in care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
MEX2014,Women/men ratio,MEX,2014,1.278170704841614,26,26,Women/men ratio,6,Mexico,Mexico,"Percentage of individuals aged 15-24 who dedicate time to children and other household members’ care, in households with children aged 0-14.",Participation in care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
MEX2019,Women/men ratio,MEX,2019,1.271231770515442,26,26,Women/men ratio,6,Mexico,Mexico,"Percentage of individuals aged 15-24 who dedicate time to children and other household members’ care, in households with children aged 0-14.",Participation in care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
PRY2016,Women/men ratio,PRY,2016,1.411820292472839,26,26,Women/men ratio,6,Paraguay,Paraguay,"Percentage of individuals aged 15-24 who dedicate time to children and other household members’ care, in households with children aged 0-14.",Participation in care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
PER2010,Women/men ratio,PER,2010,1.332166194915771,26,26,Women/men ratio,6,Peru,Peru,"Percentage of individuals aged 15-24 who dedicate time to children and other household members’ care, in households with children aged 0-14.",Participation in care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
URY2007,Women/men ratio,URY,2007,2.172328948974609,26,26,Women/men ratio,6,Uruguay,Uruguay,"Percentage of individuals aged 15-24 who dedicate time to children and other household members’ care, in households with children aged 0-14.",Participation in care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
URY2013,Women/men ratio,URY,2013,1.547500014305115,26,26,Women/men ratio,6,Uruguay,Uruguay,"Percentage of individuals aged 15-24 who dedicate time to children and other household members’ care, in households with children aged 0-14.",Participation in care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
URY2021,Women/men ratio,URY,2021,,26,26,Women/men ratio,6,Uruguay,Uruguay,"Percentage of individuals aged 15-24 who dedicate time to children and other household members’ care, in households with children aged 0-14.",Participation in care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
