id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2000,Total,ARG,,2000,99.20484161376953,1,1,,Total,1,Argentina,Argentina,Individuals enrolled in primary education as a percentage of primary school age population.,Primary net enrollment rate,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women,ARG,,2000,99.32111358642578,2,2,,Gender,4,Argentina,Argentina,Individuals enrolled in primary education as a percentage of primary school age population.,Primary net enrollment rate,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Men,ARG,,2000,99.09087371826172,3,3,,Gender,4,Argentina,Argentina,Individuals enrolled in primary education as a percentage of primary school age population.,Primary net enrollment rate,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women - men gap,ARG,,2000,.2302354127168655,4,4,.32152012,Women - men gap,5,Argentina,Argentina,Individuals enrolled in primary education as a percentage of primary school age population.,Primary net enrollment rate,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women in low-skilled household,ARG,,2000,99.13561248779297,6,6,,Qualification (women),11,Argentina,Argentina,Individuals enrolled in primary education as a percentage of primary school age population.,Primary net enrollment rate,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women in medium-skilled household,ARG,,2000,99.46637725830078,7,7,,Qualification (women),11,Argentina,Argentina,Individuals enrolled in primary education as a percentage of primary school age population.,Primary net enrollment rate,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women in high-skilled household,ARG,,2000,99.86058807373047,8,8,,Qualification (women),11,Argentina,Argentina,Individuals enrolled in primary education as a percentage of primary school age population.,Primary net enrollment rate,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Men in low-skilled household,ARG,,2000,98.53326416015625,9,9,,Qualification (men),12,Argentina,Argentina,Individuals enrolled in primary education as a percentage of primary school age population.,Primary net enrollment rate,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Men in medium-skilled household,ARG,,2000,99.86773681640625,10,10,,Qualification (men),12,Argentina,Argentina,Individuals enrolled in primary education as a percentage of primary school age population.,Primary net enrollment rate,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Men in high-skilled household,ARG,,2000,100,11,11,,Qualification (men),12,Argentina,Argentina,Individuals enrolled in primary education as a percentage of primary school age population.,Primary net enrollment rate,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Woman,ARG,,2000,99.32111358642578,22,22,,Woman,2,Argentina,Argentina,Individuals enrolled in primary education as a percentage of primary school age population.,Primary net enrollment rate,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Man,ARG,,2000,99.09087371826172,23,23,,Man,3,Argentina,Argentina,Individuals enrolled in primary education as a percentage of primary school age population.,Primary net enrollment rate,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
